PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Khandelwal, DD; Singhal, M				Khandelwal, D. D.; Singhal, Mohit			Developing a low-cost weather monitoring system for data-sparse regions of the Himalayas	WEATHER			English	Article; Early Access							PLATFORM	A weather monitoring system was developed using open-source hardware and software, with the main objective of collecting meteorological data at a very low cost, from the remote terrain of the Indian Himalaya.	[Khandelwal, D. D.; Singhal, Mohit] Wadia Inst Himalayan Geol, Ctr Glaciol, Dehra Dun, Uttar Pradesh, India	Khandelwal, DD (corresponding author), Wadia Inst Himalayan Geol, Ctr Glaciol, Dehra Dun, Uttar Pradesh, India.	ddkhandelwal@rediffmail.com			Department of Science and Technology, New Delhi under the programme Centre for GlaciologyDepartment of Science & Technology (India)	The authors express their sincere thanks to the Director, Wadia Institute of Himalayan Geology, Dehra Dun, for providing the necessary facilities. The Department of Science and Technology, New Delhi is acknowledged for providing financial support under the programme Centre for Glaciology. The authors thank the two anonymous reviewers for their comments and the editor for the valuable suggestions, which have led to improvements in the paper. We also thank Dr D.P. Dobhal, Dr V.K. Gahalaut and Mr Akhilesh Chandra Gairola for their fruitful suggestions and guidance.		22	1	1	1	3	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0043-1656	1477-8696		WEATHER	Weather												10.1002/wea.3647		NOV 2019	5	Meteorology & Atmospheric Sciences	Meteorology & Atmospheric Sciences	JP5HW	WOS:000498296600001					2021-02-18	
J	Schilling, BK; Lamberti, KK; Snowden, MJ; Baker, JS; Byrd, K; Komatsu, C; Solari, MG; Marra, KG				Schilling, Benjamin K.; Lamberti, Kimberly K.; Snowden, Malik J.; Baker, Jocelyn S.; Byrd, Kristen; Komatsu, Chiaki; Solari, Mario G.; Marra, Kacey G.			Design and Fabrication of an Automatable, 3D Printed Perfusion Device for Tissue Infusion and Perfusion Engineering	TISSUE ENGINEERING PART A			English	Article						fused filament fabrication; bioreactor; open source hardware; decellularization; extracellular matrix	BREAST RECONSTRUCTION; SKELETAL-MUSCLE; MATRIX; DECELLULARIZATION; ALLOGRAFT	Tissue decellularization for generating extracellular matrices has become a staple of regenerative medicine in the recent decades, extending from the research setting to clinical usage. Although methods and protocols for tissue decellularization are abundant throughout the literature, they can be time intensive and typically require specific overhead in terms of equipment. To reduce these barriers to entry, a functional and reproducible prototype of a tissue infusion/perfusion device (TIPD) has been designed and fabricated using three-dimensional printed parts in conjunction with commercially available components. This TIPD forms a system composed of two peristaltic pumps, two 3-way valves, and a chamber in which tissue is contained, and is controlled by user-customizable software. To increase repeatability among decellularization protocols, an automation function has been integrated into the software, which is able to specify fluid flow rates and define specific valve locations enabling selection of solutions to be introduced into a scaffold over the course of a decellularization process. The prototype has been tested for proof of concept through infusion and perfusion decellularization of skeletal muscle and intact kidneys, respectively, and has shown successful removal of cellular content while maintaining an intact ultrastructure. In an effort to increase the reproducibility of experimental designs and to promote an open source hardware initiative in the field of tissue engineering, a novel device was conceptualized and prototyped with printable part files made available for its fabrication in tandem with instructions for assembly. Impact Statement Repeatable methods for decellularization are essential for achieving consistent substrates between batches, laboratories, and facilities. To meet this end, an automatable tissue infusion/perfusion device composed of three-dimensional printed parts and commercially available components has been prototyped and tested. Materials and instructions for its assembly have been made available in an effort to reduce variability among equipment as well as to provide a platform on which to iterate open-source hardware in tissue engineering.	[Schilling, Benjamin K.; Snowden, Malik J.; Baker, Jocelyn S.; Byrd, Kristen; Marra, Kacey G.] Univ Pittsburgh, Dept Bioengn, Pittsburgh, PA USA; [Lamberti, Kimberly K.; Komatsu, Chiaki; Solari, Mario G.; Marra, Kacey G.] Univ Pittsburgh, Dept Plast Surg, 203 Lothrop St Biomed Sci Tower E1655, Pittsburgh, PA 15213 USA; [Marra, Kacey G.] McGowan Inst Regenerat Med, Pittsburgh, PA USA	Marra, KG (corresponding author), Univ Pittsburgh, Dept Plast Surg, 203 Lothrop St Biomed Sci Tower E1655, Pittsburgh, PA 15213 USA.	marrak@upmc.edu						40	1	1	0	6	MARY ANN LIEBERT, INC	NEW ROCHELLE	140 HUGUENOT STREET, 3RD FL, NEW ROCHELLE, NY 10801 USA	1937-3341	1937-335X		TISSUE ENG PT A	Tissue Eng. Part A	MAR 1	2020	26	5-6					253	264		10.1089/ten.tea.2019.0209		NOV 2019	12	Cell & Tissue Engineering; Cell Biology; Engineering, Biomedical; Materials Science, Biomaterials	Cell Biology; Engineering; Materials Science	LB8RK	WOS:000497535700001	31746678	Bronze			2021-02-18	
J	Needs, SH; Diep, TT; Bull, SP; Lindley-Decaire, A; Ray, P; Edwards, AD				Needs, Sarah H.; Diep, Tai The; Bull, Stephanie P.; Lindley-Decaire, Anton; Ray, Partha; Edwards, Alexander D.			Exploiting open source 3D printer architecture for laboratory robotics to automate high-throughput time-lapse imaging for analytical microbiology	PLOS ONE			English	Article							ASSAYS	Growth in open-source hardware designs combined with the low-cost of high performance optoelectronic and robotics components has supported a resurgence of in-house custom lab equipment development. We describe a low cost (below $700), open-source, fully customizable high-throughput imaging system for analytical microbiology applications. The system comprises a Raspberry Pi camera mounted on an aluminium extrusion frame with 3D-printed joints controlled by an Arduino microcontroller running open-source Repetier Host Firmware. The camera position is controlled by simple G-code scripts supplied from a Raspberry Pi singleboard computer and allow customized time-lapse imaging of microdevices over a large imaging area. Open-source OctoPrint software allows remote access and control. This simple yet effective design allows high-throughput microbiology testing in multiple formats including formats for bacterial motility, colony growth, microtitre plates and microfluidic devices termed 'lab-on-a-comb' to screen the effects of different culture media components and antibiotics on bacterial growth. The open-source robot design allows customization of the size of the imaging area; the current design has an imaging area of similar to 420 x 300mm, which allows 29 'lab-on-a-comb' devices to be imaged which is equivalent 3480 individual 1 mu l samples. The system can also be modified for fluorescence detection using LED and emission filters embedded on the PiCam for more sensitive detection of bacterial growth using fluorescent dyes.	[Needs, Sarah H.; Diep, Tai The; Bull, Stephanie P.; Edwards, Alexander D.] Univ Reading, Reading Sch Pharm, Reading, Berks, England; [Lindley-Decaire, Anton] Open Univ, Ctr Elect Imaging, Milton Keynes, Bucks, England; [Ray, Partha] Univ Reading, Sch Agr Policy & Dev, Dept Anim Sci, Reading, Berks, England	Needs, SH (corresponding author), Univ Reading, Reading Sch Pharm, Reading, Berks, England.	s.h.needs@reading.ac.uk	Bull, Stephanie/AAG-7028-2020; Edwards, Alexander D/F-7440-2010	Bull, Stephanie/0000-0001-5129-1731; Edwards, Alexander D/0000-0003-2369-989X; Ray, Partha Pratim/0000-0001-8375-8279; Diep, Tai/0000-0001-7166-6369; Needs, Sarah/0000-0003-3407-9637	Engineering and Physical Sciences Research Council (EPSRC)UK Research & Innovation (UKRI)Engineering & Physical Sciences Research Council (EPSRC) [EP/R022410/1]	This project was funded by Engineering and Physical Sciences Research Council (EPSRC) grants EP/R022410/1 awarded to ADE, https://epsrc.ukri.org/.The funders had no role in study design, data collection and analysis, decision to publish, or preparation of the manuscript.; This project was funded by Engineering and Physical Sciences Research Council (EPSRC) grants EP/R022410/1.		38	2	2	5	6	PUBLIC LIBRARY SCIENCE	SAN FRANCISCO	1160 BATTERY STREET, STE 100, SAN FRANCISCO, CA 94111 USA	1932-6203			PLOS ONE	PLoS One	NOV 19	2019	14	11							e0224878	10.1371/journal.pone.0224878			17	Multidisciplinary Sciences	Science & Technology - Other Topics	LO8LN	WOS:000533877300009	31743346	DOAJ Gold, Green Published, Green Accepted			2021-02-18	
J	Hu, H				Hu, He			An educational Arduino robot for visual Deep Learning experiments	INTERNATIONAL JOURNAL OF INTELLIGENT ROBOTICS AND APPLICATIONS			English	Article						Arduino robot; Deep Learning; DNN; CNN		Deep Learning methods are gaining popularity with both academy and industry. We are in dire need of student affordable educational platform that can support doing Deep Learning experiments. In this paper, we present a mobile robot platform based on Arduino for educational experiments in visual Deep Learning. The educational robot uses Arduino open-source hardware and supports various programming interfaces, including C/C++, Python and Matlab. The robot uses an attached android mobile phone to capture images and video streams. Visual Deep Learning models such as DNNs and CNNs can be examined and practiced with the robot.	[Hu, He] Renmin Univ, MOE, Sch Informat, 59 Zhongguancun St, Beijing, Peoples R China; [Hu, He] Renmin Univ, MOE, DEKE, 59 Zhongguancun St, Beijing, Peoples R China	Hu, H (corresponding author), Renmin Univ, MOE, Sch Informat, 59 Zhongguancun St, Beijing, Peoples R China.; Hu, H (corresponding author), Renmin Univ, MOE, DEKE, 59 Zhongguancun St, Beijing, Peoples R China.	hehu@ruc.edu.cn		Hu, He/0000-0002-0849-5795	NSFCNational Natural Science Foundation of China (NSFC) [61472428, U1711261]	This research was partially supported by NSFC under contract number 61472428 and U1711261.		17	1	1	1	9	SPRINGER	NEW YORK	ONE NEW YORK PLAZA, SUITE 4600, NEW YORK, NY, UNITED STATES	2366-5971	2366-598X		INT J INTELL ROBOT	Int. J. Intell. Robot.	MAR	2020	4	1			SI		73	81		10.1007/s41315-019-00114-2		NOV 2019	9	Robotics	Robotics	KZ3JZ	WOS:000495045300001					2021-02-18	
J	Mlakic, D; Baghaee, HR; Nikolovski, S; Vukobratovic, M; Balkic, Z				Mlakic, Dragan; Baghaee, Hamid Reza; Nikolovski, Srete; Vukobratovic, Marko; Balkic, Zoran			Conceptual Design of IoT-Based AMR Systems Based on IEC 61850 Microgrid Communication Configuration Using Open-Source Hardware/Software IED	ENERGIES			English	Article						Arduino; automatic metering reading; electric energy measurement; IEC 61850; Java; open-source		This paper presents an intelligent electronic device (IED) utilized for automatic meter readings (AMR) scheme using "Open-Source" software. This IED is utilized to measure a low-voltage intelligent electronic device) system with a boundless number of sensors, and it is accessible on the Internet of Things (IoT). The utilized equipment for this task is Arduino UNO R3 motherboard and fringe sensors, which are used for measurement of the referenced information. The Arduino motherboard is used not only for sole tranquility of equipment but also for serving as wireless fidelity (Wi-Fi) switch for the sensors. The personal computer is utilized to gather information and perform client-side calculations. The server works based on an open-source program written in Java programming language. The underlying objective of the proposed scheme is to make the meter based on the "Do It Yourself" methodology which requires considerably fewer funds. Also, it is conceivable by keeping easy to understand interface, information legitimacy, precision of measured information and convenience for the conclusive client. The information is measured in just about 1 ms which is superb for custom-designed IED. Furthermore, the measured qualities are calculated based on their RMS values to be used for analyzing and further presentation of data.	[Mlakic, Dragan] Elektroprivreda HZ HB Dd Mostar, Ctr JP, Distribut Area, Dept Measurement & Network Management Elect Energ, Mostar 88000, Bosnia & Herceg; [Baghaee, Hamid Reza] Amirkabir Univ Technol, Dept Elect Engn, Tehran 158754413, Iran; [Nikolovski, Srete] Fac Elect Engn Comp & Informat Technol, Power Engn Dept, Osijek 31000, Croatia; [Vukobratovic, Marko; Balkic, Zoran] Barrage Doo, Zagrebacka 1, Osijek 31000, Croatia	Nikolovski, S (corresponding author), Fac Elect Engn Comp & Informat Technol, Power Engn Dept, Osijek 31000, Croatia.	dragan.mlakic@ephzhb.ba; hrbaghaee@aut.ac.ir; srete.nikolovski@ferit.hr; marko.vukobratovic@33barrage.com; zoran.balkic@33barrage.com	; Vukobratovic, Marko/F-5830-2015; Mlakic, Dragan/U-9462-2019	, Hamid Reza/0000-0002-3127-6398; Nikolovski, Srete/0000-0002-9033-4332; Vukobratovic, Marko/0000-0001-8596-6426; Mlakic, Dragan/0000-0001-7258-2861				31	2	2	0	3	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		1996-1073		ENERGIES	Energies	NOV 2	2019	12	22							4281	10.3390/en12224281			11	Energy & Fuels	Energy & Fuels	JZ1XW	WOS:000504898500059		DOAJ Gold			2021-02-18	
J	Pandey, G; Vora, A				Pandey, Gaurav; Vora, Ankit			Open Electronics for Medical Devices: State-of-Art and Unique Advantages	ELECTRONICS			English	Review						open electronics; open-source electronics; medical devices; ultrasound; neurological sensors; posture correction; computed tomography; medical infusion pumps; healthcare	OPEN-SOURCE SOFTWARE; NEURAL-NETWORK; CT; ABNORMALITIES; FABRICATION; TOOLKIT; DESIGN; SYSTEM; ECG	A wide range of medical devices have significant electronic components. Compared to open-source medical software, open (and open-source) electronic hardware has been less published in peer-reviewed literature. In this review, we explore the developments, significance, and advantages of using open platform electronic hardware for medical devices. Open hardware electronics platforms offer not just shorter development times, reduced costs, and customization; they also offer a key potential advantage which current commercial medical devices lack-seamless data sharing for machine learning and artificial intelligence. We explore how various electronic platforms such as microcontrollers, single board computers, field programmable gate arrays, development boards, and integrated circuits have been used by researchers to design medical devices. Researchers interested in designing low cost, customizable, and innovative medical devices can find references to various easily available electronic components as well as design methodologies to integrate those components for a successful design.	[Pandey, Gaurav] Noble Sensors LLC, New York, NY 10010 USA; [Vora, Ankit] Michigan Technol Univ, Houghton, MI 49931 USA	Pandey, G (corresponding author), Noble Sensors LLC, New York, NY 10010 USA.	gauravpandey11@gmail.com; avora@mtu.edu						99	1	1	0	2	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		2079-9292		ELECTRONICS-SWITZ	Electronics	NOV	2019	8	11							1256	10.3390/electronics8111256			25	Engineering, Electrical & Electronic	Engineering	JV3MD	WOS:000502269500052		DOAJ Gold			2021-02-18	
J	Voigt, FF; Kirschenbaum, D; Platonova, E; Pages, S; Campbell, RAA; Kastli, R; Schaettin, M; Egolf, L; van der Bourg, A; Bethge, P; Haenraets, K; Frezel, N; Topilko, T; Perin, P; Hillier, D; Hildebrand, S; Schueth, A; Roebroeck, A; Roska, B; Stoeckli, ET; Pizzala, R; Renier, N; Zeilhofer, HU; Karayannis, T; Ziegler, U; Batti, L; Holtmaat, A; Luscher, C; Aguzzi, A; Helmchen, F				Voigt, Fabian F.; Kirschenbaum, Daniel; Platonova, Evgenia; Pages, Stephane; Campbell, Robert A. A.; Kastli, Rahel; Schaettin, Martina; Egolf, Ladan; van der Bourg, Alexander; Bethge, Philipp; Haenraets, Karen; Frezel, Noemie; Topilko, Thomas; Perin, Paola; Hillier, Daniel; Hildebrand, Sven; Schueth, Anna; Roebroeck, Alard; Roska, Botond; Stoeckli, Esther T.; Pizzala, Roberto; Renier, Nicolas; Zeilhofer, Hanns Ulrich; Karayannis, Theofanis; Ziegler, Urs; Batti, Laura; Holtmaat, Anthony; Luscher, Christian; Aguzzi, Adriano; Helmchen, Fritjof			The mesoSPIM initiative: open-source light-sheet microscopes for imaging cleared tissue	NATURE METHODS			English	Article							ORGANS	Light-sheet microscopy is an ideal technique for imaging large cleared samples; however, the community is still lacking instruments capable of producing volumetric images of centimeter-sized cleared samples with near-isotropic resolution within minutes. Here, we introduce the mesoscale selective plane-illumination microscopy initiative, an open-hardware project for building and operating a light-sheet microscope that addresses these challenges and is compatible with any type of cleared or expanded sample (www.mesospim.org).	[Voigt, Fabian F.; Kastli, Rahel; Egolf, Ladan; van der Bourg, Alexander; Bethge, Philipp; Karayannis, Theofanis; Helmchen, Fritjof] Univ Zurich, Brain Res Inst, Zurich, Switzerland; [Voigt, Fabian F.; Kastli, Rahel; Schaettin, Martina; Egolf, Ladan; van der Bourg, Alexander; Bethge, Philipp; Haenraets, Karen; Frezel, Noemie; Stoeckli, Esther T.; Zeilhofer, Hanns Ulrich; Karayannis, Theofanis; Helmchen, Fritjof] Univ Zurich, ETH Zurich, Neurosci Ctr Zurich, Zurich, Switzerland; [Kirschenbaum, Daniel; Aguzzi, Adriano] Univ Hosp Zurich, Zurich, Switzerland; [Platonova, Evgenia; Ziegler, Urs] Univ Zurich, Ctr Microscopy & Image Anal, Zurich, Switzerland; [Pages, Stephane; Batti, Laura] Wyss Ctr Bio & Neuroengn, Geneva, Switzerland; [Pages, Stephane; Holtmaat, Anthony; Luscher, Christian] Univ Geneva, Fac Med, Geneva Neurosci Ctr, Dept Basic Neurosci, Geneva, Switzerland; [Campbell, Robert A. A.] Sainsbury Wellcome Ctr Neural Circuits & Behav, London, England; [Schaettin, Martina; Stoeckli, Esther T.] Univ Zurich, Inst Mol Life Sci, Zurich, Switzerland; [Haenraets, Karen; Frezel, Noemie; Renier, Nicolas; Zeilhofer, Hanns Ulrich] Univ Zurich, Inst Pharmacol & Toxicol, Zurich, Switzerland; [Topilko, Thomas] ICM Brain & Spine Inst, Paris, France; [Perin, Paola] Univ Pavia, Dept Brain & Behav Sci, Pavia, Italy; [Hillier, Daniel] Hungarian Acad Sci, Res Ctr Nat Sci, Budapest, Hungary; [Hillier, Daniel] Pazmany Peter Catholic Univ, Fac Informat Technol & Bion, Budapest, Hungary; [Hildebrand, Sven; Schueth, Anna; Roebroeck, Alard] Maastricht Univ, Fac Psychol & Neurosci, Maastricht, Netherlands; [Roska, Botond] Friedrich Miescher Inst Basel, Basel, Switzerland; [Roska, Botond] Inst Mol & Clin Ophthalmol Basel, Basel, Switzerland; [Pizzala, Roberto] Univ Pavia, Dept Mol Med, Pavia, Italy; [Luscher, Christian] Geneva Univ Hosp, Dept Clin Neurosci, Clin Neurol, Geneva, Switzerland	Voigt, FF (corresponding author), Univ Zurich, Brain Res Inst, Zurich, Switzerland.; Voigt, FF (corresponding author), Univ Zurich, ETH Zurich, Neurosci Ctr Zurich, Zurich, Switzerland.	voigt@hifo.uzh.ch	Karayannis, Theofanis/O-5194-2014; Pizzala, Roberto/F-8431-2012; Zeilhofer, Hanns Ulrich/A-4600-2008; Roska, Botond/AAD-7268-2021; Helmchen, Fritjof/A-6255-2008; Renier, Nicolas/E-1855-2018; Luscher, Christian/A-2496-2011	Zeilhofer, Hanns Ulrich/0000-0001-6954-4629; Helmchen, Fritjof/0000-0002-8867-9569; Holtmaat, Anthony/0000-0002-7577-0769; Renier, Nicolas/0000-0003-2642-4402; Kastli, Rahel/0000-0002-3810-6228; Luscher, Christian/0000-0001-7917-4596; Karayannis, Theofanis/0000-0002-3267-6254; Batti, Laura/0000-0003-3717-8470; Frezel, Noemie/0000-0002-5812-6664; Pizzala, Roberto/0000-0003-4884-8265; Voigt, Fabian/0000-0002-7108-2176; Hildebrand, Sven/0000-0003-3783-8213; Kirschenbaum, Daniel/0000-0002-0609-8788	Swiss National Science FoundationSwiss National Science Foundation (SNSF) [31003A-149858, 31003B-170269, 31003A_170037, 31003A-153448, 31003A_173125, CRSII3_154453]; Swiss National Science Foundation (NCCR Synapsy)Swiss National Science Foundation (SNSF) [51NF40-158776]; European Research Council (ERC Advanced Grant BRAINCOMPATH)European Research Council (ERC) [670757]; ERCEuropean Research Council (ERC) [679175, 639938]; Dutch science foundation (NWO VIDI Grant) [14637]; Swiss Foundation for Excellence in Biomedical Research; Distinguished Scientist Award of the Nomis Foundation	This work was supported by grants from the Swiss National Science Foundation (grant nos. 31003A-149858, 31003B-170269 to F.H.; no. 31003A_170037 to T. K.; nos. 31003A-153448, 31003A_173125, CRSII3_154453 and NCCR Synapsy no. 51NF40-158776 to A.H.), the European Research Council (ERC Advanced Grant BRAINCOMPATH, project no. 670757 to F.H.), ERC Starting Grants (InterWiring, project no. 679175 to T.K. and MULTICONNECT, project no. 639938 to A.R.), the Dutch science foundation (NWO VIDI Grant, project no. 14637 to A.R.), a PhD fellowship by the Swiss Foundation for Excellence in Biomedical Research (to R.K.), a gift from a private foundation with public interest through the International Foundation for Research in Paraplegia (to A.H. and S.P.), and a Distinguished Scientist Award of the Nomis Foundation (to A.A.). In addition, we would like to thank D. Gockeritz-Dujmovic and S. Bichet for help with sample preparation and M. Wieckhorst for help with custom electronics.		20	22	23	3	14	NATURE PUBLISHING GROUP	LONDON	MACMILLAN BUILDING, 4 CRINAN ST, LONDON N1 9XW, ENGLAND	1548-7091	1548-7105		NAT METHODS	Nat. Methods	NOV	2019	16	11					1105	1108		10.1038/s41592-019-0554-0			4	Biochemical Research Methods	Biochemistry & Molecular Biology	JJ1EE	WOS:000493902600021	31527839	Green Accepted			2021-02-18	
J	Uria-Rivas, R; Rodriguez-Sanchez, MC; Santos, OC; Vaquero, J; Boticario, JG				Uria-Rivas, R.; Rodriguez-Sanchez, M. C.; Santos, O. C.; Vaquero, J.; Boticario, J. G.			Impact of Physiological Signals Acquisition in the Emotional Support Provided in Learning Scenarios	SENSORS			English	Article						physiological sensors; affective computing; heart rate; galvanic skin response; skin temperature; emotions; applications and case studies; learning environments; feedback; open hardware	SYSTEMS	Physiological sensors can be used to detect changes in the emotional state of users with affective computing. This has lately been applied in the educational domain, aimed to better support learners during the learning process. For this purpose, we have developed the AICARP (Ambient Intelligence Context-aware Affective Recommender Platform) infrastructure, which detects changes in the emotional state of the user and provides personalized multisensorial support to help manage the emotional state by taking advantage of ambient intelligence features. We have developed a third version of this infrastructure, AICARP.V3, which addresses several problems detected in the data acquisition stage of the second version, (i.e., intrusion of the pulse sensor, poor resolution and lowsignal to noise ratio in the galvanic skin response sensor and slow response time of the temperature sensor) and extends the capabilities to integrate new actuators. This improved incorporates a new acquisition platform(shield) called PhyAS (Physiological Acquisition Shield), which reduces the number of control units to only one, and supports both gathering physiological signalswith better precision and delivering multisensory feedback with more flexibility, by means of new actuators that can be added/discarded on top of just that single shield. The improvements in the quality of the acquired signals allow better recognition of the emotional states. Thereof, AICARP.V3 gives a more accurate personalized emotional support to the user, based on a rule-based approach that triggers multisensorial feedback, if necessary. This represents progress in solving an open problem: develop systems that perform as effectively as a human expert in a complex task such as the recognition of emotional states.	[Uria-Rivas, R.; Santos, O. C.; Boticario, J. G.] UNED, Sch Comp Sci, Dept Artificial Intelligence, aDeNu Res Grp, Calle Juan Rosal 16, Madrid 28040, Spain; [Rodriguez-Sanchez, M. C.; Vaquero, J.] Rey Juan Carlos Univ, Dept Elect Technol, C Tulipan S-N, Mostoles 28933, Spain	Uria-Rivas, R (corresponding author), UNED, Sch Comp Sci, Dept Artificial Intelligence, aDeNu Res Grp, Calle Juan Rosal 16, Madrid 28040, Spain.	raul.uria@dia.uned.es; cristina.rodriguez.sanchez@urjc.es; ocsantos@dia.uned.es; joaquin.vaquero@urjc.es; jgb@dia.uned.es	Boticario, Jesus G./H-5874-2011; Santos, Olga C/H-5629-2011; Rodriguez, Cristina/ABF-1681-2020; Vaquero, Joaquin/K-5377-2012	Boticario, Jesus G./0000-0003-4949-9220; Santos, Olga C/0000-0002-9281-4209; Rodriguez, Cristina/0000-0001-9243-2166; Vaquero, Joaquin/0000-0002-6976-0564	Ministry of Economy and Competitiveness of Spain [TIN2014-59641-C2-2-P]; Ministry of Science, Innovation and Universities of Spain [PGC2018-102279-B-I00]; Ministry of Education, Youth and Sport, Madrid's Community [PEJD-2016/TIC-3332]	This work has been performed in the context of the BIG-AFF project (TIN2014-59641-C2-2-P) funded by the Ministry of Economy and Competitiveness of Spain and is now being advanced in the INT<SUP>2</SUP>AFF project (PGC2018-102279-B-I00) funded by the Ministry of Science, Innovation and Universities of Spain). In addition, PEJD-2016/TIC-3332 (Ministry of Education, Youth and Sport, Madrid's Community) supports the pre-doctoral work of R. Uria-Rivas.		38	1	1	0	1	MDPI	BASEL	ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND		1424-8220		SENSORS-BASEL	Sensors	OCT 2	2019	19	20							4520	10.3390/s19204520			26	Chemistry, Analytical; Engineering, Electrical & Electronic; Instruments & Instrumentation	Chemistry; Engineering; Instruments & Instrumentation	JO8ZP	WOS:000497864700168	31627443	DOAJ Gold, Green Published			2021-02-18	
J	van Gent, P; Farah, H; van Nes, N; van Arem, B				van Gent, Paul; Farah, Haneen; van Nes, Nicole; van Arem, Bart			HeartPy: A novel heart rate algorithm for the analysis of noisy signals	TRANSPORTATION RESEARCH PART F-TRAFFIC PSYCHOLOGY AND BEHAVIOUR			English	Article						Human factors; Heart rate analysis; Physiological signals; Signal analysis; Open source	RATE-VARIABILITY; MENTAL WORKLOAD; DRIVER BEHAVIOR; PRESSURE; STRESS; TASK	Heart rate data are often collected in human factors studies, including those into vehicle automation. Advances in open hardware platforms and off-the-shelf photoplethysmogram (PPG) sensors allow the non-intrusive collection of heart rate data at very low cost. However, the signal is not trivial to analyse, since the morphology of PPG waveforms differs from electrocardiogram (ECG) waveforms and shows different noise patterns. Few validated open source available algorithms exist that handle PPG data well, as most of these algorithms are specifically designed for ECG data. In this paper we present the validation of a novel algorithm named HeartPy, useful for the analysis of heart rate data collected in noisy settings, such as when driving a car or when in a simulator. We benchmark the performance on two types of datasets and show that the developed algorithm performs well. Further research steps are discussed. (C) 2019 Elsevier Ltd. All rights reserved.	[van Gent, Paul; Farah, Haneen; van Arem, Bart] Delft Univ Technol, Fac Civil Engn & Geosci, Dept Transport & Planning, Stevinweg 1, NL-2628 CN Delft, Netherlands; [van Nes, Nicole] SWOV, Bezuidenhoutseweg 62, NL-2594 AW The Hague, Netherlands	van Gent, P (corresponding author), Delft Univ Technol, Fac Civil Engn & Geosci, Dept Transport & Planning, Stevinweg 1, NL-2628 CN Delft, Netherlands.	P.vanGent@tudelft.nl; H.Farah@tudelft.nl; Nicole.van.nes@swov.nl; B.vanArem@tudelft.nl	Farah, Haneen/P-6736-2014	Farah, Haneen/0000-0002-2919-0253; van Nes, Nicole/0000-0002-2419-4992; van Arem, Bart/0000-0001-8316-7794	NWO TTW [13771]	Part of the software has been developed within the "Taking the Fast Lane" project, funded by NWO TTW, project number 13771.		41	2	2	1	2	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	1369-8478	1873-5517		TRANSPORT RES F-TRAF	Transp. Res. Pt. F-Traffic Psychol. Behav.	OCT	2019	66						368	378		10.1016/j.trf.2019.09.015			11	Psychology, Applied; Transportation	Psychology; Transportation	JN4JO	WOS:000496865700027		Green Published			2021-02-18	
J	Bhat, G; Deb, R; Ogras, UY				Bhat, Ganapati; Deb, Ranadeep; Ogras, Umit Y.			OpenHealth: Open-Source Platform for Wearable Health Monitoring	IEEE DESIGN & TEST			English	Article						Biomedical monitoring; Monitoring; Hardware; Wearable sensors; Standards; Software; Open source hardware; flexible hybrid electronics; wearable electronics; health monitoring; Parkinson&# 2019; s disease; movement disorders; human activity recognition	CARE		[Bhat, Ganapati; Ogras, Umit Y.] Arizona State Univ, Sch Elect Comp & Energy Engn, Tempe, AZ 85281 USA; [Deb, Ranadeep] Arizona State Univ, Comp Engn, Tempe, AZ 85281 USA	Bhat, G (corresponding author), Arizona State Univ, Tempe, AZ 85281 USA.	gmbhat@asu.edu	Bhat, Ganapati/AAF-5081-2021		NSF CAREERNational Science Foundation (NSF)NSF - Office of the Director (OD) [CNS-1651624]	This work was supported by NSF CAREER under Award CNS-1651624.		15	3	3	2	8	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	2168-2356			IEEE DES TEST	IEEE Des. Test	OCT	2019	36	5					27	34		10.1109/MDAT.2019.2906110			8	Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Computer Science; Engineering	JE7JF	WOS:000490865000004					2021-02-18	
