PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Marron, M; Garcia, JC; Ksiezak, L; del Moral, P; Pinedo, D; Leon, J			IEEE	Marron, Marta; Garcia, Juan C.; Ksiezak, Lukasz; del Moral, Pedro; Pinedo, David; Leon, Javier			Open platform and open software for an Intelligent Wheelchair with autonomous navigation using sensor fusion	PROCEEDINGS OF THE IECON 2016 - 42ND ANNUAL CONFERENCE OF THE IEEE INDUSTRIAL ELECTRONICS SOCIETY	IEEE Industrial Electronics Society		English	Proceedings Paper	42nd Annual Conference of the IEEE-Industrial-Electronics-Society (IECON)	OCT 24-27, 2016	Florence, ITALY	IEEE Ind Elect Soc, Inst Elect & Elect Engineers		Intelligent wheelchair; open software; ROS; open hardware; sensor fusion; Assistive Technologies		This paper is focused in the inclusion of open software tools and standard hardware devices into advanced mobility aids. Its urgency is due to the incorporation need of the numerous advances in mobile robotics to the area of the Assistive Technologies, and more specifically in the field of the so called Intelligent Wheelchairs (IW). In this paper we propose a common core for IWs based both on an open robotic platform and an open and a well extended software for robotics (ROS "Robotic Operating System"). Such an IW core has got a distributed architecture whose processing nodes are linked through a CAN standard bus, which connects the low level control functions based on low cost and highly portable Cortex platforms. This paper describes also the autonomous navigation algorithm developed for the Intelligent Wheelchair by using an Extended Kalman Filter. In the chosen approach the absolute position of the IW (a mobile robot) is estimated using sensor fusion which combines data from two of the sensory systems included in the described open platform: the dead-reckoning system and a visual system based on QR landmarks located on the ceiling. Within this context, the paper demonstrates the potential of the platform proposal in relation to the quick and easy incorporation of recent advances in mobile robotics.	[Marron, Marta; Garcia, Juan C.; Ksiezak, Lukasz; del Moral, Pedro; Pinedo, David; Leon, Javier] Univ Alcala UAH, Dept Elect, Edificio Politecn,Campus Univ, Alcala De Henares 28871, Madrid, Spain	Marron, M (corresponding author), Univ Alcala UAH, Dept Elect, Edificio Politecn,Campus Univ, Alcala De Henares 28871, Madrid, Spain.	marta.marron@uah.es; jcarlos.garcia@uah.es	Garcia, Juan C./B-4829-2011; Marta, Marron Romera/T-5343-2017	Garcia Garcia, Juan Carlos/0000-0002-9367-9475				12	1	1	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	1553-572X		978-1-5090-3474-1	IEEE IND ELEC			2016							5929	5934					6	Engineering, Electrical & Electronic	Engineering	BH2LH	WOS:000399031206034					2021-02-18	
B	Anwar, FM; D'souza, S; Symington, A; Dongare, A; Rajkumar, R; Rowe, A; Srivastava, MB			IEEE	Anwar, Fatima M.; D'souza, Sandeep; Symington, Andrew; Dongare, Adwait; Rajkumar, Ragunathan (Raj); Rowe, Anthony; Srivastava, Mani B.			Timeline: An Operating System Abstraction for Time-Aware Applications	PROCEEDINGS OF 2016 IEEE REAL-TIME SYSTEMS SYMPOSIUM (RTSS)			English	Proceedings Paper	37th IEEE Real-Time Systems Symposium (RTSS)	NOV 29-DEC 02, 2016	Porto, PORTUGAL	IEEE, IEEE Comp Soc, IEEE Tech Comm Real Time Syst				Having a shared and accurate sense of time is critical to distributed Cyber-Physical Systems (CPS) and the Internet of Things (IoT). Thanks to decades of research in clock technologies and synchronization protocols, it is now possible to measure and synchronize time across distributed systems with unprecedented accuracy. However, applications have not benefited to the same extent due to limitations of the system services that help manage time, and hardware-OS and OS-application interfaces through which timing information flows to the application. Due to the importance of time awareness in a broad range of emerging applications, running on commodity platforms and operating systems, it is imperative to rethink how time is handled across the system stack. We advocate the adoption of a holistic notion of Quality of Time (QoT) that captures metrics such as resolution, accuracy, and stability. Building on this notion we propose an architecture in which the local perception of time is a controllable operating system primitive with observable uncertainty, and where time synchronization balances applications' timing demands with system resources such as energy and bandwidth. Our architecture features an expressive application programming interface that is centered around the abstraction of a timeline -a virtual temporal coordinate frame that is defined by an application to provide its components with a shared sense of time, with a desired accuracy and resolution. The timeline abstraction enables developers to easily write applications whose activities are choreographed across time and space. Leveraging open source hardware and software components, we have implemented an initial Linux realization of the proposed timeline-driven QoT stack on a standard embedded computing platform. Results from its evaluation are also presented.	[Anwar, Fatima M.; Symington, Andrew; Srivastava, Mani B.] Univ Calif Los Angeles, Dept Elect Engn, Los Angeles, CA 90024 USA; [D'souza, Sandeep; Dongare, Adwait; Rajkumar, Ragunathan (Raj); Rowe, Anthony] Carnegie Mellon Univ, Dept Elect & Comp Engn, Pittsburgh, PA 15213 USA	Anwar, FM (corresponding author), Univ Calif Los Angeles, Dept Elect Engn, Los Angeles, CA 90024 USA.			Srivastava, Mani/0000-0002-3782-9192	National Science FoundationNational Science Foundation (NSF) [CNS-1329755, CNS-1329644]	This research is funded in part by the National Science Foundation under awards CNS-1329755 and CNS-1329644. The U.S. Government is authorized to reproduce and distribute reprints for Governmental purposes notwithstanding any copyright notation thereon. The views and conclusions contained herein are those of the authors and should not be interpreted as necessarily representing the official policies or endorsements, either expressed or implied, of NSF, or the U.S. Government		17	4	4	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-5303-2				2016							191	202		10.1109/RTSS.2016.16			12	Computer Science, Cybernetics; Computer Science, Hardware & Architecture; Computer Science, Theory & Methods	Computer Science	BH2RH	WOS:000399156600018					2021-02-18	
S	Gao, JX; Ma, H; Liu, H		Kao, J; Sung, WP		Gao, Jing-Xin; Ma, Hao; Liu, Hao			The intelligent weather station system based on Arduino	Proceedings of the 2016 International Conference on Engineering and Advanced Technology	AER-Advances in Engineering Research		English	Proceedings Paper	International Conference on Engineering and Advanced Technology (ICEAT)	DEC 22-23, 2016	Hong Kong, PEOPLES R CHINA	Hong Kong Control Engn & Informat Sci Res Assoc, National Chin Yi Univ Technol		Arduino Uno; Temperature and humidity sensor; Air pressure altitude sensor; LCD12864; APC220		Weather information is relevant to people's life, but also directly affects the development of all walks of life. So, how to quickly effective monitoring meteorological information is an important research aspect of contemporary society in the development of science and technology. This design was based on the Arduino open source hardware platform as the core digital processor. It used temperature & humidity sensor and atmospheric pressure sensor to collect environmental temperature and humidity and air pressure elevation information, and can get the current date and time by the clock module. This system can not only display the detection environment information on the LCD module, and can through the wireless module upload this information to PC. The whole system has the characteristic, of low cost, lower power consumption and higher collection speed. It not only can be used to detect stable family environment, can also be used in complex environment, such as industrial and agricultural information monitoring.	[Gao, Jing-Xin; Ma, Hao; Liu, Hao] Beijing Inst Fash Technol, Sch Informat Engn, Beijing, Peoples R China	Gao, JX (corresponding author), Beijing Inst Fash Technol, Sch Informat Engn, Beijing, Peoples R China.				Beijing Institute of Fashion Technology [2015A-15, 2016A-13, NHFZ2016011]	This research was financially supported by Beijing Institute of Fashion Technology under Grant 2015A-15, 2016A-13, NHFZ2016011.		3	0	0	0	1	ATLANTIS PRESS	PARIS	29 AVENUE LAVMIERE, PARIS, 75019, FRANCE	2352-5401		978-94-6252-294-7	AER ADV ENG RES			2016	82						300	308					9	Engineering, Multidisciplinary	Engineering	BG8UY	WOS:000392730300061					2021-02-18	
B	Chang, TF; Tuset-Peiro, P; Vilajosana, X; Watteyne, T			IEEE	Chang, Tengfei; Tuset-Peiro, Pere; Vilajosana, Xavier; Watteyne, Thomas			OpenWSN & OpenMote: Demo'ing A Complete Ecosystem for the Industrial Internet of Things	2016 13TH ANNUAL IEEE INTERNATIONAL CONFERENCE ON SENSING, COMMUNICATION, AND NETWORKING (SECON)			English	Proceedings Paper	13th Annual IEEE International Conference on Sensing, Communication, and Networking (SECON)	JUN 27-30, 2016	London, ENGLAND	IEEE, Natl Instruments		OpenWSN; OpenMote; 6TiSCH; Industrial IoT		The Industrial Internet of Things (IIoT) vision relies on reliable low-power wireless technologies and a complete standardized protocol stack that brings Internet connectivity to constrained end devices. Currently IEEE802.15.4-2015 TSCH provides reliability over low-power wireless technologies and the IETF has defined a protocol stack that is suitable to constrained devices. Open-source initiatives contributing to the development of network stacks for embedded devices, and the availability of open hardware platforms that facilitate prototyping IIoT applications contributes to the adoption of IIoT technologies. To realize the IIoT vision, this demo presents the Open-WSN and OpenMote projects, which provide both an open-source software implementation of the IEEE low-power wireless technologies and the IETF protocol stack, and an open-source hardware platform that meets the requirements to prototype IIoT applications.	[Chang, Tengfei; Watteyne, Thomas] Inria Paris, EVA Team, Paris, France; [Tuset-Peiro, Pere; Vilajosana, Xavier] OpenMote Technol, Barcelona, Spain; [Tuset-Peiro, Pere; Vilajosana, Xavier] Univ Oberta Catalunya, Barcelona, Spain	Chang, TF (corresponding author), Inria Paris, EVA Team, Paris, France.							9	0	0	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-1732-4				2016							512	514					3	Computer Science, Hardware & Architecture; Remote Sensing; Telecommunications	Computer Science; Remote Sensing; Telecommunications	BG8ND	WOS:000392494000060					2021-02-18	
S	Xie, Y; Qian, K; He, J			IEEE	Xie, Ying; Qian, Kai; He, Jing (Selena)			Multi-dimensional and Customizable Open-Source Labware for Promoting Big Data Analytical Skills in STEM Education	2016 IEEE FRONTIERS IN EDUCATION CONFERENCE (FIE)	Frontiers in Education Conference		English	Proceedings Paper	IEEE Frontiers in Education Conference (FIE)	OCT 12-15, 2016	Gannon Univ, Erie, PA	Amer Soc Engn Educ Educ Res Methods Div, Inst Elect & Elect Engineers Comp Soc, Inst Elect & Elect Engineers Educ Soc, IEEE Comp Soc, Erie, Inst Elect & Elect Engineers	Gannon Univ	component; big data; labware; STEM education		In order to remove resource barriers and smooth the learning curve for education on big data analytics in STEM disciplines, we develop an portable open source labware that is called STEM-BD for promoting education on big data analytics. STEM-BD integrates the following four critical components, big data platform, big data sets, data analytics algorithms and hands-on lab exercises in a multi-dimensional and customizable way. In this paper, we provide a detailed description of the design goal of STEM-BD, its prototype, preliminary evaluation results, and future development.	[Xie, Ying; Qian, Kai; He, Jing (Selena)] Kennesaw State Univ, Dept Comp Sci, Kennesaw, GA 30144 USA	Xie, Y (corresponding author), Kennesaw State Univ, Dept Comp Sci, Kennesaw, GA 30144 USA.	yxie2@kennesaw.edu; kqian@kennesaw.edu; jhe4@kennesaw.edu						11	0	0	0	1	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA	0190-5848		978-1-5090-1790-4	PROC FRONT EDUC CONF			2016													5	Education, Scientific Disciplines; Engineering, Electrical & Electronic	Education & Educational Research; Engineering	BG8IT	WOS:000392331500348					2021-02-18	
B	Santos, CB; Ferreira, DJ; de Souza, MCBNR; Martins, AR		Wu, J; Perez, GM; Thampi, SM; Atiquzzaman, M; Berretti, S; Rodrigues, JJPC; Tomar, R; Gorthi, RP; Siarry, P; Pathan, AK; Li, J; Bedi, P; Mehta, S; Kammoun, MH; Jain, V		Santos, Christiane Borges; Ferreira, Deller James; do Nascimento Rodrigues de Souza, Maria Carolina Borim; Martins, Andressa Rodrigues			Robotics and Programming: attracting girls to technology	2016 INTERNATIONAL CONFERENCE ON ADVANCES IN COMPUTING, COMMUNICATIONS AND INFORMATICS (ICACCI)			English	Proceedings Paper	International Conference on Advances in Computing, Communications and Informatics (ICACCI)	SEP 21-24, 2016	Jaipur, INDIA	LNM Inst Informat Technol, IEEE Commun Soc, IEEE Syst Man & Cybernet Soc		Robotics; Logical Programming; STEM		This paper presents the Metabotix project: Teaching Robotics and Programming for girls, which is being developed since 2014 at Instituto Federal de Goias - Campus Luziania, using free/open hardware and software, and recyclable electronic materials. The project counts on interdisciplinary methodology for learning robotics. Students apply the knowledge acquired in high school classes aiming to grow girls interest in STEM (science, technology, engineering and mathematics) areas.	[Santos, Christiane Borges] IFG, Goiania, Go, Brazil; [Ferreira, Deller James] Univ Fed Goias, Inst Informat, Goiania, Go, Brazil; [do Nascimento Rodrigues de Souza, Maria Carolina Borim; Martins, Andressa Rodrigues] Mulheres Tecnol MNT, Goiania, Go, Brazil	Santos, CB (corresponding author), IFG, Goiania, Go, Brazil.	christiane.santos@ifg.edu.br; deller@inf.ufg.br; carolina.borim@gmail.com; andressa@mulheresnatecnologia.org						10	6	6	0	3	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-2028-7				2016							2052	2056					5	Computer Science, Interdisciplinary Applications; Computer Science, Theory & Methods; Telecommunications	Computer Science; Telecommunications	BG8NK	WOS:000392503100337					2021-02-18	
B	Kang, K; Byeon, G; Jang, J; Hong, J			ACM	Kang, Kiwook; Byeon, Gibeom; Jang, Joonhyouk; Hong, Jiman			Framework for assigning multiple resources development environment utilizing various sensor devices	2016 RESEARCH IN ADAPTIVE AND CONVERGENT SYSTEMS			English	Proceedings Paper	Conference on Research in Adaptive and Convergent Systems (RACS)	OCT 11-14, 2016	Univ So Denmark, Odense, DENMARK	Assoc Convergent Comp Technol, ACM Special Interest Grp Appl Comp	Univ So Denmark	Open hardware; Visual programming language; Development frameworks		The proliferation of ubiquitous computing has led to the development of various types of sensor devices for human-computer interaction (HCI). However, the availability of developer tools is lacking in comparison with the development of sensor devices. This shortcoming has been partially addressed by the introduction of open source hardware but it is difficult to develop applications using this alone. In this paper, a framework for sensor device application development has been illustrated by using a visual language and interconnections between the PC and target board.	[Kang, Kiwook; Byeon, Gibeom] Soongsil Univ, Dept Comp Sci & Engn, Seoul, South Korea; [Jang, Joonhyouk; Hong, Jiman] Soongsil Univ, Sch Comp Sci & Engn, Seoul, South Korea	Hong, J (corresponding author), Soongsil Univ, Sch Comp Sci & Engn, Seoul, South Korea.	kiwookkang6368@gmail.com; gibeom.ssu@gmail.com; jhjang0@gmail.com; jiman@ssu.ac.kr			Basic Science Research Program through the National Research Foundation of Korea(NRF) - Ministry of Education [NRF-2013R1A1A2058154]	This research was supported by Basic Science Research Program through the National Research Foundation of Korea(NRF) funded by the Ministry of Education(NRF-2013R1A1A2058154)		9	0	0	0	0	ASSOC COMPUTING MACHINERY	NEW YORK	1515 BROADWAY, NEW YORK, NY 10036-9998 USA			978-1-4503-4455-5				2016							121	122		10.1145/2987386.2987427			2	Computer Science, Artificial Intelligence; Computer Science, Theory & Methods	Computer Science	BG8II	WOS:000392315600023					2021-02-18	
B	Seo, S; Park, YS; Lee, YS		Gusikhin, O; Peaucelle, D; Madani, K		Seo, Sugkil; Park, Yeong Sang; Lee, Young Sam			Development of a Cost-effective Data Acquisition System using an Open-source Hardware and Matlab/Simulink	ICINCO: PROCEEDINGS OF THE 13TH INTERNATIONAL CONFERENCE ON INFORMATICS IN CONTROL, AUTOMATION AND ROBOTICS, VOL 1			English	Proceedings Paper	13th International Conference on Informatics in Control, Automation and Robotics (ICINCO)	JUL 29-31, 2016	Lisbon, PORTUGAL			USB Communication; Matlab/Simulink; Data Acquisition; Open-source Hardware; S-function		This paper proposes a new cost-effective data acquisition system using open-source hardware and Matlab/Simulink. The proposed data acquisition (DAQ) system has features that it uses the framed data protocol based on hex encoding, it can acquire multiple data which are not of the same type at different sample rates, and the system receives data through USB communication or serial communication. The software of the proposed system consists of the firmware of a microcontroller and user-defined Simulink function block. The firmware of a microcontroller is in the form of a header file, and the data acquisition can be easily achieved by calling a few functions defined in the header file. The developed user-defined Simulink block can get multiple data at different sample rates by configuring the GUI parameters appropriately. For implementation of the system, we use the Arch Max, which is the open-source hardware with an ARM Cortex-M4 core, and also use a user-defined c-code S-function of Matlab/Simulink. For the demonstration of the superiority of the implemented system, we compare the proposed system's performance with that of the data acquisition system provided in Matlab/Simulink Instrument Control Toolbox. Finally we illustrate how presented system can be actually used by applying the proposed system to DC motor control.	[Seo, Sugkil; Park, Yeong Sang; Lee, Young Sam] Inha Univ, Dept Elect Engn, Inchon, South Korea	Seo, S (corresponding author), Inha Univ, Dept Elect Engn, Inchon, South Korea.	smooms121@naver.com; pys0728k@hotmail.co.kr; lys@inha.ac.kr			MSIP(Ministry of Science, ICT and Future Planning), Korea, under the ITRC(Information Technology Research Center) support program [IITP-2016-H8601-16-1003]; IITP(Institute for Information & communications Technology Promotion)	This research was supported by the MSIP(Ministry of Science, ICT and Future Planning), Korea, under the ITRC(Information Technology Research Center) support program (IITP-2016-H8601-16-1003) supervised by the IITP(Institute for Information & communications Technology Promotion)		13	0	0	0	1	SCITEPRESS	SETUBAL	AV D MANUELL, 27A 2 ESQ, SETUBAL, 2910-595, PORTUGAL			978-989-758-198-4				2016							484	491					8	Automation & Control Systems; Engineering, Electrical & Electronic; Robotics	Automation & Control Systems; Engineering; Robotics	BG8PQ	WOS:000392610900057					2021-02-18	
B	Huber, S; Selby, B; Tripp, BP			IEEE	Huber, Scott; Selby, Ben; Tripp, Bryan P.			Design of a Saccading and Accommodating Robot Vision System	2016 13TH CONFERENCE ON COMPUTER AND ROBOT VISION (CRV)			English	Proceedings Paper	13th Conference on Computer and Robot Vision (CRV)	JUN 01-03, 2016	Victoria, CANADA	Canadian Image Proc & Pattern Recognit Soc, Assoc Canadienne Traitement Images Reconnaissance Formes		robot head; vision; saccade; accommodation; foveating lens	CORTEX	Biologically inspired vision systems, such as convolutional networks, have begun to rival humans in some vision tasks. A key difference between such systems and the human visual system is that the latter dedicates most of its resources to a small fraction of the visual field (the fovea), which it moves frequently and rapidly to acquire a series of rich representations of small parts of a scene. We are developing an artificial system to approximate this aspect of human vision on a robot. The main components are a novel foveating lens, and a novel gimbal that can perform rapid and precise stereo camera orientation. This paper focuses on the gimbal design, which we are releasing under an open hardware license. We expect that it will serve as both an advanced robot vision system, and a source of further insight into human vision.	[Huber, Scott] Axcendo Innovat Corp, Waterloo, ON, Canada; [Selby, Ben; Tripp, Bryan P.] Univ Waterloo, Syst Design Engn, Waterloo, ON N2L 3G1, Canada	Huber, S (corresponding author), Axcendo Innovat Corp, Waterloo, ON, Canada.	scott@axcendo.com; bselby@uwaterloo.ca; bptripp@uwaterloo.ca			Canadian Foundation; Ontario Research Fund (Research Infrastructure); NSERC Discovery GrantNatural Sciences and Engineering Research Council of Canada (NSERC)	This work was funded by Canadian Foundation for Innovation (Leaders Opportunity Fund) and Ontario Research Fund (Research Infrastructure) grants, and a NSERC Discovery Grant. We thank Brian Creber and Brent Laurence for helpful discussions, and John McPhee and Naser Mehrabi for assistance with camera inertia measurements. Finally we thank Neil Vanasse for developing a preliminary lens design.		28	2	2	0	4	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-2491-9				2016							350	357		10.1109/CRV.2016.48			8	Robotics	Robotics	BG7ZQ	WOS:000392125600047					2021-02-18	
B	Gol, K; Salihmuhsin, M			IEEE	Gol, Kursat; Salihmuhsin, Metin			Statistical Data Acquisition via Filtering URL Addresses with NetFPGA Open Source Hardware Platform	2016 24TH SIGNAL PROCESSING AND COMMUNICATION APPLICATION CONFERENCE (SIU)			Turkish	Proceedings Paper	24th Signal Processing and Communication Application Conference (SIU)	MAY 16-19, 2016	Zonguldak, TURKEY	IEEE, Bulent Ecevit Univ, Dept Elect & Elect Engn, Bulent Ecevit Univ, Dept Biomed Engn, Bulent Ecevit Univ, Dept Comp Engn		NetFPGA-1G-CML; URL address gathering; TCP-IP packet capturing		In this paper, aimed that to gather the URL addresses used in local and global networks with an open sourced hardware tool NetFPGA-1G-CML. Proved that these gathered addresses could present simple users' statistical data interface and a graph to the network administrators.	[Gol, Kursat; Salihmuhsin, Metin] Kahramanmaras Sutcu Imam Univ, Elekt & Elekt Muhendisligi Bolumu, Kahramanmaras, Turkey	Gol, K (corresponding author), Kahramanmaras Sutcu Imam Univ, Elekt & Elekt Muhendisligi Bolumu, Kahramanmaras, Turkey.	yl_kgol@ksu.edu.tr; msalihmuhsin@ksu.edu.tr						5	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-1679-2				2016							545	548					4	Engineering, Electrical & Electronic	Engineering	BG7EP	WOS:000391250900114					2021-02-18	
B	Ahmed, S; Topalov, A; Dimitrov, N; Bonev, E		Yager, R; Sgurev, V; Hadjiski, M; Jotsov, V		Ahmed, Sevil; Topalov, Andon; Dimitrov, Nikolay; Bonev, Eugene			Industrial Implementation of a Fuzzy Logic Controller for Brushless DC Motor Drives using the PicoMotion Control Framework	2016 IEEE 8TH INTERNATIONAL CONFERENCE ON INTELLIGENT SYSTEMS (IS)			English	Proceedings Paper	8th IEEE International Conference on Intelligent Systems (IS)	SEP 04-06, 2016	Sofia, BULGARIA	IEEE, IEEE Syst Man & Cybernet Soc, IEEE Computat Intelligence Chapter Bulgaria, IEEE IM CS SMC Joint Chapter Bulgaria, John Atanasoff SAl, IEEE Young Profess Bulgaria, Federat Sci Engn Unions Bulgaria, Univ Lib Studies & Informat Technologies, BAS, Inst Informat & Communicat Technologies, Union Scientists Bulgaria, Sect Comp Sci		fuzzy logic control; industrial implementation; BLDC motor drives		Modern industry requires an improved motor performance and the permanent magnet brushless DC (BLDC) motors are especially appropriate for applications that require a high level of accuracy and performance. The advanced control strategies when applied into BLDC motor drive systems may further enhance their performance. However, these methods are relatively complex and computationally intensive, which may hamper the implementation. Fuzzy logic control algorithm has been developed in this investigation and embedded into a commercially available motion control system for the position control of BLDC motors. BLDC motor drives offered by PicoMotion Inc. and Motion Control Framework software platform have been selected for the experiments due to their compactness, flexibility and the open hardware and software concept they have been created upon. The obtained comparative results with respect to the built in PI control law have confirmed that the implementation of more advanced control strategies on inexpensive hardware and software platforms, nowadays available on the market for the control of BLDC motors, can be practically feasible and can enhance their performance.	[Ahmed, Sevil; Topalov, Andon; Dimitrov, Nikolay] Tech Univ Sofia, Control Syst Dept, Plovdiv Branch, 25 Tsanko Dyustabanov St, Plovdiv 4000, Bulgaria; [Bonev, Eugene] PicoMotion Inc, Santa Clara, CA USA	Ahmed, S (corresponding author), Tech Univ Sofia, Control Syst Dept, Plovdiv Branch, 25 Tsanko Dyustabanov St, Plovdiv 4000, Bulgaria.	sevil.ahmed@tu-plovdiv.bg; topalov@tu-plovdiv.bg; dd.nikolay@gmail.com; eugenebonev@gmail.com		Topalov, Andon/0000-0002-1679-3100; Ahmed, Sevil/0000-0001-6528-3548				10	7	7	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-1353-1				2016							629	634					6	Computer Science, Artificial Intelligence; Computer Science, Hardware & Architecture	Computer Science	BG7PE	WOS:000391554300093					2021-02-18	
B	Srinivasan, G; Anandan, C; Jain, SAK; Ahmed, SS; Vijayaraghavan, V			IEEE	Srinivasan, Gosakan; Anandan, Chandirasekarendiran; Jain, Aashish Kumar S.; Ahmed, Syed Shahbaaz; Vijayaraghavan, Vineeth			Low-cost Non-Intrusive Device Identification System	2016 IEEE DALLAS CIRCUITS AND SYSTEMS CONFERENCE (DCAS)			English	Proceedings Paper	IEEE Dallas Circuits and Systems Conference (DCAS)	OCT 10, 2016	Arlington, TX	IEEE		open source hardware; current		This paper explains the design and implementation of a low cost Non-Intrusive Load Monitoring (NILM) system. The system is designed using open source hardware and offthe-shelf components for a cost of below 8 USD. The device identification system makes use of the current-peak signature to uniquely identify devices turned ON at any instance in time. A current sensor is used at the utility service entrance for measuring the current drawn by the devices. The positive current peak data for different devices was used to obtain the devices' current-peak signature. The identification of devices is carried out by the device identification algorithm. An experimental test bench was developed to model, test and validate the system. The system underwent extensive testing for four hundred and twenty man hours over duration of twelve weeks.	[Srinivasan, Gosakan] Easwari Engn Coll, Madras, Tamil Nadu, India; [Anandan, Chandirasekarendiran] Madras Inst Technol, Madras, Tamil Nadu, India; [Jain, Aashish Kumar S.] Velammal Engn Coll, Cherepovets, Russia; [Ahmed, Syed Shahbaaz] Rajalakshmi Engn Coll, Madras, Tamil Nadu, India; [Vijayaraghavan, Vineeth] Solarill Fdn, Res & Outreach, Chennai, Tamil Nadu, India	Srinivasan, G (corresponding author), Easwari Engn Coll, Madras, Tamil Nadu, India.	gosakan.s.in@ieee.org; chandirasekarendiran.anandan.1994@ieee.org; aashish.jains.1995@ieee.org; syed.s.ahmed@ieee.org; vineethv@ieee.org						6	0	0	0	0	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-2757-6				2016													4	Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic	Computer Science; Engineering	BG7QG	WOS:000391615800019					2021-02-18	
B	Zhang, LQ; Xiao, JF; Wang, P; Pan, XW			IEEE	Zhang, Longqi; Xiao, Jianfang; Wang, Peng; Pan, Xuewei			Design and Implementation of Communication Network for Modular Microgrid based Power Park	2016 IEEE INNOVATIVE SMART GRID TECHNOLOGIES - ASIA (ISGT-ASIA)			English	Proceedings Paper	IEEE Innovative Smart Grid Technologies - Asia (ISGT-Asia)	NOV 28-DEC 01, 2016	Melbourne, AUSTRALIA	IEEE, IEEE Power & Energy Soc, Univ Melbourne		Mirogrid Module; Power Park; Communication Network; Field-Area Network (FAN); Park-Area Network (PAN)		Power Park comprised of multiple modular microgrids exhibits advantages including: better control flexibility, higher scalability, higher reliability, etc. The energy management system (EMS) of the Power Park can be divided into three layers, namely, converter layer, microgrid module layer and Power Park layer. In order to realize system control objectives in different layers, Beaglebone Black (BBB) is implemented for both microgrid module controller and Power Park Controller. BBB is a low-power open-source hardware single-board computer. Different control algorithms are implemented in each layer to realize respective control objectives. In converter layer control, converter controllers are scheduled to operate based on local information to realize systematic coordination in distributed control. In microgrid module layer, BBB coordinates various converters based on the Field-Area Network (FAN) communication. Functions like secondary voltage/frequency regulation, contingency analysis, etc. are executed to enhance control accuracy within the module. In Power Park layer, Park-Area Network (PAN) is implemented for communication between the central controller and multiple module controllers. Unit Commitment (UC), Economic Dispatch (ED) and Optimal Power Flow (OPF) are executed to schedule the coordination among modules as well as power exchange with utility grid to realize economic optimization.	[Zhang, Longqi; Xiao, Jianfang] Nanyang Technol Univ, Energy Res Inst, Singapore, Singapore; [Wang, Peng] Nanyang Technol Univ, Sch Elect & Elect Engn, Singapore, Singapore; [Pan, Xuewei] Harbin Inst Teclinol, Shenzhen Grad Sch, Shenzhen, Peoples R China	Zhang, LQ (corresponding author), Nanyang Technol Univ, Energy Res Inst, Singapore, Singapore.	LQZhang@ntu.edu.sg	Wang, Peng/A-5044-2011					16	6	6	0	5	IEEE	NEW YORK	345 E 47TH ST, NEW YORK, NY 10017 USA			978-1-5090-4303-3				2016							160	165					6	Computer Science, Interdisciplinary Applications; Engineering, Electrical & Electronic	Computer Science; Engineering	BG7WJ	WOS:000391851500028					2021-02-18	
