PT	AN	DT	TI	FT	AU	CA	SO	VL	IS	PS	PY	PD	LA	U1	U2	AB	A2	C1	RI	OI	MH	SS	ID	SD	GN	CN	NM	SF	SC	SN	JC	PA	GI	OB	SA	IV	NR	RC	NO	PE	NT	DI	UT	OA	HC	HP	DA
J	31370930	Journal Article	DIY optogenetics: Building, programming, and using the Light Plate Apparatus.		Gerhardt, Karl P; Castillo-Hair, Sebastian M; Tabor, Jeffrey J		Methods in enzymology	624		197-226	2019	2019  (Epub 2019 May 21)	English	1	1	© 2019 Elsevier Inc. All rights reserved.Optogenetic systems enable unmatched precision for controlling molecular biological processes but require the use of specialized electrical and optical hardware. In an effort to make working with optogenetic systems more accessible, we recently described an open-source hardware platform called the Light Plate Apparatus (LPA). The LPA is a device capable of delivering two independent light signals from standard LEDs to wells of a 24-well culture plate. Basic to advanced level light programs can be created for the LPA in Iris, an easy to use, open-source web application. In this chapter, we describe each step required to build, program, and use the LPA.		Department of Bioengineering, Rice University, Houston, TX, United States.; Department of Bioengineering, Rice University, Houston, TX, United States; Department of Biosciences, Rice University, Houston, TX, United States. Electronic address: jeff.tabor@rice.edu.				Index Medicus	DIY; Hardware; Open-source; Optogenetics; Photobiology; Software							1557-7988	0212271	United States			In-Process			 / 05 Jan 2020		21 May 2019		10.1016/bs.mie.2019.04.018	MEDLINE:31370930				2020-04-16
J	30837543	Journal Article; Research Support, Non-U.S. Gov't	pyPhotometry: Open source Python based hardware and software for fiber photometry data acquisition.		Akam, Thomas; Walton, Mark E		Scientific reports	9	1	3521	2019	2019 03 05	English	1	5	Fiber photometry is the process of recording bulk neural activity by measuring fluorescence changes in activity sensitive indicators such as GCaMP through an optical fiber. We present a system of open source hardware and software for fiber photometry data acquisition consisting of a compact, low cost, data acquisition board built around the Micropython microcontroller, and a cross platform graphical user interface (GUI) for controlling acquisition and visualising signals. The system can acquire two analog and two digital signals, and control two external LEDs via built in LED drivers. Time-division multiplexed illumination allows independent readout of fluorescence evoked by different excitation wavelengths from a single photoreceiver signal. Validation experiments indicate this approach offers better signal to noise for a given average excitation light intensity than sinusoidally-modulated illumination. pyPhotometry is substantially cheaper than commercial hardware filling the same role, and we anticipate, as an open source and comparatively simple tool, it will be easily adaptable and therefore of broad interest to a wide range of users.		Department of Experimental Psychology, Oxford University, Oxford, UK. thomas.akam@psy.ox.ac.uk.; Champalimaud Neuroscience Program, Champalimaud Center for the Unknown, Lisbon, Portugal. thomas.akam@psy.ox.ac.uk.; Department of Experimental Psychology, Oxford University, Oxford, UK.				Index Medicus								2045-2322	101563288	England	 / Wellcome TrustWellcome Trust. 202831/Z/16/Z / Wellcome TrustWellcome Trust		PubMed-not-MEDLINE			 / 19 Mar 2020 / 19 Mar 2020		05 Mar 2019		10.1038/s41598-019-39724-y	MEDLINE:30837543	DOAJ Gold, Green Published			2020-04-16
J	30468825	Journal Article; Research Support, Non-U.S. Gov't	Open-source hardware designs for MRI of mice, rats, and marmosets: Integrated animal holders and radiofrequency coils.		Gilbert, Kyle M; Schaeffer, David J; Gati, Joseph S; Klassen, L Martyn; Everling, Stefan; Menon, Ravi S		Journal of neuroscience methods	312		65-72	2019	2019 01 15 (Epub 2018 Nov 20)	English	4	11	Copyright © 2018 Elsevier B.V. All rights reserved.BACKGROUND: Small-animal MRI is an important investigative tool for basic and preclinical research. High-resolution anatomical and functional studies of the brain require artifact-free images that are acquired with a highly sensitive radiofrequency (RF) coil.NEW METHOD: The animal holder plays an important role in mitigating image artifacts: motion artifacts are reduced by immobilizing the animal and geometric-distortion artifacts are reduced by accurately positioning the animal to improve static-field shimming. The RF coil, in turn, must provide high sensitivity over the whole brain and not physically interfere with the animal holder. To accomplish these tasks, the animal holder and RF coil should be designed in tandem. In this manuscript, animal holders and RF coils for mice, rats, and marmoset monkeys are described. Each animal holder includes components for anesthesia delivery and animal immobilization, as well as a compatible receive coil.RESULTS/COMPARISON WITH EXISTING METHOD(S): Animal holders were capable of accurate and reproducible positioning (for the marmoset, this was in the stereotactic plane), consequently reducing geometric distortion in echo-planar images. Ear bars were designed in conjunction with receive-coil formers, thereby maximizing the sensitive region of coils, while concurrently reducing motion to less than a pixel over EPI time series. Motion and SNR were quantified to facilitate direct comparison to existing animal holders and RF coils. All computer-aided-design (CAD) files of animal holders and RF coils are provided to promote dissemination.CONCLUSIONS: The confluence of design between the animal holder and RF coil provides a pragmatic solution for routine imaging of small animals.		Centre for Functional and Metabolic Mapping, The University of Western Ontario, London, Ontario, Canada. Electronic address: kgilbert@robarts.ca.; Centre for Functional and Metabolic Mapping, The University of Western Ontario, London, Ontario, Canada.; Centre for Functional and Metabolic Mapping, The University of Western Ontario, London, Ontario, Canada; Department of Physiology and Pharmacology, The University of Western Ontario, London, Ontario, Canada.			Animals. Artifacts. Brain / anatomy & histology; *diagnostic imaging; physiology. Callithrix. Equipment Design. Magnetic Resonance Imaging / *instrumentation; *methods. Mice. Radio Waves. Rats. Reproducibility of Results. Signal-To-Noise Ratio. Stereotaxic Techniques / *instrumentation	Index Medicus	Animal holder; Computer-aided design; MRI; Radiofrequency coil; Small-animal imaging; Stereotactic						General & Internal Medicine; Neurosciences & Neurology; Zoology; Radiology, Nuclear Medicine & Medical Imaging; Physics; Surgery (provided by Clarivate Analytics)	1872-678X	7905558	Netherlands			MEDLINE			 / 20 Mar 2020 / 20 Mar 2020		20 Nov 2018		10.1016/j.jneumeth.2018.11.015	MEDLINE:30468825				2020-04-16
J	30229967	Journal Article; Research Support, Non-U.S. Gov't; Review	Open source capillary electrophoresis.		Kuban, Petr; Foret, Frantisek; Erny, Guillaume		Electrophoresis	40	1	65-78	2019	2019 01 (Epub 2018 Sep 27)	English	12	37	© 2018 WILEY-VCH Verlag GmbH & Co. KGaA, Weinheim.Open source paradigm is becoming widely accepted in scientific communities and open source hardware is finding its steady place in chemistry research. In this review article, we provide the reader with the most up-to-date information on open source hardware and software resources enabling the construction and utilization of an "open source capillary electrophoresis instrument". While CE is still underused as a separation technique, it offers unique flexibility, low-cost, and high efficiency and is particularly suitable for open source instrumental development. We overview the major parts of CE instruments, such as high voltage power supplies, detectors, data acquisition systems, and CE software resources with emphasis on availability of the open source information on the web and in the scientific literature. This review is the first of its kind, revealing accessible blueprints of most parts from which a fully functional open source CE system can be built. By collecting the extensive information on open source capillary electrophoresis in this review article, the authors aim at facilitating the dissemination of knowledge on CE within and outside the scientific community, fosters innovation and inspire other researchers to improve the shared CE blueprints.		Department of Bioanalytical Instrumentation, CEITEC Masaryk University, Brno, Czech Republic.; Department of Bioanalytical Instrumentation, Institute of Analytical Chemistry, Academy of Sciences of the Czech Republic, Brno, Czech Republic.; LEPABE - Laboratory for Process Engineering, Environment, Biotechnology and Energy, Chemical Engineering Department, Faculty of Engineering - University of Porto, Porto, Portugal.	; Foret, Frantisek/D-9495-2012	Erny, Guillaume/0000-0003-2636-6740; Foret, Frantisek/0000-0002-0060-7350; Kuban, Petr/0000-0002-4056-5570	Electronics / instrumentation. Electrophoresis, Capillary / *instrumentation. Equipment Design. Software	Index Medicus	Capillary electrophoresis; Open source hardware; Open source software; Review						Engineering; Biochemistry & Molecular Biology; Computer Science (provided by Clarivate Analytics)	1522-2683	8204476	Germany	 / Ministry of Education, Youth and Sports of the Czech RepublicMinistry of Education, Youth & Sports - Czech Republic. 17-31945A / Grant Agency of the Czech Ministry of Health. NV-18-08-00189 / Grant Agency of the Czech Ministry of Health. RVO: 68081715 / Grant Agency of the Czech Ministry of Health. POCI-01-0145-FEDER-006939 / Grant Agency of the Czech Ministry of Health.  / Laboratory for Process Engineering, Environment, Biotechnology and Energy. COMPETE2020 / European Regional Development FundEuropean Union (EU). NORTE-01-0145-FEDER-000005 / European Regional Development FundEuropean Union (EU). IF/00528/2013 / Operational Program for Human Potential and by National Funds through FCT. Action CA 16215 / Operational Program for Human Potential and by National Funds through FCT.  / European Cooperation in Science and TechnologyEuropean Cooperation in Science and Technology (COST).  / Institute of Analytical Chemistry of the Academy of Sciences. LQ1601 / Central European Institute of Technology		MEDLINE			 / 30 Dec 2019 / 30 Dec 2019		27 Sep 2018		10.1002/elps.201800304	MEDLINE:30229967	Bronze			2020-04-16
J	30080140	Journal Article; Research Support, Non-U.S. Gov't	Creamino: A Cost-Effective, Open-Source EEG-Based BCI System.		Chiesi, Matteo; Guermandi, Marco; Placati, Silvio; Scarselli, Eleonora Franchi; Guerrieri, Roberto		IEEE transactions on bio-medical engineering	66	4	900-909	2019	2019 04 (Epub 2018 Aug 03)	English	5	18	This paper presents an open source framework called Creamino. It consists of an Arduino-based cost-effective quick-setup EEG platform built with off-the-shelf components and a set of software modules that easily allow users to connect this system to Simulink or BCI-oriented tools (such as BCI2000 or OpenViBE) and set up a wide number of neuroscientific experiments. Creamino is capable of processing multiple EEG channels in real-time and operates under Windows, Linux, and Mac OS X in real-time on a standard PC. Its objective is to provide a system that can be readily fabricated and used for neurophysiological experiments and, at the same time, can serve as the basis for development of novel BCI platforms by accessing and modifying its open source hardware and software libraries. Schematics, gerber files, bill of materials, source code, software modules, demonstration videos, and instructions on how to use these modules are available free of charge for research and educational purposes online at https://github.com/ArcesUnibo/creamino. Application cases show how the system can be used for neuroscientific or BCI experiments. Thanks to its low production cost and its compatibility with open-source BCI tools, the system presented is particularly suitable for use in BCI research and educational applications.					Adult. *Brain-Computer Interfaces. *Electroencephalography / economics; instrumentation; methods. Equipment Design. Humans. Male. *Signal Processing, Computer-Assisted. *Software. Young Adult	Index Medicus							Neurosciences & Neurology; Computer Science (provided by Clarivate Analytics)	1558-2531	0012737	United States			MEDLINE			 / 07 Feb 2020 / 07 Feb 2020		03 Aug 2018		10.1109/TBME.2018.2863198	MEDLINE:30080140				2020-04-16
J	30366415	Journal Article	A Low-Cost Open Hardware System for Collecting Traffic Data Using Wi-Fi Signal Strength.		Gupta, Shivam; Hamzin, Albert; Degbelo, Auriol		Sensors (Basel, Switzerland)	18	11		2018	2018 Oct 25	English	0	0	Road traffic and its impacts affect various aspects of wellbeing with safety, congestion and pollution being of significant concern in cities. Although there have been a large number of works done in the field of traffic data collection, there are several barriers which restrict the collection of traffic data at higher resolution in the cities. Installation and maintenance costs can act as a disincentive to use existing methods (e.g., loop detectors, video analysis) at a large scale and hence limit their deployment to only a few roads of the city. This paper presents an approach for vehicle counting using a low cost, simple and easily installable system. In the proposed system, vehicles (i.e., bicycles, cars, trucks) are counted by means of variations in the WiFi signals. Experiments with the developed hardware in two different scenarios-low traffic (i.e., 400 objects) and heavy traffic roads (i.e., 1000 objects)-demonstrate its ability to detect cars and trucks. The system can be used to provide estimates of vehicle numbers for streets not covered by official traffic monitoring techniques in future smart cities.		Institute For Geoinformatics, Westfalische Wilhelms-Universitat, 48149 Munster, Germany. shivam.gupta@uni-muenster.de.; Institute For Geoinformatics, Westfalische Wilhelms-Universitat, 48149 Munster, Germany. albert.hamzin@uni-muenster.de.; Institute For Geoinformatics, Westfalische Wilhelms-Universitat, 48149 Munster, Germany. degbelo@uni-muenster.de.	Gupta, Shivam/E-2555-2016	Gupta, Shivam/0000-0002-1450-5435; Degbelo, Auriol/0000-0001-5087-8776; Hamzin, Albert/0000-0001-6096-4707			WiFi signals; low cost sensors; open hardware; smart cities; traffic counter; traffic monitoring							1424-8220	101204366	Switzerland	642332 / H2020 Marie Sklodowska-Curie ActionsEuropean Union (EU)		PubMed-not-MEDLINE			 / 30 Oct 2018 / 17 Dec 2018		25 Oct 2018		10.3390/s18113623	MEDLINE:30366415	DOAJ Gold, Green Published			2020-04-16
J	30424336	Journal Article	From Lab on a Chip to Point of Care Devices: The Role of Open Source Microcontrollers.		Nguyen, Trieu; Zoega Andreasen, Sune; Wolff, Anders; Duong Bang, Dang		Micromachines	9	8		2018	2018 Aug 14	English	3	19	Microcontrollers are programmable, integrated circuit chips. In the last two decades, their applications to industrial instruments, vehicles, and household appliances have reached the extent that microcontrollers are now the number-one selling electronic chip of all kinds. Simultaneously, the field of lab-on-a-chip research and technology has seen major technological leaps towards sample handling, sample preparation, and sensing for use in molecular diagnostic devices. Yet, the transformation from a laboratory based lab-on-a-chip technology to actual point-of-care device products has largely been limited to a fraction of the foreseen potential. We believe that increased knowledge of the vast possibilities that becomes available with open source microcontrollers, especially when embedded in easy-to-use development environments, such as the Arduino or Raspberry Pi, could potentially solve and even bridge the gap between lab-on-a-chip technology and real-life point of care applications. The profuse availability and extraordinary capabilities of microcontrollers, namely within computation, communication, and networking, combined with easy-to-use development environments, as well as a very active and fast moving community of makers, who are eager to share their knowledge, could potentially be the difference between a dreadful "chip-in-a-lab"-situation, and the next successful start-up. Here follows a brief insight into how open source microcontrollers could potentially have a transformative effect on the field of lab-on-a-chip research and technology. Details in some specific areas of application are briefly treated before addressing challenges and future perspectives.		Laboratory of Applied Micro and Nanotechnology (LAMINATE), National Food Institute, Technical University of Denmark (DTU-Food), DK-2800 Kongens Lyngby, Denmark. tring@food.dtu.dk.; Department of Micro- and Nanotechnology, Technical University of Denmark, Orsteds Plads, DK-2800 Kongens Lyngby, Denmark. sunez@nanotech.dtu.dk.; Department of Micro- and Nanotechnology, Technical University of Denmark, Orsteds Plads, DK-2800 Kongens Lyngby, Denmark. anders.wolff@nanotech.dtu.dk.; Laboratory of Applied Micro and Nanotechnology (LAMINATE), National Food Institute, Technical University of Denmark (DTU-Food), DK-2800 Kongens Lyngby, Denmark. ddba@food.dtu.dk.	Nguyen, Trieu/J-8686-2019; Wolff, Anders/B-7601-2011; Nguyen, Trieu/J-2684-2018	Nguyen, Trieu/0000-0002-3862-7373; Wolff, Anders/0000-0001-9596-1215; Nguyen, Trieu/0000-0002-3862-7373; Bang, Dang Duong/0000-0001-8937-687X			Arduino; lab on a chip; microcontroller; open source hardware; point of care device							2072-666X	101640903	Switzerland	687697 / Horizon 2020		PubMed-not-MEDLINE			 / 16 Nov 2018		14 Aug 2018		10.3390/mi9080403	MEDLINE:30424336	DOAJ Gold, Green Published			2020-04-16
J	29809097	Journal Article	Development of a Laparoscopic Box Trainer Based on Open Source Hardware and Artificial Intelligence for Objective Assessment of Surgical Psychomotor Skills.		Alonso-Silverio, Gustavo A; Perez-Escamirosa, Fernando; Bruno-Sanchez, Raul; Ortiz-Simon, Jose L; Munoz-Guerrero, Roberto; Minor-Martinez, Arturo; Alarcon-Paredes, Antonio		Surgical innovation	25	4	380-388	2018	2018 Aug (Epub 2018 May 29)	English	6	21	BACKGROUND: A trainer for online laparoscopic surgical skills assessment based on the performance of experts and nonexperts is presented. The system uses computer vision, augmented reality, and artificial intelligence algorithms, implemented into a Raspberry Pi board with Python programming language.METHODS: Two training tasks were evaluated by the laparoscopic system: transferring and pattern cutting. Computer vision libraries were used to obtain the number of transferred points and simulated pattern cutting trace by means of tracking of the laparoscopic instrument. An artificial neural network (ANN) was trained to learn from experts and nonexperts' behavior for pattern cutting task, whereas the assessment of transferring task was performed using a preestablished threshold. Four expert surgeons in laparoscopic surgery, from hospital "Raymundo Abarca Alarcon," constituted the experienced class for the ANN. Sixteen trainees (10 medical students and 6 residents) without laparoscopic surgical skills and limited experience in minimal invasive techniques from School of Medicine at Universidad Autonoma de Guerrero constituted the nonexperienced class. Data from participants performing 5 daily repetitions for each task during 5 days were used to build the ANN.RESULTS: The participants tend to improve their learning curve and dexterity with this laparoscopic training system. The classifier shows mean accuracy and receiver operating characteristic curve of 90.98% and 0.93, respectively. Moreover, the ANN was able to evaluate the psychomotor skills of users into 2 classes: experienced or nonexperienced.CONCLUSION: We constructed and evaluated an affordable laparoscopic trainer system using computer vision, augmented reality, and an artificial intelligence algorithm. The proposed trainer has the potential to increase the self-confidence of trainees and to be applied to programs with limited resources.		1 Universidad Autonoma de Guerrero, Chilpancingo, Guerrero, Mexico.; 2 Universidad Nacional Autonoma de Mexico UNAM, Ciudad de Mexico, Mexico.; 3 Instituto Tecnologico de Nuevo Laredo, Tamaulipas, Mexico.; 4 Instituto Politecnico Nacional, Ciudad de Mexico, Mexico.	Alarcon-Paredes, Antonio/Q-6353-2018	Alarcon-Paredes, Antonio/0000-0002-9785-1252; Perez-Escamirosa, Fernando/0000-0001-7886-8692; Alonso-Silverio, Gustavo A/0000-0002-2699-140X	Education, Medical. Humans. Laparoscopy / *education. *Neural Networks (Computer). Psychomotor Performance / *physiology. ROC Curve. Students, Medical. Task Performance and Analysis. *Virtual Reality	Index Medicus	augmented reality; classification of MIS skills; laparoscopy box simulator; objective assessment						Education & Educational Research; Surgery; Computer Science; Psychology; Behavioral Sciences; Mathematics (provided by Clarivate Analytics)	1553-3514	101233809	United States			MEDLINE			 / 14 Dec 2018 / 14 Dec 2018		29 May 2018		10.1177/1553350618777045	MEDLINE:29809097				2020-04-16
J	30011820	Journal Article	Shaping Streamflow Using a Real-Time Stormwater Control Network.		Mullapudi, Abhiram; Bartos, Matthew; Wong, Brandon; Kerkez, Branko		Sensors (Basel, Switzerland)	18	7		2018	2018 Jul 13	English	2	8	"Smart" water systems are transforming the field of stormwater management by enabling real-time monitoring and control of previously static infrastructure. While the localized benefits of active control are well-established, the potential for system-scale control of watersheds is poorly understood. This study shows how a real-world smart stormwater system can be leveraged to shape streamflow within an urban watershed. Specifically, we coordinate releases from two internet-controlled stormwater basins to achieve desired control objectives downstream-such as maintaining the flow at a set-point, and generating interleaved waves. In the first part of the study, we describe the construction of the control network using a low-cost, open-source hardware stack and a cloud-based controller scheduling application. Next, we characterize the system's control capabilities by determining the travel times, decay times, and magnitudes of various waves released from the upstream retention basins. With this characterization in hand, we use the system to generate two desired responses at a critical downstream junction. First, we generate a set-point hydrograph, in which flow is maintained at an approximately constant rate. Next, we generate a series of overlapping and interleaved waves using timed releases from both retention basins. We discuss how these control strategies can be used to stabilize flows, thereby mitigating streambed erosion and reducing contaminant loads into downstream waterbodies.		Department of Civil & Environmental Engineering, University of Michigan; Ann Arbor, MI 48109, USA. abhiramm@umich.edu.; Department of Civil & Environmental Engineering, University of Michigan; Ann Arbor, MI 48109, USA. mdbartos@umich.edu.; Department of Civil & Environmental Engineering, University of Michigan; Ann Arbor, MI 48109, USA. bpwong@umich.edu.; Department of Civil & Environmental Engineering, University of Michigan; Ann Arbor, MI 48109, USA. bkerkez@umich.edu.		Bartos, Matthew/0000-0001-6421-222X; Wong, Brandon/0000-0002-0109-6150; Mullapudi, Abhiram/0000-0001-8141-3621			real time control; smart cities; smart water systems; stormwater; wireless sensor networks							1424-8220	101204366	Switzerland			PubMed-not-MEDLINE			 / 20 Jul 2018 / 09 Aug 2018		13 Jul 2018		10.3390/s18072259	MEDLINE:30011820	DOAJ Gold, Green Published			2020-04-16
J	29976850	Journal Article	SoEasy: A Software Framework for Easy Hardware Control Programming for Diverse IoT Platforms.		Lee, Junyoung; Park, Gwang-Il; Shin, Jong-Ha; Lee, Jin-Hae; Sreenan, Cormac J; Yoo, Seong-Eun		Sensors (Basel, Switzerland)	18	7		2018	2018 Jul 05	English	1	1	Many Internet of Things (IoT) applications are emerging and evolving rapidly thanks to widespread open-source hardware platforms. Most of the high-end open-source IoT platforms include built-in peripherals, such as the universal asynchronous receiver and transmitter (UART), pulse width modulation (PWM), general purpose input output (GPIO) ports and timers, and have enough computation power to run embedded operating systems such as Linux. However, each IoT platform has its own way of configuring peripherals, and it is difficult for programmers or users to configure the same peripheral on a different platform. Although diverse open-source IoT platforms are widespread, the difficulty in programming those platforms hinders the growth of IoT applications. Therefore, we propose an easy and convenient way to program and configure the operation of each peripheral using a user-friendly Web-based software framework. Through the implementation of the software framework and the real mobile robot application development along with it, we show the feasibility of the proposed software framework, named SoEasy.		Department of Computer and Communication Engineering, Daegu University, Gyeongsan 38453, Korea. ljy908@daegu.ac.kr.; School of Computer and Communication Engineering, Daegu University, Gyeongsan 38453, Korea. pki054@daegu.ac.kr.; School of Computer and Communication Engineering, Daegu University, Gyeongsan 38453, Korea. prattlesjh@daegu.ac.kr.; School of Computer and Communication Engineering, Daegu University, Gyeongsan 38453, Korea. centipede486@daegu.ac.kr.; Department of Computer Science, University College Cork, Cork T12 YN60, Ireland. cjs@cs.ucc.ie.; School of Computer and Communication Engineering, Daegu University, Gyeongsan 38453, Korea. seyoo@daegu.ac.kr.		Yoo, Seong-eun/0000-0003-3626-342X			Internet of Things; IoT development tool; Web of Things; visual programming tool							1424-8220	101204366	Switzerland			PubMed-not-MEDLINE			 / 06 Jul 2018 / 09 Aug 2018		05 Jul 2018		10.3390/s18072162	MEDLINE:29976850	DOAJ Gold, Green Published			2020-04-16
J	30424124	Journal Article	Open Design 3D-Printable Adjustable Micropipette that Meets the ISO Standard for Accuracy.		Brennan, Martin D; Bokhari, Fahad F; Eddington, David T		Micromachines	9	4		2018	2018 Apr 18	English	0	0	Scientific communities are drawn to the open source model as an increasingly utilitarian method to produce and share work. Initially used as a means to develop freely-available software, open source projects have been applied to hardware including scientific tools. Increasing convenience of 3D printing has fueled the proliferation of open labware projects aiming to develop and share designs for scientific tools that can be produced in-house as inexpensive alternatives to commercial products. We present our design of a micropipette that is assembled from 3D-printable parts and some hardware that works by actuating a disposable syringe to a user-adjustable limit. Graduations on the syringe are used to accurately adjust the set point to the desired volume. Our open design printed micropipette is assessed in comparison with a commercial pipette and meets the ISO 8655 standards.		Department of Bioengineering, University of Illinois at Chicago, Chicago, IL 60607, USA. mbrenn3@uic.edu.; Department of Bioengineering, University of Illinois at Chicago, Chicago, IL 60607, USA. fbokha2@uic.edu.; Department of Bioengineering, University of Illinois at Chicago, Chicago, IL 60607, USA. dte@uic.edu.	, Martin/R-3672-2018	, Martin/0000-0002-1118-0911			3D printing; functional prototyping; open source labware							2072-666X	101640903	Switzerland			PubMed-not-MEDLINE			 / 16 Nov 2018		18 Apr 2018		10.3390/mi9040191	MEDLINE:30424124	DOAJ Gold, Green Published			2020-04-16
J	30775638	Journal Article	Controller for microfluidic large-scale integration.		White, Jonathan A; Streets, Aaron M		HardwareX	3		135-145	2018	2018 Apr (Epub 2017 Oct 31)	English	0	1	Microfluidic devices with integrated valves provide precise, programmable fluid handling platforms for high-throughput biological or chemical assays. However, setting up the infrastructure to control such platforms often requires specific engineering expertise or expensive commercial solutions. To address these obstacles, we present a Kit for Arduino-based Transistor Array Actuation (KATARA), an open-source and low-cost Arduino-based controller that can drive 70 solenoid valves to pneumatically actuate integrated microfluidic valves. We include a python package with a GUI to control the KATARA from a personal computer. No programming experience is required.		Department of Bioengineering University of California, Berkeley, CA 94720, United States.; Chan Zuckerberg Biohub, San Francisco, CA 94158, United States.					Arduino shield; Microfluidics; Multi-layer soft lithography; Open source hardware; Python; Solenoid valve							2468-0672	101710262	England	R35 GM124916 / NIGMS NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Institute of General Medical Sciences (NIGMS)		PubMed-not-MEDLINE			 / 22 Feb 2019		31 Oct 2017		10.1016/j.ohx.2017.10.002	MEDLINE:30775638	DOAJ Gold, Green Accepted			2020-04-16
J	30498799	Journal Article	Large volume syringe pump extruder for desktop 3D printers.		Pusch, Kira; Hinton, Thomas J; Feinberg, Adam W		HardwareX	3		49-61	2018	2018 Apr (Epub 2018 Feb 12)	English	0	1	Syringe pump extruders are required for a wide range of 3D printing applications, including bioprinting, embedded printing, and food printing. However, the mass of the syringe becomes a major challenge for most printing platforms, requiring compromises in speed, resolution and/or volume. To address these issues, we have designed a syringe pump large volume extruder (LVE) that is compatible with low-cost, open source 3D printers, and herein demonstrate its performance on a PrintrBot Simple Metal. Key aspects of the LVE include: (1) it is open source and compatible with open source hardware and software, making it inexpensive and widely accessible to the 3D printing community, (2) it utilizes a standard 60 mL syringe as its ink reservoir, effectively increasing print volume of the average bioprinter, (3) it is capable of retraction and high speed movements, and (4) it can print fluids using nozzle diameters as small as 100 m, enabling the printing of complex shapes/objects when used in conjunction with the freeform reversible embedding of suspended hydrogels (FRESH) 3D printing method. Printing performance of the LVE is demonstrated by utilizing alginate as a model biomaterial ink to fabricate parametric CAD models and standard calibration objects.		Department of Materials Science & Engineering, Carnegie Mellon University, United States.; Department of Biomedical Engineering, Carnegie Mellon University, United States.					3D bioprinting; Additive manufacturing; Embedded printing; FRESH; Soft materials extrusion							2468-0672	101710262	England	DP2 HL117750 / NHLBI NIH HHSUnited States Department of Health & Human ServicesNational Institutes of Health (NIH) - USANIH National Heart Lung & Blood Institute (NHLBI)		PubMed-not-MEDLINE			 / 03 Dec 2018		12 Feb 2018		10.1016/j.ohx.2018.02.001	MEDLINE:30498799	DOAJ Gold, Green Accepted			2020-04-16
J	29596394	Journal Article	Real-Time Processing Library for Open-Source Hardware Biomedical Sensors.		Molina-Cantero, Alberto J; Castro-Garcia, Juan A; Lebrato-Vazquez, Clara; Gomez-Gonzalez, Isabel M; Merino-Monge, Manuel		Sensors (Basel, Switzerland)	18	4		2018	2018 Mar 29	English	1	4	Applications involving data acquisition from sensors need samples at a preset frequency rate, the filtering out of noise and/or analysis of certain frequency components. We propose a novel software architecture based on open-software hardware platforms which allows programmers to create data streams from input channels and easily implement filters and frequency analysis objects. The performances of the different classes given in the size of memory allocated and execution time (number of clock cycles) were analyzed in the low-cost platform Arduino Genuino. In addition, 11 people took part in an experiment in which they had to implement several exercises and complete a usability test. Sampling rates under 250 Hz (typical for many biomedical applications) makes it feasible to implement filters, sliding windows and Fourier analysis, operating in real time. Participants rated software usability at 70.2 out of 100 and the ease of use when implementing several signal processing applications was rated at just over 4.4 out of 5. Participants showed their intention of using this software because it was percieved as useful and very easy to use. The performances of the library showed that it may be appropriate for implementing small biomedical real-time applications or for human movement monitoring, even in a simple open-source hardware device like Arduino Genuino. The general perception about this library is that it is easy to use and intuitive.		Departamento de Tecnologia Electronica, ETS, Ingenieria Informatica, Universidad de Sevilla, 41012 Sevilla, Spain. almolina@us.es.; Departamento de Tecnologia Electronica, ETS, Ingenieria Informatica, Universidad de Sevilla, 41012 Sevilla, Spain. jcastro@dte.us.es.; Departamento de Tecnologia Electronica, ETS, Ingenieria Informatica, Universidad de Sevilla, 41012 Sevilla, Spain. claralevaz@gmail.com.; Departamento de Tecnologia Electronica, ETS, Ingenieria Informatica, Universidad de Sevilla, 41012 Sevilla, Spain. igomez@us.es.; Departamento de Tecnologia Electronica, ETS, Ingenieria Informatica, Universidad de Sevilla, 41012 Sevilla, Spain. manmermon@dte.us.es.	Merino, Manuel/S-1209-2018; Vazquez, Clara Lebrato/AAE-7134-2019; Castro-Garcia, Juan Antonio/P-7406-2016; Gomez, Isabel M./L-5957-2014	Merino, Manuel/0000-0003-0204-4544; Castro-Garcia, Juan Antonio/0000-0003-1128-6879; Gomez, Isabel M./0000-0002-6041-1480; Molina, Alberto/0000-0002-2256-0127	*Biosensing Techniques. Signal Processing, Computer-Assisted. Software	Index Medicus	Arduino; biomedical applications; digital signal processing; open-source hardware; usability test						Medical Laboratory Technology; Computer Science (provided by Clarivate Analytics)	1424-8220	101204366	Switzerland			MEDLINE			 / 12 Jun 2018 / 12 Jun 2018		29 Mar 2018		10.3390/s18041033	MEDLINE:29596394	DOAJ Gold, Green Published			2020-04-16
