"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"RT53KFQR","journalArticle","2015","Wu, Hemmings; Ghekiere, Hartwin; Beeckmans, Dorien; Tambuyzer, Tim; van Kuyck, Kris; Aerts, Jean-Marie; Nuttin, Bart","Conceptualization and validation of an open-source closed-loop deep brain stimulation system in rat","Scientific Reports","","2045-2322","10.1038/srep09921","","Conventional deep brain stimulation (DBS) applies constant electrical stimulation to specific brain regions to treat neurological disorders. Closed-loop DBS with real-time feedback is gaining attention in recent years, after proved more effective than conventional DBS in terms of pathological symptom control clinically. Here we demonstrate the conceptualization and validation of a closed-loop DBS system using open-source hardware. We used hippocampal theta oscillations as system input, and electrical stimulation in the mesencephalic reticular formation (mRt) as controller output. It is well documented that hippocampal theta oscillations are highly related to locomotion, while electrical stimulation in the mRt induces freezing. We used an Arduino open-source microcontroller between input and output sources. This allowed us to use hippocampal local field potentials (LFPs) to steer electrical stimulation in the mRt. Our results showed that closed-loop DBS significantly suppressed locomotion compared to no stimulation, and required on average only 56% of the stimulation used in open-loop DBS to reach similar effects. The main advantages of open-source hardware include wide selection and availability, high customizability, and affordability. Our open-source closed-loop DBS system is effective, and warrants further research using open-source hardware for closed-loop neuromodulation.","2015-04-21","2020-02-03 22:13:41","2020-02-03 22:13:41","","","","","4","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I6CM59EA","journalArticle","2015","Powell, Alison B.","Open culture and innovation: integrating knowledge across boundaries","MEDIA CULTURE & SOCIETY","","0163-4437","10.1177/0163443714567169","","What does open source mean for culture? For knowledge? As cultural production has come to be characterized by contribution as well as consumption and as alternative modes of intellectual property transfer challenge the dominant paradigm' that knowledge and information should be protected and monetized, the logic of open sourcing' has extended into many cultural spheres. This article positions openness' as a value that intermediates between re-usable software code, institutional transparency, and expanded opportunities for participation in knowledge production cultures. By observing and analyzing the expansion of openness' from computer software to electronics hardware, we can develop a framework that identifies the tensions between socio-cultural visions of knowledge commons and the realities of governing those commons. This research focuses in particular on the knowledge related to electronics hardware and other material objects governed by open hardware licenses. The insights in this article are valuable for anyone studying open source and peer production processes and the knowledge claims surrounding them.","2015-04","2020-02-03 22:13:41","2020-02-03 22:13:41","","376-393","","3","37","","","","","","","","","","English","","","","","","","","","","","open hardware; hacking culture; innovation; licenses; open knowledge; research","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P28VQBK","journalArticle","2015","Watteyne, Thomas; Vilajosana, Xavier; Tuset, Pere","Open{WSN| Mote}: Open-Source Industrial IoT","ERCIM NEWS","","0926-4981","","","The OpenWSN project is an open-source implementation of a fully standards-based protocol stack for capillary networks, rooted in the new IEEE802.15.4e Time Synchronized Channel Hopping standard. IEEE802.15.4e, coupled with Internet of Things standards, such as 6LoWPAN, 6TiSCH, RPL and CoAP, enables ultra-low-power and highly reliable mesh networks, which are fully integrated into the Internet. OpenMote is an open-hardware platform designed to facilitate the prototyping and technology adoption of IEEE802.15.4e TSCH networks, and is fully supported by OpenWSN.","2015-04","2020-02-03 22:13:41","2020-02-03 22:13:41","","11-12","","101","","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9C5EW8V6","journalArticle","2015","Vincent, Christopher James; Niezen, Gerrit; O'Kane, Aisling Ann; Stawarz, Katarzyna","Can Standards and Regulations Keep Up With Health Technology?","JMIR MHEALTH AND UHEALTH","","2291-5222","10.2196/mhealth.3918","","Technology is changing at a rapid rate, opening up new possibilities within the health care domain. Advances such as open source hardware, personal medical devices, and mobile phone apps are creating opportunities for custom-made medical devices and personalized care. However, they also introduce new challenges in balancing the need for regulation (ensuring safety and performance) with the need to innovate flexibly and efficiently. Compared with the emergence of new technologies, health technology design standards and regulations evolve slowly, and therefore, it can be difficult to apply these standards to the latest developments. For example, current regulations may not be suitable for approaches involving open source hardware, an increasingly popular way to create medical devices in the maker community. Medical device standards may not be flexible enough when evaluating the usability of mobile medical devices that can be used in a multitude of different ways, outside of clinical settings. Similarly, while regulatory guidance has been updated to address the proliferation of health-related mobile phone apps, it can be hard to know if and when these regulations apply. In this viewpoint, we present three examples of novel medical technologies to illustrate the types of regulatory issues that arise in the current environment. We also suggest opportunities for support, such as advances in the way we review and monitor medical technologies.","2015-06","2020-02-03 22:13:41","2020-02-03 22:13:41","","","","2","3","","","","","","","","","","English","","","","","","","","","","","governmental regulations; health services; medical devices; mHealth; mobile phones; open source initiative; software; standards; technology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIDFAEHL","journalArticle","2015","Elizabeth Oviedo, Sandra; Diaz, Daniel; Maria Otazu, Alejandra; Ibanez, Francisco","A Strategic for Development of Technologic Innovation Skill","CAMPUS VIRTUALES","","2255-1514","","","In recent times innovation has become the most important source of value creation and competitiveness. Some authors have described the innovation process as Engineering Innovation. Currently the software is no longer a technology support, hidden and invisible, to become the driver of value-creating process. Consequently, the challenge of software engineering and engineering innovation should be integrated and complement in order creates new ways to create value. To encourage innovation, in addition to understanding tools and practices of the innovation process, the innovation skills are required. These skills can be grouped into: technical, creativity, collaboration, critical thinking, and management. This paper proposes a strategy based on the use of open source hardware and software to address the development of skills to innovate. The strategy is presented by narrating academic experiences. The aim of these experiments is the conception of new technological products.","2015-03","2020-02-03 22:13:42","2020-02-03 22:13:42","","74-82","","1","4","","","","","","","","","","Spanish","","","","","","","","","","","Arduino; Creativity; Collaborative work; Innovation engineering; Innovation skill; Open hardware and software; Software and innovation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FA3IXRMU","journalArticle","2015","Trilles, Sergio; Lujan, Alejandro; Belmonte, Oscar; Montoliu, Raul; Torres-Sospedra, Joaquin; Huerta, Joaquin","SEnviro: A Sensorized Platform Proposal Using Open Hardware and Open Standards","SENSORS","","1424-8220","10.3390/s150305555","","The need for constant monitoring of environmental conditions has produced an increase in the development of wireless sensor networks (WSN). The drive towards smart cities has produced the need for smart sensors to be able to monitor what is happening in our cities. This, combined with the decrease in hardware component prices and the increase in the popularity of open hardware, has favored the deployment of sensor networks based on open hardware. The new trends in Internet Protocol (IP) communication between sensor nodes allow sensor access via the Internet, turning them into smart objects (Internet of Things and Web of Things). Currently, WSNs provide data in different formats. There is a lack of communication protocol standardization, which turns into interoperability issues when connecting different sensor networks or even when connecting different sensor nodes within the same network. This work presents a sensorized platform proposal that adheres to the principles of the Internet of Things and the Web of Things. Wireless sensor nodes were built using open hardware solutions, and communications rely on the HTTP/IP Internet protocols. The Open Geospatial Consortium (OGC) SensorThings API candidate standard was used as a neutral format to avoid interoperability issues. An environmental WSN developed following the proposed architecture was built as a proof of concept. Details on how to build each node and a study regarding energy concerns are presented.","2015-03","2020-02-03 22:13:42","2020-02-03 22:13:42","","5555-5582","","3","15","","","","","","","","","","English","","","","","","","","","","","open hardware; interoperability; Internet of Things; OGC SensorThings API; sensorized platform; Web of Things; wireless sensor networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JIXB2HI9","journalArticle","2015","Fisher, Roy; Ledwaba, Lehlogonolo; Hancke, Gerhard; Kruger, Carel","Open Hardware: A Role to Play in Wireless Sensor Networks?","SENSORS","","","10.3390/s150306818","","The concept of the Internet of Things is rapidly becoming a reality, with many applications being deployed within industrial and consumer sectors. At the thing' leveldevices and inter-device network communicationthe core technical building blocks are generally the same as those found in wireless sensor network implementations. For the Internet of Things to continue growing, we need more plentiful resources for building intelligent devices and sensor networks. Unfortunately, current commercial devices, e.g., sensor nodes and network gateways, tend to be expensive and proprietary, which presents a barrier to entry and arguably slows down further development. There are, however, an increasing number of open embedded platforms available and also a wide selection of off-the-shelf components that can quickly and easily be built into device and network gateway solutions. The question is whether these solutions measure up to built-for-purpose devices. In the paper, we provide a comparison of existing built-for-purpose devices against open source devices. For comparison, we have also designed and rapidly prototyped a sensor node based on off-the-shelf components. We show that these devices compare favorably to built-for-purpose devices in terms of performance, power and cost. Using open platforms and off-the-shelf components would allow more developers to build intelligent devices and sensor networks, which could result in a better overall development ecosystem, lower barriers to entry and rapid growth in the number of IoT applications.","2015-03","2020-02-03 22:13:42","2020-02-03 22:13:42","","6818-6844","","3","15","","","","","","","","","","English","","","","","","","","","","","Internet of Things; industrial networks; machine to machine; smart grid; wireless sensor network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KII5SU2D","journalArticle","2015","Parada, Francisco J.; Wyatte, Dean; Yu, Chen; Akavipat, Ruj; Emerick, Brandi; Busey, Thomas","ExpertEyes: Open-source, high-definition eyetracking","BEHAVIOR RESEARCH METHODS","","1554-351X","10.3758/s13428-014-0465-z","","ExpertEyes is a low-cost, open-source package of hardware and software that is designed to provide portable high-definition eyetracking. The project involves several technological innovations, including portability, high-definition video recording, and multiplatform software support. It was designed for challenging recording environments, and all processing is done offline to allow for optimization of parameter estimation. The pupil and corneal reflection are estimated using a novel forward eye model that simultaneously fits both the pupil and the corneal reflection with full ellipses, addressing a common situation in which the corneal reflection sits at the edge of the pupil and therefore breaks the contour of the ellipse. The accuracy and precision of the system are comparable to or better than what is available in commercial eyetracking systems, with a typical accuracy of less than 0.4A degrees and best accuracy below 0.3A degrees, and with a typical precision (SD method) around 0.3A degrees and best precision below 0.2A degrees. Part of the success of the system comes from a high-resolution eye image. The high image quality results from uncasing common digital camcorders and recording directly to SD cards, which avoids the limitations of the analog NTSC format. The software is freely downloadable, and complete hardware plans are available, along with sources for custom parts.","2015-03","2020-02-03 22:13:42","2020-02-03 22:13:42","","73-84","","1","47","","","","","","","","","","English","","","","","","","","","","","Open-source software; Open-source hardware; Eyetracking; High-definition; Methodology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XY2HKUPS","journalArticle","2015","Baden, Tom; Chagas, Andre Maia; Gage, Greg; Marzullo, Timothy; Prieto-Godino, Lucia L.; Euler, Thomas","Open Labware: 3-D Printing Your Own Lab Equipment","PLOS BIOLOGY","","1545-7885","10.1371/journal.pbio.1002086","","The introduction of affordable, consumer-oriented 3-D printers is a milestone in the current “maker movement,” which has been heralded as the next industrial revolution. Combined with free and open sharing of detailed design blueprints and accessible development tools, rapid prototypes of complex products can now be assembled in one's own garage-a game-changer reminiscent of the early days of personal computing. At the same time, 3-D printing has also allowed the scientific and engineering community to build the “little things” that help a lab get up and running much faster and easier than ever before.","2015-03","2020-02-03 22:13:43","2020-02-03 22:13:43","","","","3","13","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TX9QSXE","journalArticle","2015","Gopalakrishnan, Maithreyi; Guehr, Markus","A low-cost mirror mount control system for optics setups","AMERICAN JOURNAL OF PHYSICS","","0002-9505","10.1119/1.4895343","","We describe a flexible, simple to build, low-cost, and computer-controlled optical mirror actuator system, developed for undergraduate research laboratories. Geared motors for hobby robotics are controlled by an Arduino microcontroller in combination with an H bridge to finely position mirror mount actuators. We present a graphical user interface based on the Python script language. The price of the fully controlled actuator system is only a small fraction of the price of a commercial system. It can be quickly implemented due to the use of open-hardware electronics. We discuss the performance of the system and give an outlook for future expansions and use in advanced optical setups. (C) 2015 American Association of Physics Teachers.","2015-02","2020-02-03 22:13:43","2020-02-03 22:13:43","","186-190","","2","83","","","","","","","","","","English","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LI93YNAV","conferencePaper","2015","Lastovicka-Medin, Gordana","ADVANCED TEACHING WITH THE EMBEDDED MINI LAB: PROPOSAL FOR DEVELOPING A RADIATION DETECTION PLATFORM FOR LABORATORY USE WITH MULTI RADIATION SENSOR BOARD, ARDUINO AND RASPBERRY PI","RAD 2015: THE THIRD INTERNATIONAL CONFERENCE ON RADIATION AND APPLICATIONS IN VARIOUS FIELDS OF RESEARCH","978-86-80300-01-6","","","","The aim of this paper is to present the new, innovative teaching approach and tinkering pedagogy towards developing the students skills in STEM domains (science, technology, engineering and mathematics) with aim to the designing the laboratory for radiation detector development. Involving from one side concept of social situatedness and connectedness, and from another the concept of independent, self-directed and self-regulated student learning, the project was based on assembling the mini-lab, Radiation Sensor Board for Arduino, that was originally designed to help people in Japan to measure levels of radiation in their everyday life after the Fukushima accident. As it was reported elsewhere, this product was an example of crowdsourcing. When Libelien designed the Radiation Sensor Board for Waspmote, the idea was simple: with the Arduino platform people will be able to have easily running their own detector at home while on the other hand with Waspmote platform authorities will be able to deploy autonomous sensor networks to send the radiation levels from dangerous areas using wireless sensor platform ZigBee and GPRS technologies. This paper present students developing project where the Sensor Board for Arduino was used as assembling, teaching tool. The Do-It-Yourself and Internet of Things can be used both in educational, and in the research and development purposes. Owning their own mini-lab at their disposal anytime, students worked at their learning speed. It also boosted the interest, confidence of students and highly affected three domains of learning: cognitive domain (activities like instrumentation, modeling, experimentation, data analysis and design, psychomotor domain (activities like manipulating the apparatus, sensory awareness) and affective domain (behavior and attitudes to learn from failure, creativity, collaborative communication, safety and ethics in the laboratory). We show that networking learning, supported by hands-on labs on chip, and an open source electronics prototyping platform as Arduino and Raspberry Pi, give great opportunities for teaching and learning the tinkering and inventing skills, an request we have to deal with it at the University of Montenegro. Such project support exploratory and serendipitous learning. It moved teching from an emphasis simply on linear logic and programmed instruction, towards non-linear, networked, branching, hypertext views of learning, in which connections between knowledge are made and developed. It is based on principle of situated cognition and Vigotskian thought: situatedness, commonality, interdependency and infrastructure where learning is fascinated by an activity. The presented project integrate a Virtual Learning Environment, networking knowledge and student-owned movable laboratory on the chip, where radiation was used as a topic and where electronics was embedded and embodied.","2015","2020-02-03 22:13:43","2020-02-03 22:13:43","","165-173","","","","","","","","","","","RAD ASSOC","BULEVAR NIKOLE TESLE 17-12, `, 18000, SERBIA","English","","","","","","","","","","","Arduino; DIY; Raspberry Pi; open source hardware; embedded; Fukushima; radiation","","Ristic, G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
