title,link,cited,relatedLink,position,numOfVersions,publishedData,snippet
A decision support system for optimal equipment selection in open pit mining: Analytical hierarchy process,https://app.trdizin.gov.tr/publication/paper/detail/TXpFeE16RXg,Cited by 57,"https://scholar.google.com/scholar?q=related:se9zytSP6T0J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",11,,"A BAŞÇETİN - İstanbul Üniversitesi Mühendislik Fakültesi …, 2003 - app.trdizin.gov.tr",This study has been directed to the research of an optimal loading-hauling system in an open pit mine. There are many factors that affect the equipment selection processes. These factors are both qualitative and quantitative according to structure of the selection. Decision …
Correction: open labware: 3-d printing your own lab equipment,https://journals.plos.org/plosbiology/article/file?id=10.1371/journal.pbio.1002175&type=printable,Cited by 26,"https://scholar.google.com/scholar?q=related:FoQMaCveTToJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",12,All 11 versions,"T Baden, AM Chagas, GJ Gage, TC Marzullo… - PLoS Biol, 2015 - journals.plos.org","The names of the 3rd and 4th authors are incorrect and should be: Gregory J. Gage and Timothy C. Marzullo, respectively. Please use the corrected citation below.'The NIH 3-D print exchange'was referenced incorrectly in the text. The correct version is: The NIH 3D Print …"
Equipment size effects on open pit mining performance,https://www.tandfonline.com/doi/abs/10.1080/13895260412331326821,Cited by 35,"https://scholar.google.com/scholar?q=related:-jhd-1BqpBUJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",13,All 3 versions,"A Bozorgebrahimi, RA Hall… - International Journal of …, 2005 - Taylor & Francis",This paper discusses the exploitation of economies of scale in open pit mining through the use of increasingly larger equipment. It presents a method adopted to evaluate the impact of increased scale on operational performance factors. The work identifies equipment size …
Optimal open pit mining equipment selection using fuzzy multiple attribute decision making approach,https://www.infona.pl/resource/bwmeta1.element.baztech-article-BPZ5-0005-0008,Cited by 51,"https://scholar.google.com/scholar?q=related:yzF0flLuDrcJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",14,All 3 versions,"AA Bazzazi, M Osanloo, B Karimi - Archives of Mining Sciences, 2009 - infona.pl","Equipment selection in mining engineering is one of the most important decision that is affected the mine design, production planning and economic parameters in open pit mining. Mine planning engineers generally use of their intuition and experiences in decision making …"
Comparing sound measurements in the single-family room with open-unit design neonatal intensive care unit: the impact of equipment noise,https://www.nature.com/articles/jp2011103,Cited by 51,"https://scholar.google.com/scholar?q=related:WkIfmgiLHEEJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",15,All 7 versions,"WF Liu - Journal of Perinatology, 2012 - nature.com",Objective: To determine if measured sound levels in the occupied level 3 single-family room (SFR) neonatal intensive care unit (NICU) will be significantly and perceptibly different from the occupied level 3 open-unit (OU) NICU. Study Design: Case–control. Comparison of …
Evaluation of cleaning procedures in elimination of biofilm from stainless steel surfaces in open process equipment,https://cris.vtt.fi/en/publications/evaluation-of-cleaning-procedures-in-elimination-of-biofilm-from-,Cited by 60,"https://scholar.google.com/scholar?q=related:EOwMMZui_T0J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",16,All 7 versions,"G Wirtanen, H Ahola, T Mattila-Sandholm - Food and Bioproducts …, 1995 - cris.vtt.fi","The Taguchi method of statistical analysis was used to study the parameters used for estimating the effectiveness of cleaning procedures for removing biofilms from stainless steel surfaces. Bacillus subtilis, Listeria monocytogenes, Pediococcus inopinatus and …"
Open innovation in process industries: a lifecycle perspective on development of process equipment,https://www.inderscienceonline.com/doi/abs/10.1504/IJTM.2011.042984,Cited by 45,"https://scholar.google.com/scholar?q=related:W6f5Lbm79VUJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",17,All 4 versions,"D Rönnberg Sjödin, PE Eriksson… - International Journal …, 2011 - inderscienceonline.com","The development and installation of new process equipment in production plants typically requires strong collaboration among a process firm and various equipment suppliers. While incentives to collaborate often are strong, close collaboration also poses significant …"
Application of reliability-centered maintenance for productivity improvement of open pit mining equipment: Case study of Sungun Copper Mine,https://link.springer.com/content/pdf/10.1007/s11771-014-2190-2.pdf,Cited by 39,"https://scholar.google.com/scholar?q=related:AyNoKkF90_UJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",18,All 5 versions,"AM Morad, M Pourgol-Mohammad… - Journal of Central South …, 2014 - Springer",Equipment plays an important role in open pit mining industry and its cost competence at efficient operation and maintenance techniques centered on reliability can lead to significant cost reduction. The application of optimal maintenance process was investigated for …
Open intestinal anastomosis with surgical stapling equipment in 24 dogs and cats,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1532-950X.1991.tb00344.x,Cited by 51,"https://scholar.google.com/scholar?q=related:SKqZS5CGL2AJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",19,All 5 versions,"SL ULLMAN, MM PAVLETIC, GN CLARK - Veterinary Surgery, 1991 - Wiley Online Library",Surgical stapling equipment was used to perform open antiperistaltic side‐to‐side (“functional end‐to‐end”) entero‐anastomoses in 20 dogs and 4 cats. Twenty‐one anastomoses healed uneventfully. Seven animals with severe bacterial peritonitis required …
Development of measuring equipment of dc-biased magnetic properties using open-type single-sheet tester,https://ieeexplore.ieee.org/abstract/document/1704458/,Cited by 54,"https://scholar.google.com/scholar?q=related:8r-PaEBnDpoJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",20,All 9 versions,"D Miyagi, T Yoshida, M Nakano… - IEEE Transactions on …, 2006 - ieeexplore.ieee.org","The use of an iron core under dc-biased magnetization generates distorted asymmetrical hysteresis loop, and the iron loss is increased compared with that under sinusoidal excitation. Although the accurate measurement of magnetic properties under dc-biased …"
A new fuzzy multi criteria decision making model for open pit mines equipment selection,https://www.worldscientific.com/doi/abs/10.1142/S0217595911003247,Cited by 39,"https://scholar.google.com/scholar?q=related:ghq20eRiwjIJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",21,All 8 versions,"A Aghajani Bazzazi, M Osanloo… - Asia-Pacific Journal of …, 2011 - World Scientific","Nowadays, the capital cost of open-pit mining equipment is very high so any mistake in the selection of quantity, type and capacity of equipment may cause irreparable impact on the net present value of mining project. Mine planning engineers generally use their intuition …"
Gram-negative bacteremia in open-heart–surgery patients traced to probable tap-water contamination of pressure-monitoring equipment,https://www.cambridge.org/core/journals/infection-control-and-hospital-epidemiology/article/gramnegative-bacteremia-in-openheartsurgery-patients-traced-to-probable-tapwater-contamination-of-pressuremonitoring-equipment/F92065B6DE8010B62236A0FFF11534B8,Cited by 66,"https://scholar.google.com/scholar?q=related:e0Zv8xNI4owJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",22,All 5 versions,"JR Rudnick, CM Beck-Sague, RL Anderson… - Infection Control & …, 1996 - cambridge.org",Objective: To determine the cause (s) of an outbreak of gram-negative bacteremia (GNB) in open-heart–surgery (OHS) patients at hospital A. Design: Case-control and cohort studies and an environmental survey. Results: Nine patients developed GNB with Enterobacter …
Loading-haulage equipment selection in open pit mines based on fuzzy-TOPSIS method,https://www.researchgate.net/profile/Abbas_Aghajani_bazzazi/publication/264124537_Loading-haulage_equipment_selection_in_open_pit_mines_based_on_fuzzy-TOPSIS_method/links/54ef9aef0cf25f74d722800a/Loading-haulage-equipment-selection-in-open-pit-mines-based-on-fuzzy-TOPSIS-method.pdf,Cited by 26,"https://scholar.google.com/scholar?q=related:T2qkyssSB50J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",23,All 6 versions,"AA Bazzazi, M Osanloo… - Gospodarka Surowcami …, 2008 - researchgate.net",Equipment selection is one of the most important aspects of open pit design. Mining costs are mainly affected by the number and capacity of equipment. Equipment selection for open-pit mines is definitely a major decision which will impact greatly the economic viability of an …
A computer program for open pit mine equipment selection: TruckMac,https://www.taylorfrancis.com/chapters/edit/10.1201/9780203747124-95/computer-program-open-pit-mine-equipment-selection-truckmac-murat-aksoy-erc%C3%BCment-yal%C3%A7in,Cited by 21,"https://scholar.google.com/scholar?q=related:Bc8je2rHxrYJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",24,,"M Aksoy, E Yalçin - Mine planning and equipment selection 2000, 2018 - taylorfrancis.com","Open pit mining by its very nature normally involves the haulage of moderate to large amounts of waste and ore to out of the pit for relatively long distances at steep grades. These requirements affect the layout of the pit, selection of equipment, and production rate. That's …"
Influence of tracheal suctioning systems on health care workers' gloves and equipment contamination: A comparison of closed and open systems,https://www.sciencedirect.com/science/article/pii/S0196655311000496,Cited by 21,"https://scholar.google.com/scholar?q=related:OKy14P0CxCsJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",25,All 12 versions,"JD Ricard, M Eveillard, Y Martin, G Barnaud… - American journal of …, 2011 - Elsevier",The impact of tracheal suctioning with an open or a closed system on equipment and health care workers contamination with multidrug-resistant pathogens was compared. Only the closed system reduced hand and equipment contamination during tracheal suctioning. This …
Methodical principles for planning the mining and loading equipment capacity for open cast mining with the use of dumpers. Part II: Engineering capacity calculation,https://link.springer.com/content/pdf/10.1007/s10913-009-0006-9.pdf,Cited by 13,"https://scholar.google.com/scholar?q=related:-56b3ofcO0QJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",26,All 7 versions,"SG Molotilov, VI Cheskidov, VK Norri… - Journal of mining …, 2009 - Springer","Journal of Mining Science, Vol. 45, No. 1, 2009 … METHODICAL PRINCIPLES FOR PLANNING 
THE MINING AND LOADING EQUIPMENT CAPACITY FOR OPEN CAST MINING WITH THE 
USE OF DUMPERS. PART II: ENGINEERING CAPACITY CALCULATION … SG Molotilov, VI …"
Mining equipment reliability,https://link.springer.com/chapter/10.1007/978-1-84800-288-3_4,Cited by 193,"https://scholar.google.com/scholar?q=related:-8kkZUmrVp8J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",27,All 9 versions,BS Dhillon - 2008 - Springer,"… where OEE is the overall equipment effectiveness. 4.3 Open-Pit-System Reliability Analysis
The selection of equipment for modern open-pit mines has become a challenging issue
in terms of productivity, reliability, availability, maintainability, etc … 
"
Application of AHP-TOPSIS method for loading-haulage equipment selection in open pit mines,https://faculty.kashanu.ac.ir/file/download/articlesInConferences/1550337173-articulo-xxviii-convencion.pdf,Cited by 17,"https://scholar.google.com/scholar?q=related:746hmO76wcoJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",28,,"A Aghajani, M Osanloo - XXVII International Mining …, 2007 - faculty.kashanu.ac.ir","Equipment selection is one of the most important stages in open pit design. Equipment selection is a complex multi person, multi-criteria decision problem. TOPSIS is a multi-attribute decision making (MADM) technique which is a practical and useful technique for …"
The hygienic working practices of maintenance personnel and equipment hygiene in the Finnish food industry,https://www.sciencedirect.com/science/article/pii/S0956713505001714,Cited by 122,"https://scholar.google.com/scholar?q=related:GzzetZAkT_QJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",29,All 8 versions,"K Aarnisalo, K Tallavaara, G Wirtanen, R Maijala… - Food control, 2006 - Elsevier","… of equipment, cooperation between parties who affect equipment hygiene, lubricants used with
equipment, acquiring information on equipment hygiene as … An open question asked the food
and cleaning personnel, how the maintenance personnel should improve their working … 
"
"Review of standards for the use of hydrocarbon refrigerants in A/C, heat pump and refrigeration equipment",https://www.sciencedirect.com/science/article/pii/S0140700707002496,Cited by 113,"https://scholar.google.com/scholar?q=related:xrVwloCc4XoJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",30,All 6 versions,"JM Corberán, J Segurado, D Colbourne… - International Journal of …, 2008 - Elsevier","… Only competent professionals trained in the use of flammable refrigerants are permitted to open
equipment housing or to break into the refrigerant circuit, and the maintenance and repair requiring
the assistance of another skilled person should be carried out under the … 
"
Three-dimensional digitizer (neuronavigator): new equipment for computed tomography-guided stereotaxic surgery,https://www.sciencedirect.com/science/article/pii/0090301987901522,Cited by 569,"https://scholar.google.com/scholar?q=related:O3Vy1CeaqvcJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",31,All 7 versions,"E Watanabe, T Watanabe, S Manaka, Y Mayanagi… - Surgical neurology, 1987 - Elsevier","… Takakura K. Three-dimensional digitizer (neuronavigaror) : new equipment for computed
tomography-guided stereotaxic surgery . Surg Neurol 1987 ;27 :543-' . A new device was invented
as an adjunct for computed tomography (CT)-guided stereotaxic or open neurosur- gery … 
"
Where is microwave-based analytical equipment for solid sample pre-treatment going?,https://www.sciencedirect.com/science/article/pii/S0165993603002024,Cited by 134,"https://scholar.google.com/scholar?q=related:4RaiG1767c8J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",32,All 6 versions,"JL Luque-Garcıa, MDL De Castro - TrAC Trends in Analytical Chemistry, 2003 - Elsevier","… (h) The low cost of the equipment required. (i) The ability to go through leaching cycles until
quantitative removal of the target species is achieved. In addition to these advantages, the
following specifications would make open-vessel systems even more useful. (a) … 
"
Where do the children play? The influence of playground equipment on physical activity of children in free play,https://journals.humankinetics.com/view/journals/jpah/5/2/article-p319.xml,Cited by 96,"https://scholar.google.com/scholar?q=related:M9LojzxXASIJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",33,All 7 versions,"TA Farley, RA Meriwether… - … of physical activity …, 2008 - journals.humankinetics.com","… an open, unequipped grass field (2252 m2); (2) a grass and concrete area (1030 m2), consisting
of an open concrete area with picnic tables, a covered concrete area with additional picnic tables
and benches, and some open grassy patches, but no fixed play equipment; (3) an … 
"
Predicting free-space radiated emissions from electronic equipment using TEM cell and open-field site measurements,https://ui.adsabs.harvard.edu/abs/1980emc..symp...80C/abstract,Cited by 20,"https://scholar.google.com/scholar?q=related:00HKk45ZDw0J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",34,All 5 versions,"ML Crawford, JL Workman - International Symposium on …, 1980 - ui.adsabs.harvard.edu",This paper gives an analysis for determining equivalent free-space (reference environment) radiated emissions from electronic equipment using transverse electromagnetic (TEM) cells and open-field site measurements. Test results and an estimate of the accuracy of emission …
Prognostics and health management of industrial equipment,https://www.igi-global.com/chapter/content/69686,Cited by 111,"https://scholar.google.com/scholar?q=related:GN23jqfk4gMJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",35,All 10 versions,"E Zio - Diagnostics and prognostics of engineering systems …, 2013 - igi-global.com","… for performing the task and identifying the current challenges and open issues which must be
addressed for achieving reliable deployment in practice. The focus is predominantly on the
prognostic part of PHM, which addresses the prediction of equipment failure occurrence and … 
"
Service restoration of distribution networks considering switching operation costs and actual status of the switching equipment,https://ieeexplore.ieee.org/abstract/document/7008525/,Cited by 49,"https://scholar.google.com/scholar?q=related:RSBwcRaQojIJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",36,All 2 versions,"S Dimitrijevic, N Rajakovic - IEEE Transactions on Smart Grid, 2015 - ieeexplore.ieee.org","… The switching costs are associated to each branch of de-energized area and represent costs
related to the switching equipment open–close actions … The restora- tion procedure was based
on the restoration costs assuming that all switching equipment has a status open … 
"
The special features of certifying open test sites for tests on technical equipment for electromagnetic compatibility,https://link.springer.com/content/pdf/10.1007/s11018-006-0175-8.pdf,Cited by 6,"https://scholar.google.com/scholar?q=related:DVYBgWI916sJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",37,All 6 versions,"AP Smirnov, DN Korolev - Measurement Techniques, 2006 - Springer",The particular features of estimating the attenuation of open test sites in electromagnetic compatibility tests are considered. It is shown by calculation that existing indirect methods of certification do not ensure reliable results. It is proposed to estimate the reflection coefficient …
The development of an ultrasonic apparatus for the non‐invasive and repeatable removal of fouling in food processing equipment,https://sfamjournals.onlinelibrary.wiley.com/doi/abs/10.1046/j.1472-765x.2000.00653.x,Cited by 65,"https://scholar.google.com/scholar?q=related:mrts8ZKsmk4J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",38,All 9 versions,"N Oulahal‐Lagsir, A Martial‐Gros… - Letters in applied …, 2000 - Wiley Online Library","… valuation of an industrial cleaning procedure in the removal of biofilm from stainless steel surfaces
in open equipment. Biofilm removal by sonication: before cleaning (▪), after cleaning . Biofilm
removal by the swabbing method: before cleaning , after cleaning (□) … 
"
Investigation of Well Equipment in the Oil Industry,https://www.researchgate.net/profile/Alireza-Bozorgian-2/publication/345240560_Investigation_of_Well_Equipment_in_Oil_Industry/links/5fa1294c92851c14bcff5c19/Investigation-of-Well-Equipment-in-Oil-Industry.pdf,Cited by 34,"https://scholar.google.com/scholar?q=related:jjhiXFJKtjIJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",39,All 3 versions,"A Bozorgian - International Journal of Advanced Studies in …, 2020 - researchgate.net","… environment and can be performed despite the pressure. The crane is used to lift the surface
equipment to connect or open the wellhead, as well as to lift the lubricator and staff box to connect
the tool to the wellbore cable. The length of the lubricator is a function of the … 
"
Temperature control efficacy of retail refrigeration equipment,https://www.sciencedirect.com/science/article/pii/S0956713514002382,Cited by 41,"https://scholar.google.com/scholar?q=related:cEUxOTWDaNkJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",40,All 9 versions,"J Lundén, V Vanhanen, T Myllymäki, E Laamanen… - Food Control, 2014 - Elsevier","… Such products usually have long shelf-lives and may be stored at retail food stores' open
front equipment for considerable periods of time … There seems to be too many uncertainties
in temperature management and control of open front equipment … 
"
Learning from open-source software,http://adaptknowledge.com/wp-content/uploads/rapidintake/PI_CL/media/InnArticle.pdf,Cited by 1100,"https://scholar.google.com/scholar?q=related:j5LyJZUpj2kJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",41,All 5 versions,"E Von Hippel - MIT Sloan management review, 2001 - adaptknowledge.com","… Incentives for Users To Innovate Users have sufﬁcient incentive to innovate when they expect
the beneﬁts of innovating to exceed their costs. Clearly, users engaged in the development of
open-source software and novel sports equipment consider that condition to be met … 
"
Robotic equipment malfunction during robotic prostatectomy: a multi-institutional study,https://www.liebertpub.com/doi/abs/10.1089/end.2007.0407,Cited by 73,"https://scholar.google.com/scholar?q=related:pQB9lyrnRKgJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",42,All 8 versions,"HJ Lavery, R Thaly, D Albala, T Ahlering… - Journal of …, 2008 - liebertpub.com","… procedure. As robotic surgery is an assisted form of laparoscopy, an equipment
malfunction does not condemn the patient to an open procedure. Skilled
laparoscopists can complete prostatectomies using pure laparoscopy … 
"
Reliability modelling of surface mining equipment: data gathering and analysis methodologies,https://www.tandfonline.com/doi/abs/10.1076/ijsm.17.3.139.14773,Cited by 86,"https://scholar.google.com/scholar?q=related:rh80s8xuOvsJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",43,All 3 versions,"RA Hall, LK Daneshmend - International journal of surface mining …, 2003 - Taylor & Francis","… ABSTRACT As the size and complexity of open pit mining equipment continue to increase, the
implications of equipment failure become ever more critical. An unplanned failure can result in
significantly higher repair costs than a planned maintenance or repair … 
"
Excavating and loading equipment for peat mining,https://iopscience.iop.org/article/10.1088/1755-1315/87/2/022014/meta,Cited by 23,"https://scholar.google.com/scholar?q=related:Rm2nUJ77a6kJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",44,All 3 versions,"AV Mikhailov, AI Zhigulskaya… - IOP Conference Series …, 2017 - iopscience.iop.org","… pp. 395–408. Available at: https://www.astm.org/Standards/D2487.htm [5] Bazzazi
AA, Osanloo M, Karimi B 2009 Optimal open pit mining equipment selection using
fuzzy multiple attribute decision making approach. Archives … 
"
Arduino: A low-cost multipurpose lab equipment,https://link.springer.com/article/10.3758/s13428-011-0163-z,Cited by 429,"https://scholar.google.com/scholar?q=related:YkFhdzjyq50J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",45,All 12 versions,"A D'Ausilio - Behavior research methods, 2012 - Springer","… Moreover, the Arduino hardware is open source, and many clones or special-purpose boards
have been marketed … However, it is difficult to define a threshold beyond which expensive
research-grade equipment is preferable to an Arduino-like board … 
"
3-D printed protective equipment during COVID-19 pandemic,https://www.mdpi.com/1996-1944/13/8/1997,Cited by 35,"https://scholar.google.com/scholar?q=related:iPWoJKGBJrgJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",46,All 13 versions,"C Wesemann, S Pieralli, T Fretwurst, J Nold, K Nelson… - Materials, 2020 - mdpi.com","… Please let us know what you think of our products and services. Give Feedback. Information.
Our dedicated information section provides allows you to learn more about MDPI. Get Information.
clear. Open AccessArticle. 3-D Printed Protective Equipment during COVID-19 Pandemic … 
"
Biofilm in milking equipment on a dairy farm as a potential source of bulk tank milk contamination with Listeria monocytogenes,https://www.sciencedirect.com/science/article/pii/S0022030210002845,Cited by 155,"https://scholar.google.com/scholar?q=related:gwGWU-D9v2kJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",47,All 16 versions,"AA Latorre, JS Van Kessel, JS Karns… - Journal of dairy …, 2010 - Elsevier","… Under an Elsevier user license. open archive. Abstract. The objective of this study was to assess
the presence of a Listeria monocytogenes-containing biofilm in milking equipment as a potential
source of bulk tank milk contamination on a dairy farm where milk contamination had … 
"
Equipment investment and economic growth,https://academic.oup.com/qje/article-abstract/106/2/445/1905455,Cited by 2760,"https://scholar.google.com/scholar?q=related:LQPGI1JbGR0J:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",48,All 23 versions,"JB De Long, LH Summers - The Quarterly Journal of Economics, 1991 - academic.oup.com","Page 1. EQUIPMENT INVESTMENT AND ECONOMIC GROWTH* J. BRADFORD DE LONG
AND LAWRENCE H. SUMMERS … High rates of equipment investment can, for example,
account for nearly all of Japan's extraordinary growth performance … 
"
Evaluation of protective equipment for prevention of injuries in rugby union,https://academic.oup.com/ije/article-abstract/34/1/113/638527,Cited by 158,"https://scholar.google.com/scholar?q=related:-Fh2tHwlQGkJ:scholar.google.com/&scioq=open+equipment&hl=en&as_sdt=0,5",49,All 19 versions,"SW Marshall, DP Loomis, AE Waller… - International journal …, 2005 - academic.oup.com","… c RR, rate ratio; CI, confidence interval. d Any use of protective equipment. Open in new tab. Table
1 Risk of injury by protective equipment usage for all injuries combined. . Unadjusted . . Partly
adjusted a . . Fully adjusted b . . Equipment item . RR c . 95% CI c . RR.
"
