"","x"
"76","a compact hardware implementation of sm3 hash function"
"77","a compact vlsi system for bio-inspired visual motion estimation"
"78","a compact vlsi system for bio-inspired visual motion estimation"
"79","a complex space vector approach to rotor temperature estimation for
line-connected induction machines with impaired cooling"
"80","a comprehensive iot node proposal using open hardware. a smart farming
use case to monitor vineyards"
"81","a comprehensive iot node proposal using open hardware. a smart farming use case to monitor vineyards"
"82","a comprehensive review of rfid and bluetooth security: practical
analysis"
"83","a computationally efficient mean sound speed estimation method based on
an evaluation of focusing quality for medical ultrasound imaging"
"84","a computationally efficient mean sound speed estimation method based on an evaluation of focusing quality for medical ultrasound imaging"
"85","a cost-effective solution for hd maps creation"
"86","a course for teaching integrated system design to computer engineering
students"
"87","a course for teaching integrated system design to computer engineering students"
"88","a cross-modal electronic travel aid device"
"89","a data mining methodology for predicting early stage parkinson's disease using non-invasive, high-dimensional gait sensor data"
"90","a dataglove hardware design and real-time sign gesture interpretation"
"91","a dataglove hardware design and real-time sign gesture interpretation."
"92","a desktop multi-material 3d bio-printing system with open-source
hardware and software"
"93","a desktop multi-material 3d bio-printing system with open-source hardware and software"
"94","a differential dynamic positioning algorithm based on gps/beidou"
"95","a differential dynamic positioning algorithm based on gps/beidou"
"96","a digital implementation of neuron-astrocyte interaction for
neuromorphic applications"
"97","a digital implementation of neuron-astrocyte interaction for neuromorphic applications"
"98","a distributed measurement system based on peer-to-peer architecture for
river monitoring"
"99","a double puf-based rfid identity authentication protocol in
service-centric internet of things environments"
"100","a double puf-based rfid identity authentication protocol in service-centric internet of things environments"
"101","a double stage dc/dc converter for led lighting automotive systems"
"102","a dvb-t framework for the remote monitoring of cardiopathic and diabetic
patients"
"103","a face recognition based system to assist seniors in managing access to their home"
"104","a fast and efficient algorithm for volumetric medical data compression
and retrieval"
"105","a fast hierarchical watermark detector for real-time software or
low-cost hardware implementation"
"106","a feature map consisting of orientation and inter-ridge spacing for
fingerprint retrieval"
"107","a flexible low-cost time synchronizer for gnss/ins integration"
"108","a force and thermal sensing skin for robots in human environments"
"109","a force and thermal sensing skin for robots in human environments"
"110","a framework for a development of an intelligent cnc controller based on
step-nc"
"111","a framework for a development of an intelligent cnc controller based on step-nc"
"112","a framework for developing graphically programmable low-cost robotics
kit for classroom education"
"113","a framework for developing graphically programmable low-cost robotics kit for classroom education"
"114","a generic lightweight and scalable access control framework for iot gateways"
"115","a genetic algorithm for determining cylinder pressure in internal
combustion engines"
"116","a geo-spatial data infrastructure for flexible discovery, retrieval and
fusion of scenario maps in preparedness of emergency"
"117","a geo-spatial data infrastructure for flexible discovery, retrieval and fusion of scenario maps in preparedness of emergency"
"118","a geographic multipath routing protocol for wireless multimedia sensor
networks"
"119","a geographic multipath routing protocol for wireless multimedia sensor networks"
"120","a gestural recognition interface for intelligent wheelchair users"
"121","a gpu-based correlator x-engine implemented on the chime pathfinder"
"122","a gpu-based correlator x-engine implemented on the chime pathfinder"
"123","a handheld point-of-care genomic diagnostic system"
"124","a handheld point-of-care genomic diagnostic system"
"125","a hardware based novel educational methodology for teaching microprocessor architectures using object oriented approach"
"126","a hardware decoder architecture for general string matching technique"
"127","a hardware decoder architecture for general string matching technique"
"128","a hardware implementation of random demodulation analog-to-information
converter"
"129","a hardware implementation of random demodulation analog-to-information converter"
"130","a heuristic predictive los guidance law based on trajectory learning,
ant colony optimization and tabu search"
"131","a heuristic predictive los guidance law based on trajectory learning, ant colony optimization and tabu search"
"132","a high performance computing platform for performing high-volume studies with windows-based power grid tools"
"133","a high performance fpga-based sorting accelerator with a data
compression mechanism"
"134","a high performance fpga-based sorting accelerator with a data compression mechanism"
"135","a high performance hardware architecture for half-pixel accurate h.264
motion estimation"
"136","a high performance parallel transform and quantization architecture for
h.264 decoder"
"137","a high performance, low power computational platform for complex sensing operations in smart cities"
"138","a high spatial resolution depth sensing method based on binocular
structured light"
"139","a high spatial resolution depth sensing method based on binocular structured light"
"140","a high-resolution polarimeter formed from inexpensive optical parts"
"141","a http-enabled cryptographically secure hardware random number generator"
"142","a http-enabled cryptographically secure hardware random number generator"
"143","a human-computer interface based on the “voluntary” pupil accommodative response"
"144","a human-computer interface based on the ``voluntary'' pupil
accommodative response"
"145","a hybrid sensor network for flexible, unattended, multipurpose
deployment"
"146","a hybrid sensor network for flexible, unattended, multipurpose deployment"
"147","a hybrid system for assessing mental workload"
"148","a hybrid system for assessing mental workload"
"149","a hybrid value correlation based indirect jump prediction"
"150","a j2me-based wireless intelligent video surveillance system using moving
object recognition technology"
"151","a kerr magnetometer setup in the khz regime based on open-hardware
architecture"
"152","a kerr magnetometer setup in the khz regime based on open-hardware architecture"
"153","a laboratory machine for micro electrochemical machining"
"154","a learning approach for robust carrier recovery in heavily noisy visible
light communication"
"155","a learning approach for robust carrier recovery in heavily noisy visible light communication"
"156","a light-weight rapid control prototyping system based on open source
hardware"
"157","a light-weight rapid control prototyping system based on open source hardware"
"158","a lightweight system to achieve proactive risk management for household
asic-resistant cryptocurrency mining"
"159","a lightweight system to achieve proactive risk management for household asic-resistant cryptocurrency mining"
"160","a linux-based integrated structural health monitoring system for bridges in remote regions"
"161","a low cost approach of multisensor device for global warming studies"
"162","a low cost approach of multisensor device for global warming studies"
"163","a low cost design of hardware support for on-chip message passing in
manycore processors"
"164","a low cost design of hardware support for on-chip message passing in manycore processors"
"165","a low cost digital implementation of feed-forward neural networks
applied to a variable-speed wind turbine system"
"166","a low cost environment monitoring system using raspberry pi and arduino
with zigbee"
"167","a low cost environment monitoring system using raspberry pi and arduino with zigbee"
"168","a low cost hardware and software platform for biomedical signal acquisition and treatment"
"169","a low cost hardware oriented motion estimation algorithm for hdtv"
"170","a low cost inventory location identification kiosk for indoor environments using passive rfid tags and open source hardware"
"171","a low cost master and slave distributed intelligent meter for non-intrusive load classification and anomaly warning"
"172","a low cost pupillometry approach"
"173","a low cost pupillometry approach"
"174","a low frequency ultrasonic treatment and monitoring system"
"175","a low-complexity interpolation method for deinterlacing"
"176","a low-cost and robust optical flow cmos camera for velocity estimation"
"177","a low-cost and robust optical flow cmos camera for velocity estimation"
"178","a low-cost and small usv platform for water quality monitoring"
"179","a low-cost approach towards streaming 3d videos of large-scale sport events to mixed reality headsets in real-time"
"180","a low-cost autonomous robot and educational platform for intelligent
automation experiments"
"181","a low-cost autonomous rover for polar science"
"182","a low-cost autonomous rover for polar science"
"183","a low-cost bench-top research device for turbidity measurement by radially distributed illumination intensity sensing at multiple wavelengths"
"184","a low-cost color interpolation method for ccd digital still camera"
"185","a low-cost control architecture for cassino hexapod ii"
"186","a low-cost drift-free optical-inertial hybrid motion capture system for
high-precision human pose detection"
"187","a low-cost drift-free optical-inertial hybrid motion capture system for high-precision human pose detection"
"188","a low-cost exp-golomb hardware architecture for h.264/avc entropy coder"
"189","a low-cost exp\_golomb hardware architecture for h.264/avc entropy coder"
"190","a low-cost feedback control systems laboratory setup via
arduino-simulink interface"
"191","a low-cost feedback control systems laboratory setup via arduino–simulink interface"
"192","a low-cost hardware accelerator for ccsds 123 predictor in fpga"
"193","a low-cost hardware accelerator for ccsds 123 predictor in fpga"
"194","a low-cost hardware approach to dependability validation of ips"
"195","a low-cost hardware architecture for illumination adjustment in
real-time applications"
"196","a low-cost hardware architecture for illumination adjustment in real-time applications"
"197","a low-cost hardware design of a 1-d spiht algorithm for video display
systems"
"198","a low-cost hardware design of a 1-d spiht algorithm for video display systems"
"199","a low-cost hardware trojan mitigation method for securing untrusted thirdparty cryptographic intellectual property cores"
"200","a low-cost hardware-in-the-loop agent-based simulation testbed for
autonomous vehicles"
"201","a low-cost hardware-in-the-loop agent-based simulation testbed for autonomous vehicles"
"202","a low-cost hardware-in-the-loop real time simulation of control systems"
"203","a low-cost hardware-in-the-loop real time simulation of control systems"
"204","a low-cost hardware-in-the-loop test bench for powertrain of extended-range electric vehicle"
"205","a low-cost hardware-in-the-loop-simulation testbed of quadrotor uav and
implementation of nonlinear control schemes"
"206","a low-cost hardware-in-the-loop-simulation testbed of quadrotor uav and implementation of nonlinear control schemes"
"207","a low-cost iot based environmental monitoring system. a citizen approach
to pollution awareness."
"208","a low-cost iot based environmental monitoring system. a citizen approach to pollution awareness"
"209","a low-cost lagrangian drifter based on open-source hardware and software
platform"
"210","a low-cost lagrangian drifter based on open-source hardware and software platform"
"211","a low-cost machine vision system for the recognition and sorting of
small parts"
"212","a low-cost machine vision system for the recognition and sorting of small parts"
"213","a low-cost maximum power point tracking system based on neural network
inverse model controller"
"214","a low-cost maximum power point tracking system based on neural network inverse model controller"
"215","a low-cost microcontroller based stimulation system to study sensory
processing"
"216","a low-cost microcontroller based stimulation system to study sensory processing"
"217","a low-cost mirror mount control system for optics setups"
"218","a low-cost mirror mount control system for optics setups"
"219","a low-cost mmse-sic detector for the mimo system: algorithm and hardware
implementation"
"220","a low-cost mobile urban environmental monitoring system"
"221","a low-cost mobile urban environmental monitoring system"
"222","a low-cost modular platform for heterogeneous data acquisition with
accurate interchannel synchronization"
"223","a low-cost modular platform for heterogeneous data acquisition with accurate interchannel synchronization"
"224","a low-cost open hardware system for collecting traffic data using wi-fi
signal strength"
"225","a low-cost open hardware system for collecting traffic data using wi-fi signal strength"
"226","a low-cost open source hardware in control education. case
study:arduino-feedback ms-150"
"227","a low-cost open source hardware in control education. case study: arduino-feedback ms-150"
"228","a low-cost open-hardware wideband multiple-input-multiple-output (mimo)
wireless channel sounder"
"229","a low-cost open-source acoustic recorder for bioacoustics research"
"230","a low-cost open-source acoustic recorder for bioacoustics research"
"231","a low-cost open-source metal 3-d printer"
"232","a low-cost open-source metal 3-d printer"
"233","a low-cost optical remote sensing application for glacier deformation
monitoring in an alpine environment"
"234","a low-cost optical remote sensing application for glacier deformation monitoring in an alpine environment"
"235","a low-cost pedestrian navigation system including in-flight parameter
correction"
"236","a low-cost platform for eye-tracking research: using pupil (c) in
behavior analysis"
"237","a low-cost platform for eye-tracking research: using pupil© in behavior analysis"
"238","a low-cost portable health platform for monitoring of human physiological signals"
"239","a low-cost real color picker based on arduino"
"240","a low-cost real color picker based on arduino"
"241","a low-cost robot for multi-robot experiments"
"242","a low-cost robot for multi-robot experiments"
"243","a low-cost rssi based localization system design for wildlife tracking"
"244","a low-cost rssi based localization system design for wildlife tracking"
"245","a low-cost slow control system for the pandax-4t experiment"
"246","a low-cost smart parking solution for smart cities based on open software and hardware"
"247","a low-cost system and method for acquiring small refraction seismic surveys"
"248","a low-cost vlsi architecture of the bilateral filter for real-time image
denoising"
"249","a low-cost vlsi architecture of the bilateral filter for real-time image denoising"
"250","a low-cost vlsi design of extended linear interpolation for real time
digital image processing"
"251","a low-cost web-based learning platform for cnc machining education"
"252","a low-cost web-based learning platform for cnc machining education"
"253","a low-cost, open-source autonomous surface vehicle as a multipurpose
waste stabilization pond monitoring platform"
"254","a low-cost, open-source autonomous surface vehicle as a multipurpose waste stabilization pond monitoring platform"
"255","a low-cost, portable solution for stress and relaxation estimation based
on a real-time fuzzy algorithm"
"256","a low-cost, portable solution for stress and relaxation estimation based on a real-time fuzzy algorithm"
"257","a low-cost, versatile laboratory experiment in food engineering using
the internet"
"258","a low-overhead adaptive image compression technique for
energy-constrained wmsn"
"259","a low-overhead adaptive image compression technique for energy-constrained wmsn"
"260","a machine learning approach for emotion detection through low-cost hardware"
"261","a magnet current monitor for gyrotron magnet power supplies"
"262","a mean stack based remote monitoring system for electrical distribution
feeders in sri lanka"
"263","a mean stack based remote monitoring system for electrical distribution feeders in sri lanka"
"264","a measuring method about the bus insulation resistance of power battery pack"
"265","a memory fault simulator for radiation-induced effects in srams"
"266","a memory-efficient bit-split parallel string matching using pattern
dividing for intrusion detection systems"
"267","a method for preventing ""skipping"" attacks"
"268","a method of restoring distribution systems using adjacent networks and
two levels search"
"269","a method of restoring distribution systems using adjacent networks and two levels search"
"270","a mini review of the key components used for the development of
high-speed atomic force microscopy"
"271","a mini review of the key components used for the development of high-speed atomic force microscopy"
"272","a miniature data repository on a raspberry pi"
"273","a miniature data repository on a raspberry pi"
"274","a mobile educational lab kit for fragile contexts"
"275","a mobile hops harvester: user-based, open source design and shared infrastructure in an emerging agricultural sector"
"276","a mobile platform for controlling and interacting with a do-it-yourself
smart eyewear"
"277","a mobile platform for controlling and interacting with a do-it-yourself smart eyewear"
"278","a mobile sensing kit for urban analysis for more legible, quantifiable
intangible and temporary data"
"279","a mobile sensor network to map carbon dioxide emissions in urban
environments"
"280","a mobile sensor network to map carbon dioxide emissions in urban environments"
"281","a modified inexact arithmetic median filter for removing salt-and-pepper
noise from gray-level images"
"282","a modified inexact arithmetic median filter for removing salt-and-pepper noise from gray-level images"
"283","a modified second-order extended kalman filter for positioning"
"284","a modified second-order extended kalman filter for positioning"
"285","a modular cps architecture design based on ros and docker"
"286","a modular cps architecture design based on ros and docker"
"287","a modular fpga-based phased array system for ultrasonic levitation with
matlab"
"288","a modular fpga-based phased array system for ultrasonic levitation with matlab"
"289","a modular path planning solution for wire + arc additive manufacturing"
"290","a modular path planning solution for wire plus arc additive
manufacturing"
"291","a multi-agent approach to smart home sensors for the elderly based on an open hardware architecture: a model for participatory evaluation"
"292","a multi-media gateway for vehicles"
"293","a multi-standards hdtv video decoder for blu-ray disc standard"
"294","a multimodal electronic travel aid device"
"295","a multiplierless implementation of cascade integrator comb filter"
"296","a multiplierless implementation of cascade integrator comb filter"
"297","a narrowband interference identification approach for uwb systems"
"298","a natural interaction vr environment for surgical instrumentation
training"
"299","a natural interaction vr environment for surgical instrumentation training"
"300","a neuromorphic digital circuit for neuronal information encoding using
astrocytic calcium oscillations"
"301","a neuromorphic digital circuit for neuronal information encoding using astrocytic calcium oscillations"
"302","a new and efficient real-time address tracer for embedded
microprocessors"
"303","a new approach to determine the density of liquids and solids without measuring mass and volume: introducing the solidensimeter"
"304","a new engineering approach for gas anchor applications for extra heavy crude oil-study case at petropiar in the orinoco belt"
"305","a new low-cost no-cable digital geophone for microtremor survey"
"306","a new low-cost no-cable digital geophone for microtremor survey"
"307","a new paradigm for open robotics research and education with the c plus
plus ooml"
"308","a new paradigm for open robotics research and education with the c++ ooml"
"309","a new perspective on the development of open-source ip"
"310","a new ranging method for fmcw fuze based on the ratio of the derivation"
"311","a new tool for cognitive workload assessment in system design prototypes"
"312","a new turbidimetric method for determination of melamine based on its
reaction with mercury(ii)"
"313","a new type of a spectrometric microtitration set up"
"314","a non-contact pulse automatic positioning measurement system for
traditional chinese medicine"
"315","a non-contact pulse automatic positioning measurement system for traditional chinese medicine"
"316","a non-differential approach to the estimation of gnss-derived
accelerations. galileo's foreseen impact on airborne gravimetry."
"317","a novel algorithm of tail biting convolutional code decoder for low cost
hardware implementation"
"318","a novel algorithm of tail biting convolutional code decoder for low cost hardware implementation"
"319","a novel approach for focusing electron beams using low-cost ceramic grid"
"320","a novel approach of assisting the visually impaired to navigate path and
avoiding obstacle-collisions"
"321","a novel approach of assisting the visually impaired to navigate path and avoiding obstacle-collisions"
"322","a novel approach to the low cost real time eye mouse"
"323","a novel approach to the low cost real time eye mouse"
"324","a novel attitude and motion determination algorithm based on dual
quaternion"
"325","a novel bidirectional rfid identity authentication protocol"
"326","a novel bidirectional rfid identity authentication protocol"
"327","a novel experimental apparatus (pdl) and its application in higher
education in japan and cambodia"
"328","a novel gait recognition system based on hidden markov models"
"329","a novel imaging scheme for optical cameras used in a quality assurance
detector for discrete spot scanning proton beam systems"
"330","a novel imaging scheme for optical cameras used in a quality assurance detector for discrete spot scanning proton beam systems"
"331","a novel integrated method realizing iteratively optimized modeling for
proximity field patterning nanolithography"
"332","a novel low-cost open-hardware platform for monitoring soil water
content and multiple soil-air-vegetation parameters"
"333","a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters"
"334","a novel low-noise movement tracking system with real-time analog output
for closed-loop experiments"
"335","a novel low-noise movement tracking system with real-time analog output for closed-loop experiments"
"336","a novel marine mesocosm facility to study global warming, water quality,
and ocean acidification"
"337","a novel marine mesocosm facility to study global warming, water quality, and ocean acidification"
"338","a novel method of surveying submerged landslide ruins: case study of the
nebukawa landslide in japan"
"339","a novel method of surveying submerged landslide ruins: case study of the nebukawa landslide in japan"
"340","a novel nonlinearity correction algorithm for fmcw radar systems for
optimal range accuracy and improved multitarget detection capability"
"341","a novel nonlinearity correction algorithm for fmcw radar systems for optimal range accuracy and improved multitarget detection capability"
"342","a novel patterning method for three-dimensional paper-based devices by
using inkjet-printed water mask"
"343","a novel patterning method for three-dimensional paper-based devices by using inkjet-printed water mask"
"344","a novel technique for interdependent trim code optimization"
"345","a novel technique for interdependent trim code optimization"
"346","a novel, low-cost neurois prototype for supporting bio signals
experimentation based on bitalino"
"347","a novel, low-cost neurois prototype for supporting bio signals experimentation based on bitalino"
"348","a one-piece 3d printed flexure translation stage for open-source
microscopy"
"349","a one-piece 3d printed flexure translation stage for open-source microscopy"
"350","a open hardware wireless sensor monitoring system for human wellbeing
research in ambient assisted living"
"351","a open hardware wireless sensor monitoring system for human wellbeing research in ambient assisted living"
"352","a parallel packet switch with multiplexors containing virtual input
queues"
"353","a path-generation framework for real-time query processing in wireless sensor networks"
"354","a peer-to-peer distributed system for multipoint measurement techniques"
"355","a performance analysis of lightweight cryptography algorithm for data
privacy in iot devices"
"356","a performance analysis of lightweight cryptography algorithm for data privacy in iot devices"
"357","a photoplethysmograph experiment for microcontroller labs"
"358","a photoplethysmograph experiment for microcontroller labs"
"359","a pinch-valve interface for automated sampling and monitoring of dynamic
processes by gas chromatography-mass spectrometry"
"360","a pixel-based autofocusing technique for digital histologic and
cytologic slides"
"361","a plug-and-play hyperspectral imaging sensor using low-cost equipment"
"362","a plug'n'play wifi surface-mount dual-loop antenna"
"363","a polyharmonic digital synthesizer for the calibration of phase sensitive measuring systems up to ultrasonic band"
"364","a portable and low cost equipment for flow injection chemiluminescence
measurements"
"365","a practical and feasible control system for bifunctional myoelectric
hand prostheses"
"366","a practical approach for reading hole code"
"367","a practical fault attack on square and multiply"
"368","a pre-processing based real-time address tracer for embedded
microprocessors"
"369","a procedure for map updating using digital mono-plotting"
"370","a programmable optical stimulator for the drosophila eye"
"371","a project of an embedded control system for autonomous quadrotor uavs"
"372","a project of an embedded control system for autonomous quadrotor uavs"
"373","a proposal for an internet of things-based monitoring system composed by low capability, open source and open hardware devices"
"374","a proposal for teaching programming languages through open hardware
tools"
"375","a proposal for teaching programming languages through open hardware tools"
"376","a prototype of eeg system for iot"
"377","a randomized waitlist-controlled pilot trial of voice over internet
protocol-delivered behavior therapy for youth with chronic tic disorders"
"378","a randomized waitlist-controlled pilot trial of voice over internet protocol-delivered behavior therapy for youth with chronic tic disorders"
"379","a raspberry pi and lxc based distributed computing testbed"
"380","a readout for large arrays of microwave kinetic inductance detectors"
"381","a readout for large arrays of microwave kinetic inductance detectors"
"382","a real time and low cost hardware architecture for video abstraction
system"
"383","a real time color gamut mapping method using a neural network*"
"384","a real-time body tracking system for smart rooms"
"385","a real-time compensation method for mv voltage transducer for power quality analysis"
"386","a real-time imaging system fo lumber strength prediction"
"387","a real-time imaging system for lumber strength prediction"
"388","a real-time phase-locking system for non-invasive brain stimulation"
"389","a recipe for standards-based data sharing using open source software and
low-cost electronics"
"390","a recipe for standards-based data sharing using open source software and low-cost electronics"
"391","a reconfigurable frame interpolation hardware architecture for high
definition video"
"392","a remote lab for teaching mechanics"
"393","a remote lab for teaching mechanics"
"394","a remote system for monitoring auxiliary data center from environmental
threats with lower hardware cost"
"395","a remote system for monitoring auxiliary data center from environmental threats with lower hardware cost"
"396","a remotely controlled framework for gravity-driven water release in shallow and not shallow storage ponds"
"397","a research on flexible enterprise wlan system based web of place access
points"
"398","a research on flexible enterprise wlan system based web of place access points"
"399","a review of arduino board's, lilypad's \& arduino shields"
"400","a review of arduino board's, lilypad's & arduino shields"
"401","a review of embedded systems education in the arduino age: lessons
learned and future directions"
"402","a review of open source ventilators for covid-19 and future pandemics"
"403","a risc-v based open hardware platform for always-on wearable smart
sensing"
"404","a risc-v based open hardware platform for always-on wearable smart sensing"
"405","a robust and adaptive algorithm for real-time muscle activity interval detection using emg signals"
"406","a robust eye tracking procedure for medical and industrial applications"
"407","a robust framework design of iot monitoring device for power distribution network"
"408","a robust method for vr-based hand gesture recognition using density-based cnn"
"409","a robust, low-complexity real-time vehicle counting system for automated traffic surveillance"
"410","a rotor flux observer of permanent magnet synchronous motors with
adaptive flux compensation"
"411","a rotor flux observer of permanent magnet synchronous motors with adaptive flux compensation"
"412","a scalable data-driven monitoring approach for distribution systems"
"413","a scalable data-driven monitoring approach for distribution systems"
"414","a secure hardware-software solution based on risc-v, logic locking and microkernel"
"415","a secure real-time internet of medical smart things (iomst)"
"416","a secure real-time internet of medical smart things (iomst)"
"417","a secure self-reconfiguring architecture based on open-source hardware"
"418","a secure, efficient, and cost-effective distributed architecture for
spam mitigation on lte 4g mobile networks"
"419","a secure, efficient, and cost-effective distributed architecture for spam mitigation on lte 4g mobile networks"
"420","a self-provisioning mechanism in openstack for iot devices"
"421","a self-provisioning mechanism in openstack for iot devices"
"422","a sensor data fusion-based locating method for reverse engineering
scanning systems"
"423","a sensor data fusion-based locating method for reverse engineering scanning systems"
"424","a service based open source ground segment for small satellites"
"425","a shadow handier in traffic monitoring system"
"426","a similarity metric designed to speed up, using hardware, the
recommender systems k-nearest neighbors algorithm"
"427","a similarity metric designed to speed up, using hardware, the recommender systems k-nearest neighbors algorithm"
"428","a simple and versatile phase detector for heterodyne interferometers"
"429","a simple and versatile phase detector for heterodyne interferometers"
"430","a simple method for determination of the density of granular materials"
"431","a simple strategy for carboxylated mwnts as a metal-free electrosensor
for anchoring the rhb c=n group"
"432","a simple strategy for carboxylated mwnts as a metal-free electrosensor for anchoring the rhb cn group"
"433","a simplified implementation of a probabilistic equalizer for impulse
radio uwb in high data rate transmission"
"434","a smart home automation system using iot and open source hardware"
"435","a smart home foundation scheme based on open source hardware and cloud
computing"
"436","a smart home foundation scheme based on open source hardware and cloud computing"
"437","a smart solution for electrical power monitoring based on mcp39f501 sensor"
"438","a soft pneumatic haptic actuator mechanically programmed for providing
mechanotactile feedback"
"439","a soft pneumatic haptic actuator mechanically programmed for providing mechanotactile feedback"
"440","a software based indoor relative location management system"
"441","a soil tool kit to evaluate soil properties and monitor soil health changes in smallholder farming contexts"
"442","a spartan 6 fpga-based data acquisition system for dedicated imagers in
nuclear medicine"
"443","a spartan 6 fpga-based data acquisition system for dedicated imagers in nuclear medicine"
"444","a spectrum analyzer based on a low-cost hardware-software integration"
"445","a spectrum analyzer based on a low-cost hardware-software integration"
"446","a standalone open hardware system for ecg detection and classification"
"447","a standalone open hardware system for ecg detection and classification"
"448","a strategic for development of technologic innovation skill"
"449","a structural parametric binaural 3d sound implementation using open hardware"
"450","a study on a fall detection monitoring system for falling elderly using
open source hardware"
"451","a study on a fall detection monitoring system for falling elderly using open source hardware"
"452","a survey of open source processors for fpgas"
"453","a survey of open-source uav flight controllers and flight simulators"
"454","a survey of open-source uav flight controllers and flight simulators"
