,source,document_type,abbrev_source_title,language,pubmed_id,issn,publisher,correspondence_address1,abstract,affiliation,url,note,art_number,doi,number,volume,year,journal,title,author,ENTRYTYPE,ID,coden,keywords,author_keywords,pages,isbn,editor,page_count
110,Scopus,Conference Paper,"Proc. - IEEE Int. Congr. Cybermatics: IEEE Int. Conf. Internet Things, IEEE Int. Conf. Green Comput. Commun., IEEE Int. Conf. Cyber, Phys. Soc. Comput. IEEE Int. Conf. Smart Data, iThings/GreenCom/CPSCom/SmartData",English,,,Institute of Electrical and Electronics Engineers Inc.,,"In this paper, the authors design a wearable gesture recognition system that identifies the alphabetic gestures in the American Sign Language (ASL) efficiently, requiring minimal user calibration. The system uses a heterogeneous collection of sensors, viz., contact, flex and inertial, placed strategically on the hand to record movements and points of contact involved during gesture signing. In order to minimize user calibration, the authors propose a novel approach called as State-based gesture modelling, which requires only 7 gestures to be signed by a user to create a State-based model for all 26 alphabetic gestures in ASL for that user. A multi-stage gesture recognition algorithm, which uses the user-calibrated State-based model, is employed for gesture identification. The system was extensively tested for 2 trained and 1 amateur ASL signers for up to 150 times per gesture giving maximum efficiencies of 92% and 81% respectively, thus indicating the robustness of the system. The use of an elegant algorithm along with simple off-The-shelf sensors enabled the implementation of the entire system on an ATmega 328P micro-controller, resulting in a cost of 25 USD for a laboratory stage prototype. © 2019 IEEE.","Solarillion Foundation, India; Sri Sivasubramaniya Nadar College of Engineering, Chennai, India; SRM University, Chennai, India; Research Outreach, Solarillion Foundation, Chennai, India",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85074825201&doi=10.1109%2fiThings%2fGreenCom%2fCPSCom%2fSmartData.2019.00185&partnerID=40&md5=28d04a49fe6607b1141b9ee96bfa7dd0,cited By 0,8875343,10.1109/iThings/GreenCom/CPSCom/SmartData.2019.00185,,,2019,"Proceedings - 2019 IEEE International Congress on Cybermatics: 12th IEEE International Conference on Internet of Things, 15th IEEE International Conference on Green Computing and Communications, 12th IEEE International Conference on Cyber, Physical and Social Computing and 5th IEEE International Conference on Smart Data, iThings/GreenCom/CPSCom/SmartData 2019",Low-cost wearable gesture recognition system with minimal user calibration for asl,"Ahmed, S.S. and Gokul, H. and Suresh, P. and Vijayaraghavan, V.",conference,Ahmed20191080,,"Calibration;  Costs;  Embedded systems;  Green computing;  Internet of things;  Open systems;  Sensors;  Wearable sensors, American sign language;  Gesture recognition algorithm;  Gesture recognition system;  Heterogeneous collections;  Maximum Efficiency;  Open-source hardwares;  Prototype;  Wearables, Gesture recognition",Embedded Systems;  Gesture Recognition;  Open source hardware;  Prototype;  Sensors;  Wearables,1080-1087,9781728129808,,
111,Scopus,Article,Cluster Comput.,English,,13867857,Springer,"Han-Chi, F.; Research Centre of Hubei Logistics Development, Hubei University of EconomicsChina; email: frankfu0318@126.com","In order to fully use Internet of things to solve the agricultural fine production, fertilizer, fine and precise control, full traceability and other bottlenecks, and to solve the quality safety of agricultural products from the source and agriculture environmental pollution, a networking application system for modern agriculture is constructed, and networking intelligent gateway based on open source hardware is designed and developed, which realies the video monitoring function based on motion detection. In addition, basic cloud platform system for modern agriculture network monitoring system is designed and achieved. Based on the RESTful interface service system provided by cloud platform, ExtJs client technology and WeChat re applied in the development and realization of the Demo system of an application layer. As a result, it shows part of application assumption of agriculture network monitoring system, and designs the big data processing and analysis module. What’s more, the Hadoop platform is used to achieve massive data processing produced by applications of Internet of things, and combined with machine learning technology, the corresponding model is established. It is concluded that the best solution is given such as crop variety selection, production and cultivation management and time to market. © 2018, Springer Science+Business Media, LLC, part of Springer Nature.","Research Centre of Hubei Logistics Development, Hubei University of Economics, Wuhan, China; Faculty of Economics and Business, KU Leuven, Leuven, Belgium",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85041907518&doi=10.1007%2fs10586-018-2022-5&partnerID=40&md5=47b277dc4ca20d4efc68af46a129a79c,cited By 0,,10.1007/s10586-018-2022-5,,22,2019,Cluster Computing,Agricultural product monitoring system supported by cloud computing,"Jinbo, C. and Xiangliang, C. and Han-Chi, F. and Lam, A.",article,Jinbo20198929,,"Agricultural machinery;  Agricultural products;  Big data;  Cloud computing;  Cultivation;  Data handling;  Gateways (computer networks);  Internet of things;  Learning systems;  Object oriented programming;  Open systems;  Pollution control;  Quality control, Cloud platforms;  Environmental pollutions;  Intelligent gateway;  Machine learning technology;  Modern agricultures;  Network monitoring systems;  Networking applications;  Open-source hardwares, Monitoring",Big data;  Cloud computing;  Internet of things;  Internet of things cloud platform;  Modern agriculture,8929-8938,,,
112,Scopus,Conference Paper,"IEEE Int. Conf. Adv. Robot. Mechatronics, ICARM",English,,,Institute of Electrical and Electronics Engineers Inc.,,"This paper provides the design of a novel open-hardware mini-bipedal robot, named Rapid-Prototyped Remote-Brain BiPed (RPBP), that is developed to provide a low-cost and reliable platform for locomotion and perception research. The robot is made of customized 3D-printed material (ABS plastic) and electronics, and commercial Robotics Dynamixel MX-28 actuators, as well as visual RGB-D and IMU sensing systems. We show that the robot is able to perform some locomotion/visual-odometry tasks and it is easy to switch between different feet designs, providing also a novel Center-of-Pressure (CoP) sensing system, so that it can deal with various types of terrain. Moreover, we provide a description of its control and perception system architecture, as well as our opensource software packages that provide sensing and navigation tools for locomotion and visual odometry on the robot. Finally, we briefly discuss the transferability of some prototype research that has been done on the developed mini-biped, to half or fullsize humanoid robots, such as COMAN or WALK-MAN. © 2019 IEEE.","CCIS, Northeastern University, Boston, MA, United States; Department, Istituto Italiano di Tecnologia (IIT), Humanoid and Human-Centered Mechatronics, Via Morego 30, Genova, 16163, Italy",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073193174&doi=10.1109%2fICARM.2019.8834176&partnerID=40&md5=eb60e7673cc242424bb1af4123463c19,cited By 0,8834176,10.1109/ICARM.2019.8834176,,,2019,"2019 4th IEEE International Conference on Advanced Robotics and Mechatronics, ICARM 2019",RPBP: Rapid-prototyped remote-brain biped with 3D perception,"Vona, M. and Kanoulas, D.",conference,Vona2019881,,"3D printers;  ABS resins;  Anthropomorphic robots;  Biped locomotion;  Machine design;  Robotics, Center of pressure;  Humanoid robot;  Low cost and reliable;  Navigation tools;  Perception systems;  Printed materials;  Sensing systems;  Visual odometry, Visual servoing",,881-887,9781728100647,,
113,Scopus,Conference Paper,"Proc. Int. Conf. Syst. Sci. Eng., ICSSE",English,,,Institute of Electrical and Electronics Engineers Inc.,,"The emergence of the Internet of Things (IoT) and the advantages of computer network have attracted the attention of technological experts. However, network security issues remain a challenge. Controlling Web traffic and preventing attack to Web server, especially DoS/DDoS, are tremendous in the current computing ecosystem. In this paper, we propose a solution for controlling connections of the inside as well as the outside of network systems by using an integrated hardware, which would be deployed at gateway of the networks. It is not only used to implement rules but also monitor the network traffic, especially for web traffic which is considered as the common type in the Internet. In our solution, we prefer to use the IP SLA to control the web traffic, rather proxy to set up rules as well as a data stream algorithm for fast detecting Hot-IPs to prevent attacks from outside networks to the inside servers. The proposed solution is trouble-free to use and enhance security in small medium networks as well. © 2019 IEEE.","Faculty of Information Technology, University of Technology and Education, Ho Chi Minh City, Viet Nam; Faculty of Information Technology, Posts and Telecommunications Institute of Technology, Ho Chi Minh City, Viet Nam",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072937464&doi=10.1109%2fICSSE.2019.8823114&partnerID=40&md5=0ebf97e55361d4a23eea735d922718f1,cited By 0,8823114,10.1109/ICSSE.2019.8823114,,,2019,"Proceedings of 2019 International Conference on System Science and Engineering, ICSSE 2019",Controlling Web Traffic and Preventing DoS/DDoS Attacks in Networks with the Proxy Gateway Security Solution Built on Open Hardware,"Huynh, C.N. and Huynh, T.T. and Le, T.V. and Tan, H.",conference,Huynh2019239,,"Computer hardware;  Gateways (computer networks);  Hardware security;  Internet of things;  Internet protocols, Current computing;  Data stream algorithms;  DoS/DDoS attacks;  Hot-IP;  Internet of thing (IOT);  IP SLA;  proxy;  Security solutions, Network security",DoS/DDoS attacks;  Hot-IP;  IP SLA;  proxy,239-244,9781728105253,,
114,Scopus,Conference Paper,Eye Track. Res. Appl. Symp. (ETRA),English,,,Association for Computing Machinery,,"A key assumption conventionally made by flexible head-mounted eye-tracking systems is often invalid: The eye center does not remain stationary w.r.t. the eye camera due to slippage. For instance, eye-tracker slippage might happen due to head acceleration or explicit adjustments by the user. As a result, gaze estimation accuracy can be significantly reduced. In this work, we propose Grip, a novel gaze estimation method capable of instantaneously compensating for eye-tracker slippage without additional hardware requirements such as glints or stereo eye camera setups. Grip was evaluated using previously collected data from a large scale unconstrained pervasive eye-tracking study. Our results indicate significant slippage compensation potential, decreasing average participant median angular offset by more than 43% w.r.t. a non-slippage-robust gaze estimation method. A reference implementation of Grip was integrated into EyeRecToo, an open-source hardware-agnostic eye-tracking software, thus making it readily accessible for multiple eye trackers (Available at: www.ti.uni-tuebingen.de/perception). © 2019 Association for Computing Machinery.","University of Tübingen, Perception Engineering, Tübingen, Germany; Lund University Humanities Lab, Department of Psychology, Lund, Sweden",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069454357&doi=10.1145%2f3314111.3319835&partnerID=40&md5=d78d87bb5de84d81ed750f9aa23aafbf,cited By 3,a17,10.1145/3314111.3319835,,,2019,Eye Tracking Research and Applications Symposium (ETRA),Get a grip: Slippage-robust and glint-free gaze estimation for real-time pervasive head-mounted eye tracking,"Santini, T. and Niehorster, D.C. and Kasneci, E.",conference,Santini2019,,"Calibration;  Cameras;  Open source software;  Open systems, Drift;  Embedded;  Gaze estimation;  Open sources;  Pervasive;  Pupil tracking;  Real time;  Slippage, Eye tracking",Calibration;  Drift;  Embedded;  Eye tracking;  Gaze estimation;  Open source;  Pervasive;  Pupil tracking;  Real-time;  Slippage,,9781450367097,Spencer S.N.,
115,Scopus,Conference Paper,"Proc. Workshop Comput. Archit. Educ., WCAE",English,,,"Association for Computing Machinery, Inc","Carloni, L.P.; Department of Computer Science, Columbia University in the City of New YorkUnited States; email: luca@cs.columbia.edu","We present our work at Columbia University teaching the design and programming of heterogeneous computing architectures with SLD methods. Over the past eight years, we have developed a new course, System-on-Chip Platforms, with the main goal of preparing students to contribute to the new economy of heterogeneous computing and open-source hardware. The course was one of the first nationwide to introduce the use of commercial high-level synthesis tools for the design of application-specific hardware accelerators. We also introduced the idea of structuring the final project as a design-space exploration contest that combines aspects of collaborative engineering and design for reusability. © 2019 Copyright held by the owner/author(s). Publication rights licensed to ACM.","Department of Computer Science, Columbia University in the City of New York, New York, NY  10027, United States; Cadence Design Systems, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071257974&doi=10.1145%2f3338698.3338893&partnerID=40&md5=7b1657afa02dda20e451b0993e508dd1,cited By 1,3338893,10.1145/3338698.3338893,,,2019,"Proceedings of the Workshop on Computer Architecture Education, WCAE 2019",Teaching heterogeneous computing with system-level design methods,"Carloni, L.P. and Cota, E.G. and Di Guglielmo, G. and Giri, D. and Kwon, J. and Mantovani, P. and Piccolboni, L. and Petracca, M.",conference,Carloni2019,,"Computer hardware;  Curricula;  Distributed computer systems;  High level synthesis;  Integrated circuit design;  Open source software;  Open systems;  Particle accelerators;  Programmable logic controllers;  Reusability;  System-on-chip;  Systems analysis;  Teaching, Collaborative engineering;  Design reuse;  Open-source hardwares;  System level design;  System on chips (SoC), Computer architecture",Accelerators;  Collaborative engineering;  Design reuse;  Open-source hardware;  System-level design (SLD);  System-on-chip (SoC),,9781450368421,,
116,Scopus,Article,Front. Earth Sci.,English,,22966463,Frontiers Media S.A.,"DeBell, T.; Openly Published Environmental Sensing Lab, Biological and Ecological Engineering, Oregon State UniversityUnited States; email: tcdebell@ncsu.edu","In Earth science, we must often collect data from sensors installed in remote locations. Retrieving these data and storing them can be challenging. Present options include proprietary commercial dataloggers, communication devices, and protocols with rigid software and data structures that may require ongoing expenses. While there are open-source solutions that include telemetry, such as EnviroDIY’s Mayfly, none presently generate real-time, remotely accessible workbooks (Aufdenkampe et al., 2017; EnviroDIY, 2018). The Openly Published Environmental Sensing (OPEnS) Lab developed the OPEnS Hub, a new approach to using low-power, open-source hardware and software to achieve real-time data logging from the field to the web. The Hub is an order of magnitude less expensive than commercial products, inherently modular and flexible, and aims to reduce technical barriers for users with little programming experience (DeBell, 2019). Data can be collected remotely using a host of transmission protocols to relay data from distributed in situ monitoring devices. The Hub mesh-networks with several nodes and backs up to an onboard microSD card. Telemetry options include 900 MHz Long Range Radio (LoRa) with up to 25 km range and Nordic Radio Frequency (nRF) for higher data rates (Feather, 2018). Ongoing transmissions from the Hub to the internet currently employ Ethernet with potential support for Wi-Fi and the cell network. The Hub engages a dynamic, low-latency portal to Google Sheets via the free Application Programming Interface (API), PushingBox, and an adaptable Google Apps Script. This framework was tested on 12 individual sensors nodes at remote sites in Oregon. This manuscript details our methods and evaluates PushingBox, Google Apps Script, Adafruit Industries’ open-hardware Feather development boards, the Hypertext Transfer Protocol (HTTP), and the aforementioned modes of data transfer. © 2019 DeBell, Goertzen, Larson, Selbie, Selker and Udell.","Openly Published Environmental Sensing Lab, Biological and Ecological Engineering, Oregon State University, Corvallis, OR, United States; Openly Published Environmental Sensing Lab, Computer Science, Oregon State University, Corvallis, OR, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068477843&doi=10.3389%2ffeart.2019.00137&partnerID=40&md5=e4bef8248ea34d22d1ff6102daf75527,cited By 0,137,10.3389/feart.2019.00137,,7,2019,Frontiers in Earth Science,"OPEnS hub: Real-time data logging, connecting field sensors to google sheets","DeBell, T. and Goertzen, L. and Larson, L. and Selbie, W. and Selker, J. and Udell, C.",article,DeBell2019,,,Arduino;  Data-logging;  Google-sheet;  In situ-sensing;  IOT;  Lora;  Low-cost;  Open-source,,,,
117,Scopus,Conference Paper,J. Phys. Conf. Ser.,English,,17426588,Institute of Physics Publishing,,"A high sensitivity Kerr magnetometer (ΔI/I = 1/30) is presented, making use of open source hardware and software. By making time resolved measurements (up to 0.15 s/cycle) the signal quality has been greatly improved up to an order of magnitude, enabling us to compare our measurements with commercial vibrating sample magnetometers. We also present an additional setup to amplify the Kerr signal in a 25:1 scale, cleaning a large part of the electronic and trigger noise. © Published under licence by IOP Publishing Ltd.","Grupo de Estado Sólido, Instituto de Fisica, Universidad de Antioquia, Medellin, A.A. 1226, Colombia; Grupo de Materiales Nanoestructurados y Biomodelación, Facultad de Ciencias Básicas, Universidad de Medellin, Medellin, Colombia; Grupo de Instrumentación Cientifica y Microelectrónica Instituto de Fisica, Universidad de Antioquia.A.A., Medellin, 1226, Colombia",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073897497&doi=10.1088%2f1742-6596%2f1247%2f1%2f012047&partnerID=40&md5=bca544821f1bc7272ea887f35e113083,cited By 0,012047,10.1088/1742-6596/1247/1/012047,1,1247,2019,Journal of Physics: Conference Series,A Kerr magnetometer setup in the kHz regime based on open-hardware architecture,"Arroyave, M.A. and Marin Ramirez, J.M. and Campillo, G. and López, J.H. and Arnache, O.L. and Osorio, J.",conference,Arroyave2019,,"Magnetometers;  Open source software;  Open systems, High sensitivity;  Large parts;  Open hardware;  Open-source hardwares;  Signal quality;  Time resolved measurement;  Trigger noise;  Vibrating sample magnetometer, Engineering research",,,,"Perez-Taborda J.A., Avila Bernal A.G.",
118,Scopus,Conference Paper,ASEE Annu. Conf. Expos. Conf. Proc.,English,,21535965,American Society for Engineering Education,,"It is presented here, how a rural community was engaged, through its local high school, on the design of a payload to be deployed through a stratospheric platform. In this particular case, low cost open source hardware was integrated to a High Altitude Balloon (HAB) Payload. The main purpose of this activity was to support STEM education in rural communities by encouraging high school students to design, build, test, operate and data process HAB Payloads. The learning of fundamentals of this type of technology as well as, the study of the previous art, the design of experiments, the wiring of sensors to a microcontroller board and the open source program coding were all valuable learning experience to students. As a result of the success of this activity, in supporting STEM education, made the local government initiate the process to include Space Education as part of the curriculum initiatives. © American Society for Engineering Education, 2019","Proyecto Arapy; Colegio Inmaculada Concepción; Universidad Nacional de Asuncion, Paraguay",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078738960&partnerID=40&md5=cc79d36425c1ccb424ec2856cb5ba9f2,cited By 0,,,,,2019,"ASEE Annual Conference and Exposition, Conference Proceedings","Engagement in practice: Final design projects on high altitude balloon payload, integrated with low cost open source hardware, a tool for STEM education in rural Paraguay, a case study","Chamorro, O.M.G. and Balbuena, G.R.S. and Kurita, J.H.",conference,Chamorro2019,,,HAB;  Low Cost;  Open Source Hardware;  Space Education;  STEM,,,,
119,Scopus,Conference Paper,ASEE Annu. Conf. Expos. Conf. Proc.,English,,21535965,American Society for Engineering Education,,"This Complete Evidence-based Practice paper outlines the benefits of incorporating Arduino activities into a first-year engineering class for students majoring in electrical engineering, bioengineering, undeclared engineering and mechanical engineering at Fairfield University. Arduino is an open-source hardware platform that has recently gained a wide following among students for its ease of utilization to build with it exciting interactive projects. Teaching first-year engineering classes is a challenge given the importance of these classes in providing a solid foundation in engineering education. The traditional highly demanding first-year engineering curriculum which focuses primarily on engineering thinking and problem solving with a limited content of basic skills is not inspiring to incoming students and can become overwhelming. For this reason, we will use the Arduino platform in this first-year engineering class to add more hands-on activities to the curriculum and bring the joy of achievement for students. Our goal is to add excitement to the Fundamentals of Engineering course by providing a hands-on and fun-to-learn environment designed to expose students to tools that will lead them to critical thinking, innovation, energy awareness, and problem-solving skills which will enable them to become part of a very competitive workforce in the future. Project-based courses attempt to resolve the tension between providing training in the fundamentals of engineering and problem solving by motivating and engaging students. Active learning in first year engineering courses is believed to improve retention and appeal to a diverse population of students [1]. We report on a two-year study using the Arduino platform to build a series of projects. We have used Arduino platform projects in two-course instances and present survey results describing student responses to learning with Arduino. © American Society for Engineering Education, 2019.","Fairfield University, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078772102&partnerID=40&md5=9802c0f293c77c5a2d1f9e316c4abcac,cited By 0,,,,,2019,"ASEE Annual Conference and Exposition, Conference Proceedings",Use of the Arduino platform in fundamentals of engineering,"Belfadel, D. and Rodriguez, M.A. and Zabinski, M. and Munden, R.",conference,Belfadel2019,,,,,,,
120,Scopus,Conference Paper,ASEE Annu. Conf. Expos. Conf. Proc.,English,,21535965,American Society for Engineering Education,,"This paper shares nascent research on the organizing practices of feminist technology activists and open science hardware (OSH) developers who are concerned with how technologies (and subsequent knowledges about them) are defined, framed, further developed, shared, and in turn shape the worlds in which we live. They intend to bring a frame of reflexivity toward awareness of the politics imbued in technology as well as the often exclusionary cultures entangled therein. Further this research brings field work observations of these groups and their practices (designated as Study 1) into conversation with interviews of engineering education researchers (designated as Study 2). In that vein, this examination asks: What might an analysis of the practices and mindsets of feminist hacker and opensource science hardware groups contribute to the world of engineering education, specifically for educators interested in change-making strategies for creating a more equitable higher education environment that takes on issues of racism, sexism, heteronormativity, ableism, etc.? With a theoretical grounding in the work of Myles Horton and the Highlander Research and Education Center's theory of change, bell hooks' liberatory pedagogies, and social movement theory from a science and technology studies (STS) perspective, this paper aims to examine how current social movements in technology, specifically the organizing work of feminist hacker and tech collectives as well as those working with opensource science hardware, might inform changes to engineering practice via educational reform. Data collection for this work involves participant observation from four different meetings and discursive analysis of websites and promotional materials. The result is a multi-modal analysis which will then be brought into conversation with previous work on 32 interviews with engineering education practitioners who have identified issues in the discipline and are interested in enacting change in the higher institutional setting. Such work has implications for engineering education reform and organizing possibilities toward enabling educators to seed the changes they seek. © American Society for Engineering Education, 2019","Purdue University-Main Campus, West Lafayette (College of Engineering), United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078793074&partnerID=40&md5=c89addb9c6f50b6d9b6ad9c6fd203bdc,cited By 0,,,,,2019,"ASEE Annual Conference and Exposition, Conference Proceedings",From feminist hacker meetups to engineering educators: Implications of social movements in technology for change-making at the level of higher education,"Foster, E.K. and Riley, D.M.",conference,Foster2019,,,,,,,
121,Scopus,Conference Paper,ASEE Annu. Conf. Expos. Conf. Proc.,English,,21535965,American Society for Engineering Education,"Saba, C.B.; Guilford CollegeUnited States","Cybersecurity continues to be a growing priority for organizations of all sizes and industries. The threat landscape continues to rapidly evolve producing disastrous cyber attacks that are crippling their targets and debilitating the economy. These attacks continue to increase in frequency, scale, sophistication, and severity of impact. New attack vectors are persistently emerging and new exploit techniques are constantly gaining widespread adoption. Small businesses continue to experience lack of adequate solutions and resources to defend against and repel these attacks. We present a holistic open source software and hardware solution, that successfully implements securing the network architecture by using the “defense-in-depth” approach that ensures the elimination of single or dual point of potential vulnerability within a network. The Protectli FW108120 firewall, referred to as “The Vault” is used as first line of defense. It is a low power, fanless, durable, customizable small form factor PC. It utilizes a Celeron J1900 processor, 8 GB of DDR3 memory, a 120 GB mSATA SSD, and 4 Gigabit Ethernet ports. The community version of pfSense firewall will be utilized to run on the firewall. pfSense is a free and open source firewall and router, based on FreeBSD, that also features unified threat management (UTM), load balancing, and multi zone setup. pfSense implements, maintains, and polices our multi-zone topology, which is formed of a DeMilitarized Zone (DMZ), a trusted zone, and an untrusted zone. The DMZ achieves defense in depth by adding an extra layer of security beyond that of a single perimeter, separating an external network from directly referencing an internal network, and isolating a particular machine within a network. Thought the DMZ concept is not new, implementing it using stacked Single-Board Computers (SBC), offers an affordable and flexible, yet secure, network architecture specifically for startups, small businesses, an expansion office, or even home office. The selected single board computers are a combination of third generation Raspberry Pis and Rock64s. These boards provide a remarkable computational power, low energy consumption, light weight, a compact size secure solution, and resourceful community support. These boards will form the DMZ network servers and host services such as a Network Intrusion Detection System (NIDS) using Snort, a selection of honeypots for Secure Shell (SSH), web applications, packet sniffing, private web browsing capabilities via TOR (The Onion Router), LAMP (Linux, Apache, MySQL, PHP or Python or Perl) server, Virtual Private Network (VPN) server, and protected browsing via proxy service. The main goal of this educational project is to leverage the total holistic integration of open source hardware and software to provide an affordable and portable solution that could be promptly deployed in case of an emergency, as a part of an incident response plan (IRP), or in case it is needed for testing purposes. Implementing this project provides valuable hands-on security experience and best practices in network architecture and configuration. Additional security features, both in hardware and software, were added to the single-board computers to add additional hardened security layers. © American Society for Engineering Education, 2019.","Guilford College, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85078757751&partnerID=40&md5=f8ecc1b6f2f3624a8216506ed12d5b3a,cited By 0,,,,,2019,"ASEE Annual Conference and Exposition, Conference Proceedings",Implementing a demilitarized zone using holistic open source solution,"Saba, C.B.",conference,Saba2019,,,,,,,
122,Scopus,Article,J Intell Rob Syst Theor Appl,English,,09210296,Springer Netherlands,"Arvin, F.; School of Electrical and Electronic Engineering, The University of ManchesterUnited Kingdom; email: farshad.arvin@manchester.ac.uk","Mobile robots are playing a significant role in Higher Education science and engineering teaching, as they offer a flexible platform to explore and teach a wide-range of topics such as mechanics, electronics and software. Unfortunately the widespread adoption is limited by their high cost and the complexity of user interfaces and programming tools. To overcome these issues, a new affordable, adaptable and easy-to-use robotic platform is proposed. Mona is a low-cost, open-source and open-hardware mobile robot, which has been developed to be compatible with a number of standard programming environments. The robot has been successfully used for both education and research at The University of Manchester, UK. © 2018, The Author(s).","School of Electrical and Electronic Engineering, The University of Manchester, Manchester, M13 9PL, United Kingdom",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85047239237&doi=10.1007%2fs10846-018-0866-9&partnerID=40&md5=b4da0ec639a668b405cd210ac622d910,cited By 8,,10.1007/s10846-018-0866-9,3-4,94,2019,Journal of Intelligent and Robotic Systems: Theory and Applications,Mona: an Affordable Open-Source Mobile Robot for Education and Research,"Arvin, F. and Espinosa, J. and Bird, B. and West, A. and Watson, S. and Lennox, B.",article,Arvin2019761,JIRSE,"Educational robots;  Flexible electronics;  Hardware;  Mobile robots;  Open systems;  Robot programming;  Robotics;  User interfaces, Education and researches;  Flexible platforms;  Open hardware;  Open sources;  Programming environment;  Programming tools;  Science and engineering;  University of Manchester, Open source software",Mobile robot;  Open-hardware;  Open-source;  Robotics for education,761-775,,,
123,Scopus,Conference Paper,C C - Proc. Creativity Cogn,English,,,"Association for Computing Machinery, Inc","Fernando, P.; Arizona State UniversityUnited States; email: piyum.fernando@asu.edu","The Open Science Hardware (OSH) movement has been gaining momentum to make scientific instruments widely accessible through open-source blueprints or DIY kits which can be built for a fraction of the cost of their commercial counterparts. Even though the designs of OSH are freely and openly available over the internet, in most cases, building or assembling science equipment from online designs require knowledge and skills in areas such as digital fabrication and basic electronics. Due to this, some open science practitioners face a multitude of challenges when replicating or customizing those designs to be used in their science experiments.To this end, through ethnographic field work and participatory design, my doctoral research explores such practical challenges faced by open science practitioners and tries to create new mediums and workflows to support efficient and inclusive dissemination of OSH. © 2019 Author.","Arizona State University, Tempe, AZ, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068707441&doi=10.1145%2f3325480.3326560&partnerID=40&md5=087d87c461c962893e594162304fe46b,cited By 0,,10.1145/3325480.3326560,,,2019,C and C 2019 - Proceedings of the 2019 Creativity and Cognition,Tools for public participation in science: Design and dissemination of open-science hardware,"Fernando, P.",conference,Fernando2019697,,"Citizen science;  Digital fabrication;  Doctoral research;  Gaining momentum;  Open science;  Participatory design;  Public participation in science;  Scientific instrument, Open systems",Citizen science;  Open-science hardware;  Participatory design,697-701,9781450359177,,
124,Scopus,Article,Geosci. Instrum. Methods Data Syst.,English,,21930856,Copernicus GmbH,"Christian Steen-Larsen, H.; Geophysical Institute, University of Bergen, Bjerknes Centre for Climate ResearchNorway; email: hans.christian.steen-larsen@uib.no","We present the developmental considerations, design, and deployment of an autonomous modular terrestrial rover for ice-sheet exploration that is inexpensive, easy to construct, and allows for instrumentation customization. The total construction cost for this rover is less than USD&thinsp;3000, approximately one-tenth the cost of existing platforms, and it can be built using facilities frequently available at academic institutions (machine shop, 3-D printer, open-source hardware and software). Instrumentation deployed on this rover can be customized; the rover presented in this study was equipped with a dual-frequency GPS receiver and a digital SLR camera for constructing digital elevation models using structure-from-motion (SfM) photogrammetry. We deployed this prototype rover on the Northeast Greenland Ice Stream to map local variations in snow accumulation and surface topography. The rover conducted four autonomous missions based out of the East Greenland Ice-Core Project (EastGRIP) camp during July 2017, measuring surface elevation transects across the hazardous ice-stream shear margins. During these missions, the rover proved capable of driving over 20km on a single charge with a drawbar pull of 250N, sufficient to tow instrumentation of up to 100kg. The rover also acquired photographs that were subsequently used to construct digital elevation models of a site monitored for spatiotemporal variability in snow accumulation, demonstrating adequate stability for high-resolution imaging applications. Due to its low cost, low-power requirements, and simple modular design, mass deployments of this rover design are practicable. Operation of the rover in hazardous areas circumvents the substantial expense and risk to personnel associated with conventional, crewed deployments. Thus, this rover is an investigatory platform that enables direct exploration of polar environments considered too hazardous for conventional field expeditions. © Author(s) 2019.","Centre for Ice and Climate, Niels Bohr Institute, University of Copenhagen, Juliane Maries vej 30, Copenhagen, 2100, Denmark; Geophysical Institute, University of Bergen, Bjerknes Centre for Climate Research, Bergen, Norway; Department of Earth and Space Sciences, University of Washington, Seattle, WA  98195, United States",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067119371&doi=10.5194%2fgi-8-149-2019&partnerID=40&md5=7bc3d8604b6a70da5fd4f839a59a8622,cited By 0,,10.5194/gi-8-149-2019,1,8,2019,"Geoscientific Instrumentation, Methods and Data Systems",A low-cost autonomous rover for polar science,"Hoffman, A.O. and Christian Steen-Larsen, H. and Christianson, K. and Hvidberg, C.",article,Hoffman2019149,,,,149-159,,,
