,da,unique-id,doc-delivery-number,journal-iso,usage-count-since-2013,usage-count-last-180-days,times-cited,number-of-cited-references,author-email,web-of-science-categories,research-areas,keywords-plus,keywords,eissn,issn,doi,affiliation,language,type,address,publisher,abstract,month,pages,number,volume,year,journal,title,author,ENTRYTYPE,ID,funding-text,funding-acknowledgement,oa,orcid-numbers,researcherid-numbers,article-number,organization,note,isbn,booktitle,book-group-author,meeting,series,editor,esi-hot-paper,esi-highly-cited-paper,book-author
115,{2020-04-29},{ISI:000462927900117},{BM4AG},,{2},{1},{0},{3},{Pascal.Urien@Telecom-Paristech.fr},"{Computer Science, Hardware \& Architecture; Engineering, Electrical \&
Electronic}",{Computer Science; Engineering},,{Blockchain; Trust; Security; Secure Element},,{2331-9852},,"{Urien, P (Reprint Author), Saclay Univ, LTCI, Telecom ParisTech, 23 Ave Italie, F-75013 Paris, France.
Urien, Pascal, Saclay Univ, LTCI, Telecom ParisTech, 23 Ave Italie, F-75013 Paris, France.}",{English},{Proceedings Paper},"{345 E 47TH ST, NEW YORK, NY 10017 USA}",{IEEE},"{Trusted transaction, i.e. private keys protection and malware avoidance
is a critical issue for blockchain platforms. This demonstration
presents an innovative crypto terminal, whose security relies on two
pillars, secure element and full firmware programming. The device uses
open hardware and firmware. Its security policy is similar to bank card
terminal. A crypto terminal enforces secure key storage, trusted
signature, and is able to generate blockchain transactions.}",,,,,{2019},,"{Crypto Terminal Based On Secure Element For Consumer Trusted Blockchain
Transactions}","Urien, Pascal",inproceedings,ISI:000462927900117,,,,,,,{IEEE},"{16th IEEE Annual Consumer Communications and Networking Conference
(CCNC), Las Vegas, NV, JAN 11-14, 2019}",{978-1-5386-5553-5},"{2019 16TH IEEE ANNUAL CONSUMER COMMUNICATIONS \& NETWORKING CONFERENCE
(CCNC)}",{IEEE},,{IEEE Consumer Communications and Networking Conference},,,,
116,{2020-04-29},{ISI:000458593900014},{HL3DU},{Comput. Electr. Eng.},{4},{1},{3},{25},"{rcf@ecomp.poli.br
raan@cin.ufpe.br
agsf@cin.ufpe.br
ricardo.souza@ufpe.br
byronleite@ecomp.poli.br
wellington.santos@ufpe.br}","{Computer Science, Hardware \& Architecture; Computer Science,
Interdisciplinary Applications; Engineering, Electrical \& Electronic}",{Computer Science; Engineering},{MYOELECTRIC CONTROL},"{Electromyographic control; Human machine interface; Social innovation;
Machine learning; Extreme Learning Machines; Car functionalities}",{1879-0755},{0045-7906},{10.1016/j.compeleceng.2018.11.012},"{dos Santos, WP (Reprint Author), Univ Pernambuco, Polytech Sch, Recife, PE, Brazil.
dos Santos, WP (Reprint Author), Univ Fed Pernambuco, Dept Biomed Engn, Recife, PE, Brazil.
de Freitas, Rafaela C.; Bezerra, Byron L. D.; dos Santos, Wellington P., Univ Pernambuco, Polytech Sch, Recife, PE, Brazil.
Alves, Rodrigo; da Silva Filho, Abel G., Univ Fed Pernambuco, Ctr Informat, Recife, PE, Brazil.
de Souza, Ricardo E.; dos Santos, Wellington P., Univ Fed Pernambuco, Dept Biomed Engn, Recife, PE, Brazil.}",{English},{Article},"{THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND}",{PERGAMON-ELSEVIER SCIENCE LTD},"{Cars for disabled drivers consist of adapting their functionalities to
be operated by hands, in a manner a paraplegic individual should rely
only on their hands. This task can become difficult taking into account
that the subject must control all functionalities with the same limb. It
can increase the risk of car accident. To reduce this type of
distraction, we propose the construction of a prototype to control the
functionalities in a car using gestures captured by electromyographic
signals. The data is simulated by an Arduino and, afterwards, sent to a
Raspberry Pi. Then we perform signal classification using an Extreme
Learning Machine. The result of the classification will be used to
control automotive functionalities. Our work demonstrates the
feasibility of real-time car functionalities control using
electromyography and efficient low-cost hardware. (C) 2018 Elsevier Ltd.
All rights reserved.}",{JAN},{167-179},,{73},{2019},{COMPUTERS \& ELECTRICAL ENGINEERING},"{Electromyography-controlled car: A proof of concept based on surface
electromyography, Extreme Learning Machines and low-cost open hardware}","de Freitas, Rafaela C. and Alves, Rodrigo and da Silva Filho, Abel G.
and de Souza, Ricardo E. and Bezerra, Byron L. D. and dos Santos,
Wellington P.",article,ISI:000458593900014,"{The authors are grateful to the Brazilian research agencies CAPES, CNPq
(grant no. 308397/2015-0) and Facepe, for the partial financial support
of this research.}","{CAPESCAPES; CNPqNational Council for Scientific and Technological
Development (CNPq) {[}308397/2015-0]; Facepe}",,"{Santos, Wellington P/0000-0003-2558-6602
Leite, Byron/0000-0002-8327-9734}","{Santos, Wellington P/F-9052-2012
Leite, Byron/R-4385-2016}",,,,,,,,,,,,
117,{2020-04-29},{ISI:000454686000007},{HG1BX},{Electrophoresis},{37},{9},{1},{72},{petr.kuban@ceitec.muni.cz},"{Biochemical Research Methods; Chemistry, Analytical}",{Biochemistry \& Molecular Biology; Chemistry},"{CONTACTLESS CONDUCTIVITY DETECTION; FLOW-INJECTION; DETECTOR;
INSTRUMENTINO; INTERFACE; SOFTWARE; COLUMNS; SYSTEM; DEVICE; CE}","{Capillary electrophoresis; Open source hardware; Open source software;
Review}",{1522-2683},{0173-0835},{10.1002/elps.201800304},"{Kuban, P (Reprint Author), CEITEC MU, Bioanalyt Instrumentat, Veveri 97, Brno 60200, Czech Republic.
Kuban, Petr; Foret, Frantisek, Masaryk Univ, CEITEC, Dept Bioanalyt Instrumentat, Brno, Czech Republic.
Kuban, Petr; Foret, Frantisek, Acad Sci Czech Republ, Inst Analyt Chem, Dept Bioanalyt Instrumentat, Brno, Czech Republic.
Erny, Guillaume, Univ Porto, Fac Engn, Chem Engn Dept, LEPABE Lab Proc Engn Environm Biotechnol \& Energy, Porto, Portugal.}",{English},{Review},"{111 RIVER ST, HOBOKEN 07030-5774, NJ USA}",{WILEY},"{Open source paradigm is becoming widely accepted in scientific
communities and open source hardware is finding its steady place in
chemistry research. In this review article, we provide the reader with
the most up-to-date information on open source hardware and software
resources enabling the construction and utilization of an ``open source
capillary electrophoresis instrument{''}. While CE is still underused as
a separation technique, it offers unique flexibility, low-cost, and high
efficiency and is particularly suitable for open source instrumental
development. We overview the major parts of CE instruments, such as high
voltage power supplies, detectors, data acquisition systems, and CE
software resources with emphasis on availability of the open source
information on the web and in the scientific literature. This review is
the first of its kind, revealing accessible blueprints of most parts
from which a fully functional open source CE system can be built. By
collecting the extensive information on open source capillary
electrophoresis in this review article, the authors aim at facilitating
the dissemination of knowledge on CE within and outside the scientific
community, fosters innovation and inspire other researchers to improve
the shared CE blueprints.}",{JAN},{65-78},"{1, SI}",{40},{2019},{ELECTROPHORESIS},{Open source capillary electrophoresis},"Kuban, Petr and Foret, Frantisek and Erny, Guillaume",article,ISI:000454686000007,"{This research was carried out under the project CEITEC 2020 (LQ1601),
with financial support from the Ministry of Education, Youth and Sports
of the Czech Republic under the National Sustainability Programme II.
Financial support from the Grant Agency of the Czech Ministry of Health
(Grants No. 17-31945A, NV-18-08-00189) are acknowledged. Part of the
project was financed from Institutional support RVO: 68081715. This work
was financially supported by the projects: (i) POCI-01-0145-FEDER-006939
(Laboratory for Process Engineering, Environment, Biotechnology and
Energy - UID/EQU/00511/2013) funded by the European Regional Development
Fund (ERDF), through COMPETE2020 - Programa Operacional Competitividade
e Internacionalizacao (POCI) and with financial support from FCT/MCTES
through national funds (PIDDAC); (ii) NORTE-01-0145-FEDER-000005 -
LEPABE-2-ECO-INNOVATION, supported by North Portugal Regional
Operational Programme (NORTE 2020), under the Portugal 2020 Partnership
Agreement, through the European Regional Development Fund (ERDF); and
(iii) FEDER funds through the Operational Program for Human Potential
and by National Funds through FCT under the project IF/00528/2013. This
article is based upon work from COST Action CA 16215, supported by COST
(European Cooperation in Science and Technology, http://www.cost.eu).}","{project CEITEC 2020 {[}LQ1601]; Ministry of Education, Youth and Sports
of the Czech Republic under the National Sustainability Programme II;
Grant Agency of the Czech Ministry of Health {[}17-31945A,
NV-18-08-00189]; European Regional Development Fund (ERDF), through
COMPETE2020 - Programa Operacional Competitividade e Internacionalizacao
(POCI)European Union (EU) {[}POCI-01-0145-FEDER-006939,
UID/EQU/00511/2013]; FCT/MCTES through national funds (PIDDAC);
LEPABE-2-ECO-INNOVATION - North Portugal Regional Operational Programme
(NORTE 2020), under the Portugal 2020 Partnership Agreement, through the
European Regional Development Fund (ERDF)
{[}NORTE-01-0145-FEDER-000005]; FEDER funds through the Operational
Program for Human Potential; National Funds through FCT
{[}IF/00528/2013]; COST (European Cooperation in Science and
Technology)European Cooperation in Science and Technology (COST) {[}CA
16215];  {[}RVO: 68081715]}",{Bronze},"{Foret, Frantisek/0000-0002-0060-7350
Erny, Guillaume/0000-0003-2636-6740
Kuban, Petr/0000-0002-4056-5570}","{Foret, Frantisek/D-9495-2012
}",,,,,,,,,,,,
118,{2020-04-29},{ISI:000456830200001},{HJ0EL},{Commun. Cult. Crit.},{2},{1},{1},{32},{a.powell@lse.ac.uk},{Communication},{Communication},{PEER PRODUCTION},"{Contribution Culture; Digital Culture; Open Knowledge; New Spirit of
Capitalism; Repair Culture}",{1753-9137},{1753-9129},{10.1093/ccc/tcy023},"{Powell, AB (Reprint Author), London Sch Econ \& Polit Sci, Dept Media \& Commun, London, England.
Powell, Alison B., London Sch Econ \& Polit Sci, Dept Media \& Commun, London, England.}",{English},{Article},"{JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA}",{OXFORD UNIV PRESS INC},"{This article examines how decisions are made and justified within
cultures of contribution using an ``operational pragmatics.{''}
Peer-production and contribution cultures are enfolded in a dynamic of
resistance and appropriation in relation to capitalism. Open-source and
contribution-based cultural processes have been critiqued as tending
towards bureaucracy or becoming enfolded in a never-ending neoliberal
imaginary from which escape or transcendence become impossible. An
examination of the values expressed within a peer-production community
challenges these perspectives and shows how ``operational pragmatics{''}
can provide moral justifications through reference to matters of
principle and matters of design. Conflating these matters complicates
claims about the inherent virtues of participation, especially in
technical cultures. A qualitative analysis of an open-source hardware
project shows how competing moral justifications unfold, and how the
challenges that they pose to capitalism may be tenuous or temporary
because of the way that justificatory regimes work within technology
development under capitalism.}",{DEC},{513-529},{4},{11},{2018},{COMMUNICATION CULTURE \& CRITIQUE},{Moral Orders in Contribution Cultures},"Powell, Alison B.",article,ISI:000456830200001,,,,,,,,,,,,,,,,,
119,{2020-04-29},{ISI:000455816100005},{HH6CJ},{J. Futures Stud.},{1},{0},{1},{67},{christina.priavolou@ttu.ee},{Regional \& Urban Planning},{Public Administration},{DESIGN; PLAN},"{Construction; Sustainability; Digital commons; Open Design; Building;
Open Hardware}",,{1027-6084},{10.6531/JFS.201812\_23(2).0005},"{Priavolou, C (Reprint Author), Tallinn Univ Technol, Ragnar Nurkse Dept Innovat \& Governance, Akad St 3, EE-12618 Tallinn, Estonia.
Priavolou, C (Reprint Author), P2P Lab, Kougkiou 3A, Ioannina 45221, Greece.
Priavolou, Christina, Tallinn Univ Technol, Tallinn, Estonia.}",{English},{Article},"{GRAD SCHOOL LANG LIT, TAMSUI, TAIPEI, TAIWAN}",{TAMKANG UNIV},"{This paper discusses how emerging issues in housing construction could
revolutionise the building industry. It focuses on commons-based
networks of organisations, technologies and users that form a niche
practice on the margins of the dominant paradigm. This practice can be
understood as ``Design Global, Manufacture Local{''} and is exemplified
by the Hexayurt, the Open Source Ecology Microhouse and the WikiHouse.
Using these descriptive case studies, light is shed on the challenges
and opportunities of open construction systems with regard to
technological, institutional and social perspectives. Notwithstanding
the positive dynamics, certain issues need to be addressed, so that a
sustainable built environment could flourish.}",{DEC},{67-84},{2},{23},{2018},{JOURNAL OF FUTURES STUDIES},"{The Emergence of Open Construction Systems: A Sustainable Paradigm in
the Construction Sector}","Priavolou, Christina",article,ISI:000455816100005,"{This work was financially supported by the Estonian Ministry of
Education and Research {[}grant number: B52].}","{Estonian Ministry of Education and ResearchMinistry of Education and
Research, Estonia {[}B52]}",,"{Priavolou, Christina/0000-0002-6987-641X}",,,,,,,,,,,,,
120,{2020-04-29},{ISI:000455415600006},{HH0OA},{J. Sens. Actuar. Netw.},{5},{1},{0},{16},"{daniel.fisher@ars.usda.gov
lisa.woodruff@ars.usda.gov
saseendran.anapalli@ars.usda.gov
sri.pinnamaneni@ars.usda.gov}",{Telecommunications},{Telecommunications},,{Arduino; microcontroller; cellular; internet; soil moisture; agriculture},,{2224-2708},{10.3390/jsan7040047},"{Fisher, DK (Reprint Author), ARS, Crop Prod Syst Res Unit, USDA, 141 Expt Stn Rd, Stoneville, MS 38776 USA.
Fisher, Daniel K.; Woodruff, Lisa K.; Anapalli, Saseendran S.; Pinnamaneni, Srinavasa R., ARS, Crop Prod Syst Res Unit, USDA, 141 Expt Stn Rd, Stoneville, MS 38776 USA.}",{English},{Article},"{ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND}",{MDPI},"{Agricultural research involves study of the complex
soil-plant-atmosphere-water system, and data relating to this system
must be collected under often-harsh outdoor conditions in agricultural
environments. Rapid advancements in electronic technologies in the last
few decades, as well as more recent widespread proliferation and
adoption of electronic sensing and communications, have created many
options to address the needs of professional, as well as amateur,
researchers. In this study, an agricultural research project was
undertaken to collect data and examine the effects of different
agronomic practices on yield, with the objectives being to develop a
monitoring system to measure soil moisture and temperature conditions in
field plots and to upload the data to an internet website. The developed
system included sensor nodes consisting of sensors and electronic
circuitry to read and transmit sensor data via radio and a cellular
gateway to receive node data and forward the data to an internet website
via cellular infrastructure. Microcontroller programs were written to
control the nodes and gateway, and an internet website was configured to
receive and display sensor data. The battery-powered sensor nodes cost
\$170 each, including electronic circuitry and sensors, and they were
operated throughout the cropping season with little maintenance on a
single set of batteries. The solar-powered gateway cost \$163 to
fabricate, plus an additional cost of \$2 per month for cellular network
access. Wireless and cellular data transmissions were reliable,
successfully transferring 95\% of sensor data to the internet website.
Application of open-source hardware, wireless data transfer, and
internet-based data access therefore offers many options and advantages
for agricultural sensing and monitoring efforts.}",{DEC},,{4},{7},{2018},{JOURNAL OF SENSOR AND ACTUATOR NETWORKS},{Open-Source Wireless Cloud-Connected Agricultural Sensor Network},"Fisher, Daniel K. and Woodruff, Lisa K. and Anapalli, Saseendran S. and
Pinnamaneni, Srinavasa R.",article,ISI:000455415600006,,,{DOAJ Gold},"{Anapalli, Saseendran/0000-0001-5238-1894}",,{47},,,,,,,,,,,
121,{2020-04-29},{ISI:000455067800078},{HG6CE},{Electronics},{13},{0},{6},{42},"{strilles@uji.es
algonzal@uji.es
huerta@uji.es}","{Engineering, Electrical \& Electronic}",{Engineering},{SENSORIZED PLATFORM; INTERNET; THINGS; STATE; ROT},{Internet of Things; open hardware; smart farming},,{2079-9292},{10.3390/electronics7120419},"{Trilles, S (Reprint Author), Univ Jaume 1, Inst New Imaging Technol, Av Vicente Sos Baynat S-N, Castellon De La Plana 12071, Spain.
Trilles, Sergio; Gonzalez-Perez, Alberto; Huerta, Joaquin, Univ Jaume 1, Inst New Imaging Technol, Av Vicente Sos Baynat S-N, Castellon De La Plana 12071, Spain.}",{English},{Article},"{ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND}",{MDPI},"{The last decade has witnessed a significant reduction in prices and an
increased performance of electronic components, coupled with the
influence of the shift towards the generation of open resources, both in
terms of knowledge (open access), programs (open-source software), and
components (open hardware). This situation has produced different
effects in today's society, among which is the empowerment of citizens,
called makers, who are themselves able to generate citizen science or
build assembly developments. Situated in the context described above,
the current study follows a Do-It-Yourself (DIY) approach. In this way,
it attempts to define a conceptual design of an Internet of Things (IoT)
node, which is reproducible at both physical and behavioral levels, to
build IoT nodes which can cover any scenario. To test this conceptual
design, this study proposes a sensorization node to monitor
meteorological phenomena. The node is called SEnviro (node) and features
different improvements such as: the possibility of remote updates using
Over-the-Air (OTA) updates; autonomy, using 3G connectivity, a solar
panel, and applied energy strategies to prolong its life; and
replicability, because it is made up of open hardware and other elements
such as 3D-printed pieces. The node is validated in the field of smart
agriculture, with the aim of monitoring different meteorological
phenomena, which will be used as input to disease detection models to
detect possible diseases within vineyards.}",{DEC},,{12},{7},{2018},{ELECTRONICS},"{A Comprehensive IoT Node Proposal Using Open Hardware. A Smart Farming
Use Case to Monitor Vineyards}","Trilles, Sergio and Gonzalez-Perez, Alberto and Huerta, Joaquin",article,ISI:000455067800078,"{Sergio Trilles has been funded by the postdoctoral programme Vali+d
(GVA) (grant number APOSTD/2016/058) and GVA doctoral stays programme
(grant number BEST/2018/053). The project is funded by the Universitat
Jaume I -PINV 2017 (UJI-A2017-14) and the European Commission through
the GEO-C project (H2020-MSCA-ITN-2014, Grant Agreement number 642332,
http://www.geo-c.eu/).}","{postdoctoral programme Vali+d (GVA) {[}APOSTD/2016/058]; GVA doctoral
stays programme {[}BEST/2018/053]; Universitat Jaume I-PINV 2017
{[}UJI-A2017-14]; European Commission through the GEO-C project
(H2020-MSCA-ITN-2014) {[}642332]}",{DOAJ Gold},"{Trilles, Sergio/0000-0002-9304-0719
Gonzalez-Perez, Alberto/0000-0002-9016-9357}","{Trilles, Sergio/AAB-1339-2019
Gonzalez-Perez, Alberto/AAA-4352-2020}",{419},,,,,,,,,,,
122,{2020-04-29},{ISI:000454444200152},{HF7TR},{Alex. Eng. J.},{10},{2},{1},{24},{tejeshbss@hotmail.com},"{Engineering, Multidisciplinary}",{Engineering},,"{IoT; RFID; Warehouse inventory management system; Wi-Fi module; Open
source hardware}",{2090-2670},{1110-0168},{10.1016/j.aej.2018.02.003},"{Tejesh, BSS (Reprint Author), SRK Inst Technol, Dept ECE, Vijayawada, Andhra Pradesh, India.
Tejesh, B. Sai Subrahmanya; Neeraja, S., SRK Inst Technol, Dept ECE, Vijayawada, Andhra Pradesh, India.}",{English},{Article},"{STE 800, 230 PARK AVE, NEW YORK, NY 10169 USA}",{ELSEVIER SCIENCE INC},"{In general, warehouses are used to store goods or products. In the
Warehouses, if the user wants to locate any product it is very
difficult, because user have to do a detailed search manually in all the
available stockrooms this requires a lot of effort. So to avoid this
problem the warehouse inventory management system is very helpful
because it maintains the detailed product information and tells us in
which stockroom the product is present. The warehouse inventory
management system is playing a significant aspect in many productions
and goods based methodology. Though there are many wireless
communication technologies the RFID suits the best for the warehouse
inventory management system. The tag information is transferred from the
transmitter section to open source hardware via a wireless link with the
aid of internet. The warehouse inventory management system built on the
architecture of the Internet of Things is developed to track the
products attached to the tags with product information and their
respective time stamps for further verification. The Raspberry Pi acts
as a central server, monitoring all the information. The total system
gives an archetype to correspond the information flow and material flow.
The web page which is built in accordance to provide convenient and an
interface to the user to track the products. The developed system
results a very low cost system and works dynamically compared with the
existing present warehouse inventory management systems. (C) 2018
Faculty of Engineering, Alexandria University. Production and hosting by
Elsevier B.V. This is an open access article under the CC BY-NC-ND
license (http://creativecommons.org/licenses/by-nc-nd/4.0/).}",{DEC},{3817-3823},{4},{57},{2018},{ALEXANDRIA ENGINEERING JOURNAL},"{Warehouse inventory management system using IoT and open source
framework}","Tejesh, B. Sai Subrahmanya and Neeraja, S.",article,ISI:000454444200152,"{This research was supported by Mr. K. Sripath Roy and ESSN research
group at KL University. I thank the Institute for providing the constant
support for this research from the expertise}",{ESSN research group at KL University},{DOAJ Gold},"{Bss, Tejesh/0000-0002-9121-7971}",,,,,,,,,,,,,
123,{2020-04-29},{ISI:000454382300016},{HF6XT},{Mechatronics},{20},{12},{2},{94},{pearce@mtu.edu},"{Automation \& Control Systems; Engineering, Electrical \& Electronic;
Engineering, Mechanical; Robotics}",{Automation \& Control Systems; Engineering; Robotics},"{OPEN-SOURCE SOFTWARE; ANTIREFLECTION COATINGS; ARDUINO; TIME;
FABRICATION; REPRAP}","{Open source hardware; Gimbal system; 3-D printing; Rotator;
Optoelectronics; Transmittance; FOSH}",,{0957-4158},{10.1016/j.mechatronics.2018.07.005},"{Pearce, JM (Reprint Author), Michigan Technol Univ, Dept Mat Sci \& Engn, 601 M\&M Bldg, Houghton, MI 49931 USA.
Bihari, Nupur; Pearce, Joshua M., Michigan Technol Univ, Dept Mat Sci \& Engn, 601 M\&M Bldg, Houghton, MI 49931 USA.
Dash, Smruti Prasad; Pearce, Joshua M., Michigan Technol Univ, Dept Elect \& Comp Engn, Houghton, MI 49931 USA.
Dhankani, Karankumar C., Michigan Technol Univ, Dept Mech Engn Engn Mech, Houghton, MI 49931 USA.
Pearce, Joshua M., Aalto Univ, Sch Elect Engn, Dept Elect \& Nanoengn, FI-02150 Espoo, Finland.}",{English},{Article},"{THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND}",{PERGAMON-ELSEVIER SCIENCE LTD},"{Simple 3-D printable open source hardware designs have proven to be
effective scientific instruments at low costs. Further development in
this area is coupling open source electronics with 3-D printable
mechanical components to make fully functional
distributedly-manufactured mechatronic tools for science. One research
area where such low-cost technology is needed is to characterize thin
film anti-reflective coatings and transparent conducting oxides (TCOs)
for the glass, mirror and solar photovoltaic industry whose transmission
properties are angle dependent. To meet this research need a low-cost
3-D printable open source dual axis gimbal system is presented in this
study. An Arduino based microcontroller is used to move the sample
holder to the user specified angle where two stepper motors control the
motion providing two degrees of freedom. The sample holder is made in
such a way that samples can easily be mounted on it by two movable
latches. The system was validated and characterized for: i)
unidirectional accuracy, ii) repeatability, iii) backlash, iv) speed
resolution and v) microstep size. Finally, the mechatronic system is
tested for the intended application using a halogen light source and a
spectrometer to measure transmission through glass TCO samples through a
hemisphere. The system performed as expected has a unidirectional
accuracy of 2.827 degrees, repeatability of 1.585 degrees, backlash
error of 1.237 degrees, maximum speed of 35.156 degrees and a verifiable
microstep size of 0.33 degrees. Despite the highest mean squared errors,
the open source gimbal system performed adequately while measuring
transmission of radiation through glass with TCO coatings. This open
source system also represents a 96\% cost in savings as compared to the
least expensive commercial variant. The high mean squared errors are
offset by the cost of the system coupled with its open source nature
that promotes further collaboration and hence, development.}",{DEC},{175-187},,{56},{2018},{MECHATRONICS},"{3-D printable open source dual axis gimbal system for optoelectronic
measurements}","Bihari, Nupur and Dash, Smruti Prasad and Dhankani, Karankumar C. and
Pearce, Joshua M.",article,ISI:000454382300016,{This work was supported by the MOST lab and Fulbright Finland.},{MOST lab; Fulbright Finland},,"{Pearce, J.M/0000-0001-9802-3056}","{Pearce, Joshua M/D-2052-2010
Pearce, J.M/C-9240-2013}",,,,,,,,,,,,
124,{2020-04-29},{ISI:000451630400014},{HC2KI},{Quim. Nova},{9},{3},{0},{13},{carla.bossu@gmail.com},"{Chemistry, Multidisciplinary}",{Chemistry},,{flow analysis; Arduino; peristaltic pump},{1678-7064},{0100-4042},{10.21577/0100-4042.20170289},"{Bossu, CM (Reprint Author), Univ Fed Vicosa, Inst Ciencias Exatas \& Tecnol, Campus Rio Paranaiba, BR-38810000 Rio Paranaiba, MG, Brazil.
Soares, Fernanda S. C.; Soares, Marcio S.; Sant'Anna, Marcus, V; Nascentes, Rejane; Bossu, Carla M., Univ Fed Vicosa, Inst Ciencias Exatas \& Tecnol, Campus Rio Paranaiba, BR-38810000 Rio Paranaiba, MG, Brazil.
Vieira, Alan L., Univ Estadual Paulista, Inst Quim, BR-14800060 Araraquara, SP, Brazil.}",{Portuguese},{Article},"{CAIXA POSTAL 26037, 05599-970 SAO PAULO, BRAZIL}",{SOC BRASILEIRA QUIMICA},"{This work describes the development of a peristaltic pump and a
photometric detector, using ``Arduino{''} and alternative and low-cost
materials for flow analysis system. The analytical calibration curve of
the acid-red-283 using the proposed system presents 0.9984 and 3.9\% as
the coefficients of determination and variation, and 1.1 and 3.8 mg L-1
as limits of detection and quantification, respectively. Three prepared
samples of the acid-red-283 (25, 30 and 35 mg L-1) showed recovery
between 99 to 104\%. For construction of the peristaltic pump and the
photometer using Light Emitting Diodes (LED), light-dependent resistor
(LDR) were spent less than 10\% of the cost was spent on a commercial
system employing a peristaltic pump and a spectrophotometer.
Furthermore, the peristaltic pump and the photometer developed in this
work allow the implementation of practical disciplines, such as
molecular absorption spectrophotometry and flow analysis system in
undergraduate courses, making these instruments more accessible,
especially for the chemistry students.}",{DEC},{1196-1199},{10},{41},{2018},{QUIMICA NOVA},"{PERISTALTIC PUMP AND DETECTION SYSTEM CONTROLLED BY AN ARDUINO OPEN
SOURCE HARDWARE DEVELOPED AND DESIGNED FOR APPLICATION IN A FLOW
ANALYSIS SYSTEM}","Soares, Fernanda S. C. and Vieira, Alan L. and Soares, Marcio S. and
Sant'Anna, V, Marcus and Nascentes, Rejane and Bossu, Carla M.",article,ISI:000451630400014,,,"{DOAJ Gold, Green Published}",,,,,,,,,,,,,,
125,{2020-04-29},{ISI:000453278100009},{HE3RX},{Rev. Cub. Fis.},{1},{1},{0},{7},{edgar\_serrano@my.unitec.edu.mx},"{Physics, Multidisciplinary}",{Physics},,,,{0253-9268},,"{Serrano-Perez, E (Reprint Author), Univ Technol Mexico, UNITEC MEXICO, Campus Atizapan, Mexico City, DF, Mexico.
Serrano-Perez, E., Univ Technol Mexico, UNITEC MEXICO, Campus Atizapan, Mexico City, DF, Mexico.}",{Spanish},{Article},"{OBISPO N 527, HAVANA, 00000, CUBA}",{EDICIONES CUBANAS},,{DEC},{118-120},{2},{35},{2018},{REVISTA CUBANA DE FISICA},"{INTEGRATING FREE OPEN SOURCE HARDWARE AS EDUCATIONAL TOOL TO INVESTIGATE
THE RLC CIRCUIT TIME RESPONSE}","Serrano-Perez, E.",article,ISI:000453278100009,,,{DOAJ Gold},,,,,,,,,,,,,,
