"","x"
"183","a low-cost color interpolation method for ccd digital still camera"
"184","a low-cost control architecture for cassino hexapod ii"
"185","a low-cost drift-free optical-inertial hybrid motion capture system for high-precision human pose detection"
"186","a low-cost drift-free optical-inertial hybrid motion capture system forhigh-precision human pose detection"
"187","a low-cost exp-golomb hardware architecture for h.264/avc entropy coder"
"188","a low-cost exp\_golomb hardware architecture for h.264/avc entropy coder"
"189","a low-cost feedback control systems laboratory setup via arduino–simulink interface"
"190","a low-cost feedback control systems laboratory setup viaarduino-simulink interface"
"191","a low-cost hardware accelerator for ccsds 123 predictor in fpga"
"192","a low-cost hardware accelerator for ccsds 123 predictor in fpga"
"193","a low-cost hardware approach to dependability validation of ips"
"194","a low-cost hardware architecture for illumination adjustment in real-time applications"
"195","a low-cost hardware architecture for illumination adjustment inreal-time applications"
"196","a low-cost hardware design of a 1-d spiht algorithm for video display systems"
"197","a low-cost hardware design of a 1-d spiht algorithm for video displaysystems"
"198","a low-cost hardware trojan mitigation method for securing untrusted thirdparty cryptographic intellectual property cores"
"199","a low-cost hardware-in-the-loop agent-based simulation testbed for autonomous vehicles"
"200","a low-cost hardware-in-the-loop agent-based simulation testbed forautonomous vehicles"
"201","a low-cost hardware-in-the-loop real time simulation of control systems"
"202","a low-cost hardware-in-the-loop real time simulation of control systems"
"203","a low-cost hardware-in-the-loop test bench for powertrain of extended-range electric vehicle"
"204","a low-cost hardware-in-the-loop-simulation testbed of quadrotor uav and implementation of nonlinear control schemes"
"205","a low-cost hardware-in-the-loop-simulation testbed of quadrotor uav andimplementation of nonlinear control schemes"
"206","a low-cost iot based environmental monitoring system. a citizen approach to pollution awareness"
"207","a low-cost iot based environmental monitoring system. a citizen approachto pollution awareness."
"208","a low-cost lagrangian drifter based on open-source hardware and software platform"
"209","a low-cost lagrangian drifter based on open-source hardware and softwareplatform"
"210","a low-cost machine vision system for the recognition and sorting of small parts"
"211","a low-cost machine vision system for the recognition and sorting ofsmall parts"
"212","a low-cost maximum power point tracking system based on neural network inverse model controller"
"213","a low-cost maximum power point tracking system based on neural networkinverse model controller"
"214","a low-cost microcontroller based stimulation system to study sensory processing"
"215","a low-cost microcontroller based stimulation system to study sensoryprocessing"
"216","a low-cost mirror mount control system for optics setups"
"217","a low-cost mirror mount control system for optics setups"
"218","a low-cost mmse-sic detector for the mimo system: algorithm and hardwareimplementation"
"219","a low-cost mobile urban environmental monitoring system"
"220","a low-cost mobile urban environmental monitoring system"
"221","a low-cost modular platform for heterogeneous data acquisition with accurate interchannel synchronization"
"222","a low-cost modular platform for heterogeneous data acquisition withaccurate interchannel synchronization"
"223","a low-cost open hardware system for collecting traffic data using wi-fi signal strength"
"224","a low-cost open hardware system for collecting traffic data using wi-fisignal strength"
"225","a low-cost open source hardware in control education. case study: arduino-feedback ms-150"
"226","a low-cost open source hardware in control education. casestudy:arduino-feedback ms-150"
"227","a low-cost open-hardware wideband multiple-input-multiple-output (mimo)wireless channel sounder"
"228","a low-cost open-source acoustic recorder for bioacoustics research"
"229","a low-cost open-source acoustic recorder for bioacoustics research"
"230","a low-cost open-source metal 3-d printer"
"231","a low-cost open-source metal 3-d printer"
"232","a low-cost optical remote sensing application for glacier deformation monitoring in an alpine environment"
"233","a low-cost optical remote sensing application for glacier deformationmonitoring in an alpine environment"
"234","a low-cost pedestrian navigation system including in-flight parametercorrection"
"235","a low-cost platform for eye-tracking research: using pupil (c) inbehavior analysis"
"236","a low-cost platform for eye-tracking research: using pupil© in behavior analysis"
"237","a low-cost portable health platform for monitoring of human physiological signals"
"238","a low-cost real color picker based on arduino"
"239","a low-cost real color picker based on arduino"
"240","a low-cost robot for multi-robot experiments"
"241","a low-cost robot for multi-robot experiments"
"242","a low-cost rssi based localization system design for wildlife tracking"
"243","a low-cost rssi based localization system design for wildlife tracking"
"244","a low-cost slow control system for the pandax-4t experiment"
"245","a low-cost smart parking solution for smart cities based on open software and hardware"
"246","a low-cost system and method for acquiring small refraction seismic surveys"
"247","a low-cost vlsi architecture of the bilateral filter for real-time image denoising"
"248","a low-cost vlsi architecture of the bilateral filter for real-time imagedenoising"
"249","a low-cost vlsi design of extended linear interpolation for real timedigital image processing"
"250","a low-cost web-based learning platform for cnc machining education"
"251","a low-cost web-based learning platform for cnc machining education"
"252","a low-cost, open-source autonomous surface vehicle as a multipurpose waste stabilization pond monitoring platform"
"253","a low-cost, open-source autonomous surface vehicle as a multipurposewaste stabilization pond monitoring platform"
"254","a low-cost, portable solution for stress and relaxation estimation based on a real-time fuzzy algorithm"
"255","a low-cost, portable solution for stress and relaxation estimation basedon a real-time fuzzy algorithm"
"256","a low-cost, versatile laboratory experiment in food engineering usingthe internet"
"257","a low-overhead adaptive image compression technique for energy-constrained wmsn"
"258","a low-overhead adaptive image compression technique forenergy-constrained wmsn"
"259","a machine learning approach for emotion detection through low-cost hardware"
"260","a magnet current monitor for gyrotron magnet power supplies"
"261","a mean stack based remote monitoring system for electrical distribution feeders in sri lanka"
"262","a mean stack based remote monitoring system for electrical distributionfeeders in sri lanka"
"263","a measuring method about the bus insulation resistance of power battery pack"
"264","a memory fault simulator for radiation-induced effects in srams"
"265","a memory-efficient bit-split parallel string matching using patterndividing for intrusion detection systems"
"266","a method for preventing skipping attacks"
"267","a method of restoring distribution systems using adjacent networks and two levels search"
"268","a method of restoring distribution systems using adjacent networks andtwo levels search"
"269","a mini review of the key components used for the development of high-speed atomic force microscopy"
"270","a mini review of the key components used for the development ofhigh-speed atomic force microscopy"
"271","a miniature data repository on a raspberry pi"
"272","a miniature data repository on a raspberry pi"
"273","a mobile educational lab kit for fragile contexts"
"274","a mobile hops harvester: user-based, open source design and shared infrastructure in an emerging agricultural sector"
"275","a mobile platform for controlling and interacting with a do-it-yourself smart eyewear"
"276","a mobile platform for controlling and interacting with a do-it-yourselfsmart eyewear"
"277","a mobile sensing kit for urban analysis for more legible, quantifiableintangible and temporary data"
"278","a mobile sensor network to map carbon dioxide emissions in urban environments"
"279","a mobile sensor network to map carbon dioxide emissions in urbanenvironments"
"280","a modified inexact arithmetic median filter for removing salt-and-pepper noise from gray-level images"
"281","a modified inexact arithmetic median filter for removing salt-and-peppernoise from gray-level images"
"282","a modified second-order extended kalman filter for positioning"
"283","a modified second-order extended kalman filter for positioning"
"284","a modular cps architecture design based on ros and docker"
"285","a modular cps architecture design based on ros and docker"
"286","a modular fpga-based phased array system for ultrasonic levitation with matlab"
"287","a modular fpga-based phased array system for ultrasonic levitation withmatlab"
"288","a modular path planning solution for wire + arc additive manufacturing"
"289","a modular path planning solution for wire plus arc additivemanufacturing"
"290","a multi-agent approach to smart home sensors for the elderly based on an open hardware architecture: a model for participatory evaluation"
"291","a multi-media gateway for vehicles"
"292","a multi-standards hdtv video decoder for blu-ray disc standard"
"293","a multimodal electronic travel aid device"
"294","a multiplierless implementation of cascade integrator comb filter"
"295","a multiplierless implementation of cascade integrator comb filter"
"296","a narrowband interference identification approach for uwb systems"
"297","a natural interaction vr environment for surgical instrumentation training"
"298","a natural interaction vr environment for surgical instrumentationtraining"
"299","a neuromorphic digital circuit for neuronal information encoding using astrocytic calcium oscillations"
"300","a neuromorphic digital circuit for neuronal information encoding usingastrocytic calcium oscillations"
"301","a new and efficient real-time address tracer for embeddedmicroprocessors"
"302","a new approach to determine the density of liquids and solids without measuring mass and volume: introducing the solidensimeter"
"303","a new engineering approach for gas anchor applications for extra heavy crude oil-study case at petropiar in the orinoco belt"
"304","a new low-cost no-cable digital geophone for microtremor survey"
"305","a new low-cost no-cable digital geophone for microtremor survey"
"306","a new paradigm for open robotics research and education with the c plusplus ooml"
"307","a new paradigm for open robotics research and education with the c++ ooml"
"308","a new perspective on the development of open-source ip"
"309","a new ranging method for fmcw fuze based on the ratio of the derivation"
"310","a new tool for cognitive workload assessment in system design prototypes"
"311","a new turbidimetric method for determination of melamine based on itsreaction with mercury(ii)"
"312","a new type of a spectrometric microtitration set up"
"313","a non-contact pulse automatic positioning measurement system for traditional chinese medicine"
"314","a non-contact pulse automatic positioning measurement system fortraditional chinese medicine"
"315","a non-differential approach to the estimation of gnss-derivedaccelerations. galileo's foreseen impact on airborne gravimetry."
"316","a novel algorithm of tail biting convolutional code decoder for low cost hardware implementation"
"317","a novel algorithm of tail biting convolutional code decoder for low costhardware implementation"
"318","a novel approach for focusing electron beams using low-cost ceramic grid"
"319","a novel approach of assisting the visually impaired to navigate path and avoiding obstacle-collisions"
"320","a novel approach of assisting the visually impaired to navigate path andavoiding obstacle-collisions"
"321","a novel approach to the low cost real time eye mouse"
"322","a novel approach to the low cost real time eye mouse"
"323","a novel attitude and motion determination algorithm based on dualquaternion"
"324","a novel bidirectional rfid identity authentication protocol"
"325","a novel bidirectional rfid identity authentication protocol"
"326","a novel experimental apparatus (pdl) and its application in highereducation in japan and cambodia"
"327","a novel gait recognition system based on hidden markov models"
"328","a novel imaging scheme for optical cameras used in a quality assurance detector for discrete spot scanning proton beam systems"
"329","a novel imaging scheme for optical cameras used in a quality assurancedetector for discrete spot scanning proton beam systems"
"330","a novel integrated method realizing iteratively optimized modeling forproximity field patterning nanolithography"
"331","a novel low-cost open-hardware platform for monitoring soil water content and multiple soil-air-vegetation parameters"
"332","a novel low-cost open-hardware platform for monitoring soil watercontent and multiple soil-air-vegetation parameters"
"333","a novel low-noise movement tracking system with real-time analog output for closed-loop experiments"
"334","a novel low-noise movement tracking system with real-time analog outputfor closed-loop experiments"
"335","a novel marine mesocosm facility to study global warming, water quality, and ocean acidification"
"336","a novel marine mesocosm facility to study global warming, water quality,and ocean acidification"
"337","a novel method of surveying submerged landslide ruins: case study of the nebukawa landslide in japan"
"338","a novel method of surveying submerged landslide ruins: case study of thenebukawa landslide in japan"
"339","a novel nonlinearity correction algorithm for fmcw radar systems for optimal range accuracy and improved multitarget detection capability"
"340","a novel nonlinearity correction algorithm for fmcw radar systems foroptimal range accuracy and improved multitarget detection capability"
"341","a novel patterning method for three-dimensional paper-based devices by using inkjet-printed water mask"
"342","a novel patterning method for three-dimensional paper-based devices byusing inkjet-printed water mask"
"343","a novel technique for interdependent trim code optimization"
"344","a novel technique for interdependent trim code optimization"
"345","a novel, low-cost neurois prototype for supporting bio signals experimentation based on bitalino"
"346","a novel, low-cost neurois prototype for supporting bio signalsexperimentation based on bitalino"
"347","a one-piece 3d printed flexure translation stage for open-source microscopy"
"348","a one-piece 3d printed flexure translation stage for open-sourcemicroscopy"
"349","a open hardware wireless sensor monitoring system for human wellbeing research in ambient assisted living"
"350","a open hardware wireless sensor monitoring system for human wellbeingresearch in ambient assisted living"
"351","a parallel packet switch with multiplexors containing virtual inputqueues"
"352","a path-generation framework for real-time query processing in wireless sensor networks"
"353","a peer-to-peer distributed system for multipoint measurement techniques"
"354","a performance analysis of lightweight cryptography algorithm for data privacy in iot devices"
"355","a performance analysis of lightweight cryptography algorithm for dataprivacy in iot devices"
"356","a photoplethysmograph experiment for microcontroller labs"
"357","a photoplethysmograph experiment for microcontroller labs"
"358","a pinch-valve interface for automated sampling and monitoring of dynamicprocesses by gas chromatography-mass spectrometry"
"359","a pixel-based autofocusing technique for digital histologic andcytologic slides"
"360","a plug-and-play hyperspectral imaging sensor using low-cost equipment"
"361","a plug'n'play wifi surface-mount dual-loop antenna"
"362","a polyharmonic digital synthesizer for the calibration of phase sensitive measuring systems up to ultrasonic band"
"363","a portable and low cost equipment for flow injection chemiluminescencemeasurements"
"364","a practical and feasible control system for bifunctional myoelectrichand prostheses"
"365","a practical approach for reading hole code"
"366","a practical fault attack on square and multiply"
"367","a pre-processing based real-time address tracer for embeddedmicroprocessors"
"368","a procedure for map updating using digital mono-plotting"
"369","a programmable optical stimulator for the drosophila eye"
"370","a project of an embedded control system for autonomous quadrotor uavs"
"371","a project of an embedded control system for autonomous quadrotor uavs"
"372","a proposal for an internet of things-based monitoring system composed by low capability, open source and open hardware devices"
"373","a proposal for teaching programming languages through open hardware tools"
"374","a proposal for teaching programming languages through open hardwaretools"
"375","a prototype of eeg system for iot"
"376","a randomized waitlist-controlled pilot trial of voice over internet protocol-delivered behavior therapy for youth with chronic tic disorders"
"377","a randomized waitlist-controlled pilot trial of voice over internetprotocol-delivered behavior therapy for youth with chronic tic disorders"
"378","a raspberry pi and lxc based distributed computing testbed"
"379","a readout for large arrays of microwave kinetic inductance detectors"
"380","a readout for large arrays of microwave kinetic inductance detectors"
"381","a real time and low cost hardware architecture for video abstractionsystem"
"382","a real time color gamut mapping method using a neural network*"
"383","a real-time body tracking system for smart rooms"
"384","a real-time compensation method for mv voltage transducer for power quality analysis"
"385","a real-time imaging system fo lumber strength prediction"
"386","a real-time imaging system for lumber strength prediction"
"387","a real-time phase-locking system for non-invasive brain stimulation"
"388","a recipe for standards-based data sharing using open source software and low-cost electronics"
"389","a recipe for standards-based data sharing using open source software andlow-cost electronics"
"390","a reconfigurable frame interpolation hardware architecture for highdefinition video"
"391","a remote lab for teaching mechanics"
"392","a remote lab for teaching mechanics"
"393","a remote system for monitoring auxiliary data center from environmental threats with lower hardware cost"
"394","a remote system for monitoring auxiliary data center from environmentalthreats with lower hardware cost"
"395","a remotely controlled framework for gravity-driven water release in shallow and not shallow storage ponds"
"396","a research on flexible enterprise wlan system based web of place access points"
"397","a research on flexible enterprise wlan system based web of place accesspoints"
"398","a review of arduino board's, lilypad's \& arduino shields"
"399","a review of arduino board's, lilypad's & arduino shields"
"400","a review of embedded systems education in the arduino age: lessonslearned and future directions"
"401","a review of open source ventilators for covid-19 and future pandemics"
"402","a risc-v based open hardware platform for always-on wearable smart sensing"
"403","a risc-v based open hardware platform for always-on wearable smartsensing"
"404","a robust and adaptive algorithm for real-time muscle activity interval detection using emg signals"
"405","a robust eye tracking procedure for medical and industrial applications"
"406","a robust framework design of iot monitoring device for power distribution network"
"407","a robust method for vr-based hand gesture recognition using density-based cnn"
"408","a robust, low-complexity real-time vehicle counting system for automated traffic surveillance"
"409","a rotor flux observer of permanent magnet synchronous motors with adaptive flux compensation"
"410","a rotor flux observer of permanent magnet synchronous motors withadaptive flux compensation"
"411","a scalable data-driven monitoring approach for distribution systems"
"412","a scalable data-driven monitoring approach for distribution systems"
"413","a secure hardware-software solution based on risc-v, logic locking and microkernel"
"414","a secure real-time internet of medical smart things (iomst)"
"415","a secure real-time internet of medical smart things (iomst)"
"416","a secure self-reconfiguring architecture based on open-source hardware"
"417","a secure, efficient, and cost-effective distributed architecture for spam mitigation on lte 4g mobile networks"
"418","a secure, efficient, and cost-effective distributed architecture forspam mitigation on lte 4g mobile networks"
"419","a self-provisioning mechanism in openstack for iot devices"
"420","a self-provisioning mechanism in openstack for iot devices"
"421","a sensor data fusion-based locating method for reverse engineering scanning systems"
"422","a sensor data fusion-based locating method for reverse engineeringscanning systems"
"423","a service based open source ground segment for small satellites"
"424","a shadow handier in traffic monitoring system"
"425","a similarity metric designed to speed up, using hardware, the recommender systems k-nearest neighbors algorithm"
"426","a similarity metric designed to speed up, using hardware, therecommender systems k-nearest neighbors algorithm"
"427","a simple and versatile phase detector for heterodyne interferometers"
"428","a simple and versatile phase detector for heterodyne interferometers"
"429","a simple method for determination of the density of granular materials"
"430","a simple strategy for carboxylated mwnts as a metal-free electrosensor for anchoring the rhb cn group"
"431","a simple strategy for carboxylated mwnts as a metal-free electrosensorfor anchoring the rhb c=n group"
"432","a simplified implementation of a probabilistic equalizer for impulseradio uwb in high data rate transmission"
"433","a smart home automation system using iot and open source hardware"
"434","a smart home foundation scheme based on open source hardware and cloud computing"
"435","a smart home foundation scheme based on open source hardware and cloudcomputing"
"436","a smart solution for electrical power monitoring based on mcp39f501 sensor"
"437","a soft pneumatic haptic actuator mechanically programmed for providing mechanotactile feedback"
"438","a soft pneumatic haptic actuator mechanically programmed for providingmechanotactile feedback"
"439","a software based indoor relative location management system"
"440","a soil tool kit to evaluate soil properties and monitor soil health changes in smallholder farming contexts"
"441","a spartan 6 fpga-based data acquisition system for dedicated imagers in nuclear medicine"
"442","a spartan 6 fpga-based data acquisition system for dedicated imagers innuclear medicine"
"443","a spectrum analyzer based on a low-cost hardware-software integration"
"444","a spectrum analyzer based on a low-cost hardware-software integration"
"445","a standalone open hardware system for ecg detection and classification"
"446","a standalone open hardware system for ecg detection and classification"
"447","a strategic for development of technologic innovation skill"
"448","a structural parametric binaural 3d sound implementation using open hardware"
"449","a study on a fall detection monitoring system for falling elderly using open source hardware"
"450","a study on a fall detection monitoring system for falling elderly usingopen source hardware"
"451","a survey of open source processors for fpgas"
"452","a survey of open-source uav flight controllers and flight simulators"
"453","a survey of open-source uav flight controllers and flight simulators"
"454","a survey on open-source flight control platforms of unmanned aerial vehicle"
"455","a survey on open-source flight control platforms of unmanned aerialvehicle"
